Name,Lon (°),Lat (°),H (km),Arc-trench distance (km),Length (km),Slab dip (°),Vc (km/Ma),Age (Ma),Descent rate (km/Ma),Thermal parameter/100 (km),Sediment thickness (km),Subducted sediment thickness (km),Upper plate type,Upper plate thickness (km),Upper plate age (Ma),φ (km) calculated,Serpentine dehydration Slab Surface T (ºC),Serpentine dehydration Slab Surface P (GPa),Serpentine dehydration Moho depth T (ºC),Serpentine dehydration Moho depth P (GPa)
Central Cascadia,-122,47,90,305,450,19.8,30,6.9,14.2,1,2,0.4,Continental,40,,70,658,2.41,655,2.64
North Cascadia,-121.5,42,100,345,500,22.4,40,10.6,12.1,1.3,2,0.4,Continental,35,,162,659,2.38,656,2.57
Northern Peru Gap,-79,-6.8,,,500,10.2,69.5,29,12.3,3.6,0.7,0.4,Continental,50,,357,654,2.72,642,3.31
Mexico,-99.5,19.1,80,360,1350,59.5,47,10,40.5,4,0.6,0.3,Continental,45,,405,659,2.34,654,2.69
Colombia/Ecuador,-77.5,0,155,305,900,28,60,15,28.2,4.2,1.8,0.3,Continental,50,,423,654,2.69,636,3.52
South Chile,-71.7,-39.5,114,228,360,34.2,74.9,10.3,42.1,4.3,3,0.6,Continental,32,,434,654,2.72,632,3.65
Nankai,137.3,35.3,,,520,31.4,43,20,22.4,4.5,1.5,0.3,Continental,32,,448,654,2.67,639,3.41
Central Peru Gap,-76.8,-11.2,,,900,13.2,66.7,33.9,15.2,5.2,0.7,0.4,Continental,40,,516,654,2.71,630,3.71
Central Chile Gap,-69.5,-30,,,640,13.7,73.8,37.7,17.5,6.6,2,1.3,Continental,40,,659,652,2.83,621,3.95
South-Central Chile,-72.8,-43.75,100,247,490,29.5,74.7,23.5,36.8,8.6,2,1.3,Continental,40,,864,650,2.92,598,4.45
Guatemala/El Salvador,-90.42,14.15,142,196,500,56.9,66.9,17.4,55.9,9.7,0.5,0.3,Continental,45,,975,653,2.73,601,4.39
Costa Rica,-84.73,10.47,87,131,280,58.9,75.4,15.8,63.9,10.1,0.5,0.3,Continental,40,,1020,651,2.85,565,5.06
South Lesser Antilles,-61.18,13.33,141,235,430,42.4,17.9,86.6,12.1,10.4,2.5,0.5,Oceanic,,50,1045,649,2.97,609,4.23
Central Chile,-70.57,-35.24,118,265,500,27.5,71.6,32.4,33.1,10.7,2,1.3,Continental,45,,1071,647,3.04,590,4.61
Nicaragua,-86.7,12.5,169,203,580,62.2,71.1,17.5,62.8,11,0.5,0.3,Continental,30,,1101,652,2.78,575,4.87
North Lesser Antilles,-61.67,16.05,122,212,430,49.8,17.6,83,13.4,11.1,0.5,0.25,Oceanic,,50,1116,648,3.00,601,4.39
North-Central Chile,-68.53,-24.72,126,309,500,23.6,77.4,42.8,30.9,13.3,0.3,0.2,Continental,40,,1326,655,2.64,608,4.24
