|6.6.6
inf_a/gloss/build/PT_inf_gloss1_1.tab                                                               
           1
n,alqt. 
   2.1219957929415349E-314
   2.1219957929415349E-314
   944769552
           3
n,alqt.        node#          mu[O2],J/mol  
  0.00000        1.00000       -358519.     
 0.100000        2.00000       -360382.     
 0.200000        3.00000       -361594.     
 0.300000        4.00000       -363371.     
 0.400000        5.00000       -364957.     
 0.500000        6.00000       -368471.     
 0.600000        7.00000       -373028.     
 0.700000        8.00000       -381496.     
 0.800000        9.00000       -385045.     
 0.900000        10.0000       -383805.     
  1.00000        11.0000       -386424.     
  1.10000        12.0000       -388787.     
  1.20000        13.0000       -388749.     
  1.30000        14.0000       -388178.     
  1.40000        15.0000       -388233.     
  1.50000        16.0000       -387678.     
  1.60000        17.0000       -386751.     
  1.70000        18.0000       -387058.     
  1.80000        19.0000       -387400.     
  1.90000        20.0000       -387422.     
  2.00000        21.0000       -386216.     
  2.10000        22.0000       -387553.     
  2.20000        23.0000       -390950.     
  2.30000        24.0000       -393653.     
  2.40000        25.0000       -410384.     
  2.50000        26.0000       -410955.     
  2.60000        27.0000       -410987.     
  2.70000        28.0000       -446005.     
  2.80000        29.0000       -425589.     
  2.90000        30.0000       -445292.     
  3.00000        31.0000       -411159.     
  3.10000        32.0000       -411054.     
  3.20000        33.0000       -411094.     
  3.30000        34.0000       -441256.     
  3.40000        35.0000       -441177.     
  3.50000        36.0000       -439919.     
  3.60000        37.0000       -439891.     
  3.70000        38.0000       -440260.     
  3.80000        39.0000       -415360.     
  3.90000        40.0000       -418187.     
  4.00000        41.0000       -426463.     
  4.10000        42.0000       -427299.     
  4.20000        43.0000       -429094.     
  4.30000        44.0000       -429591.     
  4.40000        45.0000       -442062.     
  4.50000        46.0000       -445740.     
  4.60000        47.0000       -449850.     
  4.70000        48.0000       -450063.     
  4.80000        49.0000       -450113.     
  4.90000        50.0000       -450256.     
  5.00000        51.0000       -450255.     
  5.10000        52.0000       -450650.     
  5.20000        53.0000       -450929.     
  5.30000        54.0000       -451211.     
  5.40000        55.0000       -451259.     
  5.50000        56.0000       -451255.     
  5.60000        57.0000       -452383.     
  5.70000        58.0000       -453472.     
  5.80000        59.0000       -453845.     
  5.90000        60.0000       -455515.     
  6.00000        61.0000       -455515.     
  6.10000        62.0000       -455518.     
  6.20000        63.0000       -455518.     
  6.30000        64.0000       -457817.     
  6.40000        65.0000       -459539.     
  6.50000        66.0000       -459542.     
  6.60000        67.0000       -459542.     
  6.70000        68.0000       -459542.     
  6.80000        69.0000       -459542.     
  6.90000        70.0000       -459540.     
  7.00000        71.0000       -459548.     
  7.10000        72.0000       -459548.     
  7.20000        73.0000       -459548.     
  7.30000        74.0000       -459548.     
  7.40000        75.0000       -459548.     
  7.50000        76.0000       -459548.     
  7.60000        77.0000       -459548.     
  7.70000        78.0000       -459548.     
  7.80000        79.0000       -459556.     
  7.90000        80.0000       -459556.     
  8.00000        81.0000       -459556.     
  8.10000        82.0000       -459556.     
  8.20000        83.0000       -459556.     
  8.30000        84.0000       -459556.     
  8.40000        85.0000       -459556.     
  8.50000        86.0000       -459556.     
  8.60000        87.0000       -459556.     
  8.70000        88.0000       -459568.     
  8.80000        89.0000       -459568.     
  8.90000        90.0000       -459568.     
  9.00000        91.0000       -459568.     
  9.10000        92.0000       -459568.     
  9.20000        93.0000       -459568.     
  9.30000        94.0000       -459568.     
  9.40000        95.0000       -459568.     
  9.50000        96.0000       -459568.     
  9.60000        97.0000       -459568.     
  9.70000        98.0000       -459568.     
  9.80000        99.0000       -459775.     
  9.90000        100.000       -459579.     
  10.0000        101.000       -459579.     
  10.1000        102.000       -459600.     
  10.2000        103.000       -459600.     
  10.3000        104.000       -459600.     
  10.4000        105.000       -459600.     
  10.5000        106.000       -459601.     
  10.6000        107.000       -459601.     
  10.7000        108.000       -459601.     
  10.8000        109.000       -459601.     
  10.9000        110.000       -459601.     
  11.0000        111.000       -459601.     
  11.1000        112.000       -459601.     
  11.2000        113.000       -459601.     
  11.3000        114.000       -459601.     
  11.4000        115.000       -459601.     
  11.5000        116.000       -459601.     
  11.6000        117.000       -459615.     
  11.7000        118.000       -459615.     
  11.8000        119.000       -459615.     
  11.9000        120.000       -459615.     
  12.0000        121.000       -459615.     
  12.1000        122.000       -459615.     
  12.2000        123.000       -459615.     
  12.3000        124.000       -459637.     
  12.4000        125.000       -459806.     
  12.5000        126.000       -460541.     
  12.6000        127.000       -460541.     
  12.7000        128.000       -460541.     
  12.8000        129.000       -460541.     
  12.9000        130.000       -460541.     
  13.0000        131.000       -460541.     
  13.1000        132.000       -460541.     
  13.2000        133.000       -460541.     
  13.3000        134.000       -460541.     
  13.4000        135.000       -460541.     
  13.5000        136.000       -460541.     
  13.6000        137.000       -460541.     
  13.7000        138.000       -460541.     
  13.8000        139.000       -460541.     
  13.9000        140.000       -460541.     
  14.0000        141.000       -460541.     
  14.1000        142.000       -460541.     
  14.2000        143.000       -460541.     
  14.3000        144.000       -460541.     
  14.4000        145.000       -460541.     
  14.5000        146.000       -460541.     
  14.6000        147.000       -460541.     
  14.7000        148.000       -460541.     
  14.8000        149.000       -460541.     
  14.9000        150.000       -460541.     
  15.0000        151.000       -460541.     
  15.1000        152.000       -460541.     
  15.2000        153.000       -460541.     
  15.3000        154.000       -460541.     
  15.4000        155.000       -460541.     
  15.5000        156.000       -460541.     
  15.6000        157.000       -460541.     
  15.7000        158.000       -460541.     
  15.8000        159.000       -460541.     
  15.9000        160.000       -460541.     
  16.0000        161.000       -460541.     
  16.1000        162.000       -460541.     
  16.2000        163.000       -460541.     
  16.3000        164.000       -460541.     
  16.4000        165.000       -460541.     
  16.5000        166.000       -460541.     
  16.6000        167.000       -460541.     
  16.7000        168.000       -460541.     
  16.8000        169.000       -460541.     
  16.9000        170.000       -460541.     
  17.0000        171.000       -460541.     
  17.1000        172.000       -460541.     
  17.2000        173.000       -460541.     
  17.3000        174.000       -460541.     
  17.4000        175.000       -460541.     
  17.5000        176.000       -460541.     
  17.6000        177.000       -460541.     
  17.7000        178.000       -460541.     
  17.8000        179.000       -460541.     
  17.9000        180.000       -460541.     
  18.0000        181.000       -460541.     
  18.1000        182.000       -460541.     
  18.2000        183.000       -460541.     
  18.3000        184.000       -460541.     
  18.4000        185.000       -460541.     
  18.5000        186.000                 NaN
  18.6000        187.000                 NaN
  18.7000        188.000                 NaN
  18.8000        189.000                 NaN
  18.9000        190.000                 NaN
  19.0000        191.000                 NaN
  19.1000        192.000                 NaN
  19.2000        193.000                 NaN
  19.3000        194.000                 NaN
  19.4000        195.000                 NaN
  19.5000        196.000                 NaN
  19.6000        197.000                 NaN
  19.7000        198.000                 NaN
  19.8000        199.000                 NaN
  19.9000        200.000                 NaN
  20.0000        201.000                 NaN
  20.1000        202.000                 NaN
  20.2000        203.000                 NaN
  20.3000        204.000                 NaN
  20.4000        205.000                 NaN
  20.5000        206.000                 NaN
  20.6000        207.000                 NaN
  20.7000        208.000                 NaN
  20.8000        209.000                 NaN
  20.9000        210.000                 NaN
  21.0000        211.000                 NaN
  21.1000        212.000                 NaN
  21.2000        213.000                 NaN
  21.3000        214.000                 NaN
  21.4000        215.000                 NaN
  21.5000        216.000                 NaN
  21.6000        217.000                 NaN
  21.7000        218.000                 NaN
  21.8000        219.000                 NaN
  21.9000        220.000                 NaN
  22.0000        221.000                 NaN
  22.1000        222.000                 NaN
  22.2000        223.000                 NaN
  22.3000        224.000                 NaN
  22.4000        225.000                 NaN
  22.5000        226.000                 NaN
  22.6000        227.000                 NaN
  22.7000        228.000                 NaN
  22.8000        229.000                 NaN
  22.9000        230.000                 NaN
  23.0000        231.000                 NaN
  23.1000        232.000                 NaN
  23.2000        233.000                 NaN
  23.3000        234.000                 NaN
  23.4000        235.000                 NaN
  23.5000        236.000                 NaN
  23.6000        237.000                 NaN
