|6.6.6
PT_inf_gloss16_2.tab                                                                                
           1
n,alqt. 
  0.000000000000000E+000
  0.000000000000000E+000
           0
           5
n,alqt.        node#          mu[O2],J/mol   mu[S2],J/mol   mu[C],J/mol   
  0.00000        1.00000       -359261.       -328548.       -76102.7     
 0.100000        2.00000       -358981.       -139978.       -76380.8     
 0.200000        3.00000       -358981.       -138818.       -76380.8     
 0.300000        4.00000       -358904.       -130862.       -76455.1     
 0.400000        5.00000       -358904.       -126951.       -76455.1     
 0.500000        6.00000       -359198.       -141703.       -76163.0     
 0.600000        7.00000       -359198.       -141703.       -76163.0     
 0.700000        8.00000       -359198.       -141703.       -76163.0     
 0.800000        9.00000       -359198.       -141703.       -76163.0     
 0.900000        10.0000       -359198.       -141703.       -76163.0     
  1.00000        11.0000       -359198.       -141703.       -76163.0     
  1.10000        12.0000       -359198.       -141703.       -76163.0     
  1.20000        13.0000       -359198.       -141703.       -76163.0     
  1.30000        14.0000       -359198.       -141703.       -76163.0     
  1.40000        15.0000       -359198.       -141703.       -76163.0     
  1.50000        16.0000       -359198.       -141703.       -76163.0     
  1.60000        17.0000       -359198.       -141703.       -76163.0     
  1.70000        18.0000       -359198.       -141703.       -76163.0     
  1.80000        19.0000       -359198.       -141703.       -76163.0     
  1.90000        20.0000       -359198.       -141703.       -76163.0     
  2.00000        21.0000       -359198.       -141703.       -76163.0     
  2.10000        22.0000       -359198.       -141703.       -76163.0     
  2.20000        23.0000       -359198.       -141703.       -76163.0     
  2.30000        24.0000       -359198.       -141703.       -76163.0     
  2.40000        25.0000       -359198.       -141703.       -76163.0     
  2.50000        26.0000       -359198.       -141703.       -76163.0     
  2.60000        27.0000       -359198.       -141703.       -76163.0     
  2.70000        28.0000       -359198.       -141475.       -76163.0     
  2.80000        29.0000       -359198.       -131584.       -76163.0     
  2.90000        30.0000       -359198.       -125734.       -76163.0     
  3.00000        31.0000       -359198.       -121409.       -76163.0     
  3.10000        32.0000       -359198.       -121409.       -76163.0     
  3.20000        33.0000       -359198.       -121409.       -76163.0     
  3.30000        34.0000       -359198.       -121409.       -76163.0     
  3.40000        35.0000       -359198.       -121409.       -76163.0     
  3.50000        36.0000       -359198.       -121409.       -76163.0     
  3.60000        37.0000       -359198.       -121409.       -76163.0     
  3.70000        38.0000       -359198.       -121409.       -76163.0     
  3.80000        39.0000       -359198.       -121409.       -76163.0     
  3.90000        40.0000       -359198.       -121409.       -76163.0     
  4.00000        41.0000       -359198.       -121409.       -76163.0     
  4.10000        42.0000       -359198.       -121409.       -76163.0     
  4.20000        43.0000       -359198.       -121409.       -76163.0     
  4.30000        44.0000       -359198.       -121409.       -76163.0     
  4.40000        45.0000       -359198.       -121409.       -76163.0     
  4.50000        46.0000       -359198.       -121409.       -76163.0     
  4.60000        47.0000       -359198.       -121409.       -76163.0     
  4.70000        48.0000       -359198.       -121409.       -76163.0     
  4.80000        49.0000       -359198.       -121409.       -76163.0     
  4.90000        50.0000       -359198.       -121409.       -76163.0     
  5.00000        51.0000       -359198.       -121409.       -76163.0     
  5.10000        52.0000       -359198.       -121409.       -76163.0     
  5.20000        53.0000       -359198.       -121409.       -76163.0     
  5.30000        54.0000       -359056.       -142149.       -76309.7     
  5.40000        55.0000       -359065.       -142124.       -76301.1     
  5.50000        56.0000       -359065.       -142124.       -76301.1     
  5.60000        57.0000       -359065.       -142124.       -76301.1     
  5.70000        58.0000       -359065.       -142124.       -76301.1     
  5.80000        59.0000       -359065.       -142124.       -76301.1     
  5.90000        60.0000       -359065.       -142124.       -76301.1     
  6.00000        61.0000       -359065.       -142124.       -76301.1     
  6.10000        62.0000       -359065.       -142124.       -76301.1     
  6.20000        63.0000       -359065.       -142124.       -76301.1     
  6.30000        64.0000       -359065.       -142124.       -76301.1     
  6.40000        65.0000       -359065.       -142124.       -76301.1     
  6.50000        66.0000       -359065.       -142124.       -76301.1     
