|6.6.6
PT_inf_gloss34_1.tab                                                                                
           1
n,alqt. 
  0.000000000000000E+000
  0.000000000000000E+000
           0
         106
n,alqt.        node#          Si,mol,pfu     Al,mol,pfu     Cr,mol,pfu     Fe,mol,pfu     Mg,mol,pfu     Ca,mol,pfu     K,mol,pfu      Na,mol,pfu     H2,mol,pfu     C,mol,pfu      S2,mol,pfu     O2,mol,pfu     y_{CO2}        y_{CH4}        y_{H2S}        y_{H2}         y_{H2O}        m_{Al+3}       m_{AlO2-}      m_{AlO2(SiO}   m_{Ca(HCO3)}   m_{Ca(HCOO)}   m_{Ca(HSiO3}   m_{Ca(OH)+}    m_{Ca+2}       m_{CaCO3,aq}   m_{CaO,aq}     m_{CaSO4,aq}   m_{CO,aq}      m_{CO3-2}      m_{Cr+2}       m_{CrOH+}      m_{Cr+3}       m_{CrOH+2}     m_{Cr(OH)2+}   m_{Cr(OH)3}    m_{Cr(OH)4-}   m_{CrO4-2}     m_{Cr2O7-2}    m_{Fecho+}     m_{Fecho0}     m_{Fe(HCOO)}   m_{Fe(HSiO3}   m_{Fe(OH)+}    m_{Fe+2}       m_{Fe+3}       m_{FeO,aq}     m_{H+}         m_{HAlO2,aq}   m_{HCO3-}      m_{HCrO4-}     m_{HFeO2-}     m_{HO2-}       m_{HS-}        m_{HSiO3-}     m_{HSO3-}      m_{HSO4-}      m_{HSO5-}      m_{Isobutan}   m_{K+}         m_{KOH,aq}     m_{KSO4-}      m_{Mg(HCO3)}   m_{Mg(HSiO3}   m_{Mg+2}       m_{MgCO3,aq}   m_{MgO,aq}     m_{MgOH+}      m_{MgSO4,aq}   m_{Na(Ac),a}   m_{Na(Ac)2-}   m_{Na+}        m_{NaCO3-}     m_{NaHCO3,a}   m_{NaHSiO3,}   m_{NaOH,aq}    m_{O2,aq}      m_{OH-}        m_{S2-2}       m_{S2O3-2}     m_{S2O4-2}     m_{S2O5-2}     m_{S2O6-2}     m_{S2O8-2}     m_{S3-}        m_{S3-2}       m_{S3O6-2}     m_{S4-2}       m_{S4O6-2}     m_{S5-2}       m_{S5O6-2}     m_{Si2O4,aq}   m_{Si3O6,aq}   m_{SiO2,aq}    m_{SO2,aq}     m_{SO3-2}      m_{SO4-2}      pH-pH_0        pH             error_pH       permittivity   I,m            ref_chg        tot_solute_m  
  0.00000        1.00000       0.289500E-002  0.217887E-004  0.646189E-007  0.399843E-003  0.983163E-002  0.138781E-002   0.00000        0.00000       0.984168       0.269625E-002  0.641188E-003  0.505406       0.266603E-002   0.00000        0.00000       0.339998E-006  0.982827       0.330669E-015  0.142402E-003  0.886759E-003  0.146658E-002  0.887311E-005  0.501167E-001  0.161514E-002  0.312314E-002  0.850732E-005  0.149914E-001  0.653766E-002  0.179378E-006  0.532571E-006  0.476836E-011  0.485988E-009  0.185805E-013  0.169666E-009  0.236258E-009  0.240413E-005  0.122062E-005  0.141173E-014  0.287710E-023  0.749874E-019  0.451738E-032  0.802524E-004  0.212242E-001  0.169696E-005  0.116216E-005  0.117482E-013  0.320229E-003  0.650939E-004  0.193367E-003  0.126649E-003  0.137294E-010  0.807026E-003  0.160151E-017  0.316359E-005  0.180396E-002  0.185107E-002  0.581297E-001  0.174710E-015  0.359944E-042   0.00000        0.00000        0.00000       0.403567E-005  0.105708E-003  0.469941E-003  0.261465E-011  0.548410       0.230605E-002  0.340756E-003   0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000       0.156885E-017  0.104814E-001  0.176351E-012  0.128432E-008  0.218448E-014  0.970820E-014  0.778325E-014  0.418700E-026  0.320759E-011  0.190481E-015  0.792923E-018  0.174390E-018  0.822686E-016  0.134025E-021  0.842599E-025  0.408050E-002  0.155871E-004  0.800888E-001  0.115537E-003  0.723487E-008  0.497418E-002   1.02121        3.96740      -0.252532E-005   22.4786       0.927518E-001 -0.825143E-002  0.814902     
 0.100000        2.00000       0.974041E-005  0.390200E-006  0.945653E-009  0.852128E-006  0.453110E-004  0.604334E-005  0.523885E-004  0.105637E-004  0.995406       0.446616E-002  0.194044E-004  0.502279       0.445415E-002   0.00000        0.00000        0.00000       0.995384       0.132703E-018  0.286393E-005  0.177990E-004  0.171420E-003  0.742432E-006  0.636154E-004  0.205477E-005  0.178234E-005  0.309641E-005  0.612007E-004  0.294630E-004  0.533486E-007  0.623174E-005  0.375723E-014  0.851855E-012  0.110479E-016  0.158132E-012  0.486039E-012  0.159050E-007  0.362588E-007  0.447110E-015  0.223312E-023  0.197632E-018  0.844052E-028  0.634333E-005  0.252052E-004  0.201443E-008  0.619115E-009  0.473445E-017  0.122220E-005  0.920077E-007  0.862046E-006  0.234530E-003  0.677085E-012  0.142335E-004  0.449745E-019  0.187407E-007  0.361556E-004  0.297555E-004  0.130076E-002  0.546721E-017  0.150611E-038  0.273938E-002  0.872656E-004  0.633160E-004  0.524924E-006  0.149046E-006  0.299080E-006  0.108829E-011  0.249358E-002  0.326776E-005  0.171713E-005  0.390992E-015  0.258301E-026  0.336689E-003  0.581247E-007  0.239890E-003  0.135159E-006  0.596368E-005  0.137800E-019  0.210847E-003  0.275516E-014  0.543258E-010  0.128861E-015  0.798142E-015  0.892176E-015  0.936296E-027  0.374735E-014  0.121849E-017  0.371742E-019  0.456776E-021  0.158518E-017  0.143737E-024  0.660924E-027  0.182057E-004  0.684770E-007  0.357644E-003  0.414052E-006  0.745371E-009  0.715406E-003  0.700763E-002  0.202983E-001 -0.750467E-005  0.100690       0.407737E-002 -0.241205E-003  0.928438E-002
 0.200000        3.00000       0.205515E-004  0.906996E-006  0.215366E-008  0.176269E-005  0.975973E-004  0.106948E-004  0.103148E-003  0.105283E-003  0.995185       0.451467E-002  0.528240E-004  0.502393       0.445293E-002   0.00000        0.00000        0.00000       0.995113       0.197474E-018  0.667931E-005  0.415112E-004  0.290698E-003  0.125903E-005  0.107880E-003  0.348452E-005  0.267168E-005  0.581061E-005  0.114847E-003  0.634846E-004  0.114951E-006  0.153869E-004  0.646680E-014  0.165873E-011  0.164404E-016  0.272172E-012  0.946411E-012  0.342708E-007  0.845635E-007  0.110397E-014  0.551386E-023  0.384827E-018  0.181870E-027  0.123517E-004  0.490793E-004  0.392247E-008  0.106560E-008  0.704533E-017  0.263349E-005  0.179157E-006  0.185747E-005  0.546976E-003  0.157911E-011  0.331956E-004  0.104890E-018  0.501860E-007  0.843228E-004  0.796829E-004  0.348334E-002  0.146407E-016  0.324524E-038  0.533410E-002  0.188033E-003  0.169555E-003  0.102213E-005  0.290222E-006  0.514766E-006  0.234496E-011  0.537297E-002  0.636295E-005  0.424838E-005  0.412760E-014  0.295144E-025  0.321201E-002  0.664153E-006  0.253246E-002  0.142684E-005  0.629569E-004  0.296921E-019  0.491740E-003  0.896905E-014  0.176850E-009  0.419488E-015  0.259824E-014  0.290436E-014  0.304798E-026  0.132306E-013  0.455459E-017  0.138953E-018  0.196047E-020  0.680353E-017  0.708361E-024  0.325714E-026  0.392283E-004  0.147549E-006  0.770623E-003  0.102441E-005  0.211322E-008  0.202826E-002  0.154514E-001  0.440892E-001 -0.161740E-004  0.216958       0.110719E-001 -0.650549E-003  0.251653E-001
 0.300000        4.00000       0.303395E-004  0.123517E-005  0.236258E-008  0.299144E-005  0.138238E-003  0.190089E-004  0.157984E-003  0.371532E-004  0.995651       0.395947E-002  0.592332E-004  0.502121       0.391971E-002   0.00000        0.00000        0.00000       0.995581       0.387697E-018  0.906491E-005  0.564739E-004  0.538954E-003  0.289895E-005  0.200069E-003  0.644606E-005  0.548151E-005  0.999358E-005  0.195288E-003  0.906477E-004  0.204082E-006  0.201166E-004  0.994970E-014  0.230255E-011  0.257035E-016  0.375436E-012  0.118065E-011  0.392223E-007  0.912474E-007  0.829098E-015  0.239466E-023  0.158948E-017  0.164734E-026  0.265219E-004  0.851320E-004  0.679234E-008  0.204627E-008  0.137374E-016  0.418930E-005  0.277756E-006  0.267420E-005  0.738872E-003  0.123142E-011  0.493522E-004  0.113928E-018  0.134557E-006  0.114057E-003  0.111690E-003  0.393565E-002  0.133152E-016  0.775420E-037  0.826485E-002  0.268659E-003  0.191262E-003  0.158021E-005  0.449065E-006  0.880126E-006  0.333520E-011  0.761651E-002  0.981265E-005  0.505100E-005  0.331414E-014  0.531908E-025  0.117340E-002  0.211323E-006  0.856547E-003  0.480932E-006  0.211743E-004  0.274983E-019  0.663188E-003  0.370920E-013  0.382616E-009  0.731154E-015  0.364907E-014  0.328633E-014  0.223629E-026  0.819709E-013  0.301949E-016  0.252132E-018  0.208349E-019  0.197672E-016  0.120680E-022  0.151973E-025  0.563894E-004  0.213488E-006  0.110544E-002  0.152251E-005  0.285439E-008  0.220642E-002  0.216776E-001  0.625562E-001 -0.231497E-004  0.310362       0.125560E-001 -0.735478E-003  0.286484E-001
 0.400000        5.00000       0.406734E-004  0.172899E-005  0.327747E-008  0.398018E-005  0.187120E-003  0.236472E-004  0.206023E-003  0.115598E-003  0.995451       0.400035E-002  0.888746E-004  0.502220       0.391875E-002   0.00000        0.00000        0.00000       0.995338       0.453485E-018  0.127094E-004  0.791790E-004  0.659202E-003  0.354574E-005  0.244707E-003  0.788427E-005  0.638535E-005  0.127453E-004  0.249061E-003  0.122737E-003  0.276328E-006  0.290029E-004  0.123050E-013  0.298995E-011  0.300651E-016  0.464310E-012  0.153311E-011  0.531069E-007  0.127933E-006  0.119535E-014  0.345249E-023  0.206400E-017  0.223050E-026  0.344397E-004  0.110547E-003  0.882013E-008  0.253067E-008  0.160685E-016  0.567230E-005  0.360677E-006  0.362087E-005  0.103593E-002  0.172651E-011  0.691941E-004  0.159732E-018  0.200289E-006  0.159914E-003  0.166252E-003  0.585824E-002  0.198197E-016  0.104992E-036  0.107322E-001  0.363764E-003  0.284695E-003  0.205197E-005  0.583129E-006  0.108847E-005  0.451586E-011  0.103128E-001  0.127421E-004  0.726079E-005  0.105615E-013  0.175524E-024  0.358622E-002  0.697344E-006  0.272965E-002  0.153264E-005  0.674784E-004  0.372327E-019  0.929820E-003  0.602759E-013  0.621766E-009  0.118815E-014  0.592989E-014  0.534042E-014  0.363405E-026  0.137527E-012  0.520938E-016  0.434991E-018  0.381620E-019  0.362065E-016  0.234674E-022  0.295525E-025  0.763512E-004  0.289063E-006  0.149676E-002  0.218860E-005  0.436908E-008  0.337725E-002  0.296408E-001  0.849903E-001 -0.313418E-004  0.420230       0.188232E-001 -0.109959E-002  0.428574E-001
 0.500000        6.00000       0.517915E-004  0.235447E-005  0.429718E-008  0.493696E-005  0.237172E-003  0.302386E-004  0.241874E-003  0.218690E-003  0.994993       0.431048E-002  0.115850E-003  0.502457       0.417023E-002   0.00000        0.00000        0.00000       0.994830       0.446798E-018  0.173505E-004  0.108107E-003  0.828906E-003  0.448694E-005  0.307696E-003  0.991242E-005  0.738062E-005  0.173439E-004  0.338870E-003  0.155627E-003  0.352661E-006  0.424255E-004  0.130413E-013  0.344677E-011  0.290543E-016  0.490533E-012  0.176175E-011  0.660432E-007  0.171303E-006  0.169842E-014  0.476563E-023  0.248913E-017  0.298681E-026  0.407438E-004  0.129952E-003  0.103670E-007  0.273466E-008  0.158326E-016  0.721518E-005  0.422590E-006  0.459085E-005  0.141453E-002  0.228991E-011  0.947678E-004  0.216695E-018  0.261384E-006  0.218352E-003  0.212872E-003  0.745355E-002  0.250574E-016  0.144665E-036  0.125387E-001  0.459929E-003  0.361192E-003  0.240387E-005  0.683115E-006  0.117214E-005  0.572518E-011  0.130724E-001  0.149250E-004  0.857723E-005  0.214104E-013  0.393097E-024  0.654739E-002  0.148375E-005  0.539404E-002  0.302856E-005  0.133322E-003  0.466145E-019  0.126944E-002  0.800424E-013  0.810091E-009  0.153824E-014  0.762851E-014  0.682673E-014  0.458686E-026  0.161411E-012  0.657072E-016  0.528164E-018  0.457204E-019  0.417566E-016  0.267051E-022  0.323732E-025  0.968367E-004  0.366669E-006  0.189810E-002  0.260264E-005  0.599301E-008  0.460323E-002  0.383150E-001  0.108497      -0.397826E-004  0.532839       0.250976E-001 -0.142958E-002  0.578258E-001
 0.600000        7.00000       0.687279E-004  0.352582E-005  0.631161E-008  0.636439E-005  0.327242E-003  0.273577E-004  0.289459E-003  0.933983E-003  0.994219       0.468035E-002  0.245689E-003  0.503080       0.417127E-002   0.00000        0.00000        0.00000       0.993781       0.286110E-018  0.260800E-004  0.162551E-003  0.681081E-003  0.368520E-005  0.252757E-003  0.814026E-005  0.469123E-005  0.168502E-004  0.330510E-003  0.215102E-003  0.487739E-006  0.636508E-004  0.117458E-013  0.400963E-011  0.186079E-016  0.442084E-012  0.204838E-011  0.912828E-007  0.257724E-006  0.255573E-014  0.718087E-023  0.289644E-017  0.412827E-026  0.474918E-004  0.151283E-003  0.120606E-007  0.246252E-008  0.101417E-016  0.997188E-005  0.492266E-006  0.633899E-005  0.212807E-002  0.344701E-011  0.143175E-003  0.325839E-018  0.557154E-006  0.328246E-003  0.454016E-003  0.158955E-001  0.534689E-016  0.200048E-036  0.146009E-001  0.635088E-003  0.770390E-003  0.279696E-005  0.794401E-006  0.105534E-005  0.790820E-011  0.180569E-001  0.173585E-004  0.167995E-004  0.100115E-012  0.200312E-023  0.258028E-001  0.755313E-005  0.251990E-001  0.141704E-004  0.623528E-003  0.644718E-019  0.190820E-002  0.241891E-012  0.244876E-008  0.465061E-014  0.230654E-013  0.206441E-013  0.138818E-025  0.690910E-012  0.281501E-015  0.226385E-017  0.277682E-018  0.253871E-015  0.229932E-021  0.278785E-024  0.133810E-003  0.505822E-006  0.262155E-002  0.510037E-005  0.127736E-007  0.981459E-002  0.546392E-001  0.151656      -0.550248E-004  0.735813       0.514651E-001 -0.296823E-002  0.121164     
 0.700000        8.00000       0.783644E-004  0.402019E-005  0.719658E-008  0.725677E-005  0.373126E-003  0.311936E-004  0.330044E-003  0.106494E-002  0.993994       0.475052E-002  0.280138E-003  0.503219       0.417007E-002   0.00000        0.00000        0.00000       0.993494       0.326327E-018  0.297459E-004  0.185399E-003  0.776817E-003  0.420320E-005  0.288286E-003  0.928450E-005  0.535065E-005  0.192187E-004  0.376968E-003  0.245338E-003  0.556298E-006  0.725979E-004  0.133969E-013  0.457324E-011  0.212235E-016  0.504225E-012  0.233631E-011  0.104114E-006  0.293951E-006  0.291497E-014  0.819025E-023  0.330358E-017  0.470856E-026  0.541675E-004  0.172548E-003  0.137558E-007  0.280866E-008  0.115673E-016  0.113736E-004  0.561461E-006  0.723003E-005  0.242720E-002  0.393153E-011  0.163300E-003  0.371640E-018  0.635470E-006  0.374386E-003  0.517835E-003  0.181298E-001  0.609847E-016  0.228168E-036  0.166533E-001  0.724359E-003  0.878680E-003  0.319011E-005  0.906066E-006  0.120368E-005  0.901981E-011  0.205951E-001  0.197985E-004  0.191609E-004  0.114187E-012  0.228469E-023  0.294298E-001  0.861483E-005  0.287411E-001  0.161622E-004  0.711174E-003  0.735342E-019  0.217643E-002  0.275893E-012  0.279297E-008  0.530432E-014  0.263076E-013  0.235459E-013  0.158331E-025  0.788027E-012  0.321070E-015  0.258207E-017  0.316714E-018  0.289556E-015  0.262252E-021  0.317972E-024  0.152619E-003  0.576923E-006  0.299005E-002  0.581730E-005  0.145691E-007  0.111942E-001  0.623195E-001  0.172974      -0.627593E-004  0.839242       0.586993E-001 -0.338546E-002  0.138195     
 0.800000        9.00000       0.875737E-004  0.449263E-005  0.804230E-008  0.810957E-005  0.416975E-003  0.348594E-004  0.368831E-003  0.119009E-002  0.993779       0.481759E-002  0.313059E-003  0.503351       0.416892E-002   0.00000        0.00000        0.00000       0.993220       0.364783E-018  0.332514E-004  0.207248E-003  0.868363E-003  0.469854E-005  0.322260E-003  0.103786E-004  0.598121E-005  0.214836E-004  0.421392E-003  0.274251E-003  0.621856E-006  0.811533E-004  0.149757E-013  0.511219E-011  0.237247E-016  0.563647E-012  0.261164E-011  0.116384E-006  0.328592E-006  0.325849E-014  0.915544E-023  0.369289E-017  0.526345E-026  0.605510E-004  0.192883E-003  0.153769E-007  0.313966E-008  0.129305E-016  0.127139E-004  0.627628E-006  0.808207E-005  0.271324E-002  0.439486E-011  0.182544E-003  0.415437E-018  0.710359E-006  0.418506E-003  0.578860E-003  0.202664E-001  0.681716E-016  0.255057E-036  0.186158E-001  0.809723E-003  0.982230E-003  0.356606E-005  0.101284E-005  0.134553E-005  0.100828E-010  0.230222E-001  0.221317E-004  0.214190E-004  0.127644E-012  0.255393E-023  0.328980E-001  0.963006E-005  0.321282E-001  0.180669E-004  0.794984E-003  0.822000E-019  0.243291E-002  0.308406E-012  0.312211E-008  0.592941E-014  0.294079E-013  0.263207E-013  0.176989E-025  0.880894E-012  0.358908E-015  0.288636E-017  0.354037E-018  0.323680E-015  0.293158E-021  0.355444E-024  0.170605E-003  0.644911E-006  0.334242E-002  0.650286E-005  0.162861E-007  0.125134E-001  0.696637E-001  0.193358      -0.701554E-004  0.938145       0.656168E-001 -0.378443E-002  0.154481     
 0.900000        10.0000       0.963834E-004  0.494458E-005  0.885134E-008  0.892537E-005  0.458922E-003  0.383662E-004  0.405934E-003  0.130981E-002  0.993572       0.488174E-002  0.344552E-003  0.503477       0.416782E-002   0.00000        0.00000        0.00000       0.992957       0.401593E-018  0.366067E-004  0.228161E-003  0.955988E-003  0.517266E-005  0.354778E-003  0.114259E-004  0.658477E-005  0.236515E-004  0.463914E-003  0.301925E-003  0.684607E-006  0.893424E-004  0.164868E-013  0.562805E-011  0.261187E-016  0.620523E-012  0.287517E-011  0.128128E-006  0.361750E-006  0.358730E-014  0.100793E-022  0.406554E-017  0.579458E-026  0.666610E-004  0.212346E-003  0.169286E-007  0.345647E-008  0.142352E-016  0.139969E-004  0.690961E-006  0.889761E-005  0.298703E-002  0.483833E-011  0.200965E-003  0.457358E-018  0.782039E-006  0.460736E-003  0.637272E-003  0.223114E-001  0.750506E-016  0.280794E-036  0.204943E-001  0.891431E-003  0.108134E-002  0.392590E-005  0.111505E-005  0.148130E-005  0.111002E-010  0.253453E-001  0.243650E-004  0.235803E-004  0.140524E-012  0.281164E-023  0.362177E-001  0.106018E-004  0.353701E-001  0.198900E-004  0.875205E-003  0.904947E-019  0.267842E-002  0.339526E-012  0.343716E-008  0.652774E-014  0.323754E-013  0.289767E-013  0.194849E-025  0.969783E-012  0.395124E-015  0.317761E-017  0.389763E-018  0.356341E-015  0.322740E-021  0.391311E-024  0.187821E-003  0.709988E-006  0.367969E-002  0.715905E-005  0.179295E-007  0.137761E-001  0.766934E-001  0.212870      -0.772346E-004   1.03281       0.722381E-001 -0.416631E-002  0.170070     
