|6.6.6
PT_inf_gloss6_1.tab                                                                                 
           1
n,alqt. 
  0.000000000000000E+000
  0.000000000000000E+000
           0
         106
n,alqt.        node#          Si,mol,pfu     Al,mol,pfu     Cr,mol,pfu     Fe,mol,pfu     Mg,mol,pfu     Ca,mol,pfu     K,mol,pfu      Na,mol,pfu     H2,mol,pfu     C,mol,pfu      S2,mol,pfu     O2,mol,pfu     y_{CO2}        y_{CH4}        y_{H2S}        y_{H2}         y_{H2O}        m_{Al+3}       m_{AlO2-}      m_{AlO2(SiO}   m_{Ca(HCO3)}   m_{Ca(HCOO)}   m_{Ca(HSiO3}   m_{Ca(OH)+}    m_{Ca+2}       m_{CaCO3,aq}   m_{CaO,aq}     m_{CaSO4,aq}   m_{CO,aq}      m_{CO3-2}      m_{Cr+2}       m_{CrOH+}      m_{Cr+3}       m_{CrOH+2}     m_{Cr(OH)2+}   m_{Cr(OH)3}    m_{Cr(OH)4-}   m_{CrO4-2}     m_{Cr2O7-2}    m_{Fecho+}     m_{Fecho0}     m_{Fe(HCOO)}   m_{Fe(HSiO3}   m_{Fe(OH)+}    m_{Fe+2}       m_{Fe+3}       m_{FeO,aq}     m_{H+}         m_{HAlO2,aq}   m_{HCO3-}      m_{HCrO4-}     m_{HFeO2-}     m_{HO2-}       m_{HS-}        m_{HSiO3-}     m_{HSO3-}      m_{HSO4-}      m_{HSO5-}      m_{Isobutan}   m_{K+}         m_{KOH,aq}     m_{KSO4-}      m_{Mg(HCO3)}   m_{Mg(HSiO3}   m_{Mg+2}       m_{MgCO3,aq}   m_{MgO,aq}     m_{MgOH+}      m_{MgSO4,aq}   m_{Na(Ac),a}   m_{Na(Ac)2-}   m_{Na+}        m_{NaCO3-}     m_{NaHCO3,a}   m_{NaHSiO3,}   m_{NaOH,aq}    m_{O2,aq}      m_{OH-}        m_{S2-2}       m_{S2O3-2}     m_{S2O4-2}     m_{S2O5-2}     m_{S2O6-2}     m_{S2O8-2}     m_{S3-}        m_{S3-2}       m_{S3O6-2}     m_{S4-2}       m_{S4O6-2}     m_{S5-2}       m_{S5O6-2}     m_{Si2O4,aq}   m_{Si3O6,aq}   m_{SiO2,aq}    m_{SO2,aq}     m_{SO3-2}      m_{SO4-2}      pH-pH_0        pH             error_pH       permittivity   I,m            ref_chg        tot_solute_m  
  0.00000        1.00000       0.308384E-002  0.232802E-004  0.522319E-007  0.425473E-003  0.102748E-001  0.138237E-002   0.00000        0.00000       0.983392       0.287785E-002  0.644311E-003  0.505631       0.284376E-002   0.00000        0.00000       0.339776E-006  0.982007       0.263581E-015  0.149941E-003  0.956997E-003  0.164003E-002  0.937394E-005  0.515077E-001  0.149495E-002  0.279610E-002  0.929922E-005  0.152371E-001  0.489738E-002  0.269829E-006  0.594876E-006  0.440265E-011  0.405596E-009  0.123257E-013  0.128033E-009  0.174151E-009  0.188337E-005  0.104766E-005  0.161724E-014  0.370402E-023  0.797878E-019  0.571018E-032  0.939237E-004  0.227445E-001  0.161652E-005  0.103918E-005  0.842265E-014  0.277212E-003  0.655589E-004  0.199767E-003  0.155320E-003  0.164708E-010  0.763308E-003  0.172447E-017  0.331990E-005  0.183675E-002  0.183799E-002  0.601800E-001  0.208103E-015  0.522162E-042   0.00000        0.00000        0.00000       0.450940E-005  0.851637E-004  0.423328E-003  0.283962E-011  0.573650       0.222052E-002  0.338588E-003   0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000       0.214322E-017  0.105631E-001  0.182904E-012  0.129932E-008  0.232048E-014  0.102645E-013  0.836143E-014  0.613650E-026  0.405986E-011  0.181361E-015  0.739661E-018  0.152304E-018  0.843113E-016  0.107386E-021  0.595916E-025  0.458760E-002  0.181398E-004  0.867336E-001  0.142564E-003  0.699020E-008  0.492992E-002   1.08179        4.22364      -0.318151E-005   23.5411       0.944598E-001 -0.829811E-002  0.850561     
 0.100000        2.00000       0.110324E-004  0.438708E-006  0.845127E-009  0.925798E-006  0.498675E-004  0.638625E-005  0.558208E-004  0.119574E-004  0.994640       0.522157E-002  0.207381E-004  0.502661       0.520789E-002   0.00000        0.00000        0.00000       0.994616       0.125917E-018  0.315134E-005  0.200886E-004  0.185306E-003  0.745383E-006  0.701999E-004  0.204071E-005  0.178535E-005  0.317549E-005  0.654398E-004  0.232240E-004  0.748735E-007  0.661151E-005  0.392891E-014  0.771641E-012  0.890092E-017  0.136396E-012  0.391422E-012  0.133672E-007  0.332015E-007  0.569042E-015  0.334922E-023  0.169817E-018  0.640762E-028  0.702368E-005  0.287778E-004  0.204131E-008  0.614150E-009  0.404140E-017  0.110420E-005  0.996676E-007  0.935175E-006  0.270780E-003  0.889593E-012  0.141081E-004  0.514316E-019  0.192902E-007  0.384502E-004  0.304536E-004  0.141024E-002  0.693953E-017  0.122052E-038  0.291987E-002  0.903149E-004  0.658362E-004  0.566367E-006  0.128707E-006  0.301316E-006  0.111790E-011  0.274180E-002  0.337358E-005  0.179627E-005  0.399407E-015  0.261273E-026  0.372956E-003  0.642496E-007  0.279273E-003  0.128534E-006  0.649414E-005  0.204873E-019  0.221904E-003  0.271491E-014  0.548311E-010  0.138830E-015  0.869910E-015  0.100437E-014  0.148771E-026  0.426073E-014  0.105140E-017  0.346497E-019  0.344868E-021  0.155036E-017  0.949700E-025  0.424684E-027  0.215252E-004  0.834880E-007  0.406868E-003  0.529745E-006  0.752507E-009  0.753455E-003  0.778046E-002  0.226991E-001 -0.951876E-005  0.110740       0.435742E-002 -0.258077E-003  0.100711E-001
 0.200000        3.00000       0.232645E-004  0.102384E-005  0.193258E-008  0.190476E-005  0.107297E-003  0.112195E-004  0.109679E-003  0.119129E-003  0.994398       0.527767E-002  0.568908E-004  0.502788       0.520633E-002   0.00000        0.00000        0.00000       0.994318       0.189055E-018  0.737989E-005  0.470440E-004  0.313628E-003  0.126155E-005  0.118813E-003  0.345388E-005  0.267982E-005  0.595276E-005  0.122673E-003  0.499888E-004  0.161163E-006  0.165467E-004  0.677146E-014  0.149958E-011  0.133640E-016  0.235078E-012  0.760676E-012  0.287725E-007  0.777522E-007  0.142415E-014  0.838213E-023  0.330017E-018  0.137922E-027  0.136496E-004  0.559257E-004  0.396701E-008  0.105848E-008  0.606784E-017  0.237674E-005  0.193690E-006  0.201293E-005  0.634119E-003  0.208327E-011  0.330387E-004  0.120444E-018  0.518703E-007  0.900438E-004  0.818882E-004  0.379206E-002  0.186600E-016  0.262712E-038  0.567437E-002  0.194400E-003  0.177030E-003  0.110066E-005  0.250124E-006  0.519317E-006  0.240624E-011  0.590162E-002  0.655610E-005  0.443951E-005  0.421202E-014  0.299770E-025  0.355100E-002  0.737163E-006  0.294512E-002  0.135548E-005  0.684852E-004  0.440981E-019  0.519662E-003  0.895821E-014  0.180923E-009  0.458088E-015  0.287039E-014  0.331405E-014  0.490892E-026  0.151051E-013  0.398350E-017  0.131279E-018  0.150030E-020  0.674459E-017  0.474393E-024  0.212138E-026  0.463323E-004  0.179705E-006  0.875768E-003  0.130928E-005  0.216246E-008  0.216519E-002  0.171521E-001  0.492641E-001 -0.204902E-004  0.238364       0.119315E-001 -0.701329E-003  0.275305E-001
 0.300000        4.00000       0.317599E-004  0.128526E-005  0.189503E-008  0.302040E-005  0.140882E-003  0.184856E-004  0.155667E-003  0.409542E-004  0.994983       0.462643E-002  0.589403E-004  0.502456       0.458369E-002   0.00000        0.00000        0.00000       0.994912       0.338892E-018  0.923954E-005  0.589885E-004  0.535505E-003  0.269927E-005  0.202944E-003  0.589002E-005  0.504463E-005  0.944298E-005  0.192268E-003  0.661183E-004  0.267126E-006  0.197965E-004  0.934840E-014  0.187689E-011  0.184912E-016  0.289617E-012  0.852006E-012  0.295517E-007  0.749989E-007  0.935463E-015  0.304257E-023  0.131201E-017  0.124351E-026  0.274774E-004  0.901887E-004  0.639313E-008  0.188272E-008  0.108075E-016  0.351786E-005  0.278103E-006  0.268397E-005  0.789795E-003  0.143289E-011  0.454532E-004  0.119675E-018  0.133608E-006  0.112329E-003  0.107368E-003  0.397268E-002  0.155941E-016  0.650015E-037  0.814601E-002  0.257458E-003  0.185208E-003  0.157631E-005  0.358588E-006  0.819342E-006  0.317038E-011  0.775590E-002  0.937455E-005  0.491673E-005  0.341225E-014  0.561368E-025  0.126515E-002  0.227726E-006  0.971286E-003  0.445230E-006  0.224673E-004  0.371602E-019  0.646888E-003  0.364098E-013  0.374612E-009  0.757374E-015  0.379030E-014  0.349460E-014  0.329676E-026  0.953221E-013  0.267798E-016  0.229060E-018  0.166824E-019  0.194388E-016  0.872499E-023  0.101340E-025  0.616042E-004  0.240468E-006  0.116312E-002  0.182721E-005  0.270969E-008  0.216560E-002  0.222804E-001  0.647386E-001 -0.271456E-004  0.315956       0.124905E-001 -0.732500E-003  0.289207E-001
 0.400000        5.00000       0.426678E-004  0.180844E-005  0.264190E-008  0.401654E-005  0.191060E-003  0.229661E-004  0.203050E-003  0.125512E-003  0.994777       0.467135E-002  0.890456E-004  0.502560       0.458253E-002   0.00000        0.00000        0.00000       0.994660       0.397008E-018  0.130225E-004  0.831406E-004  0.655245E-003  0.330283E-005  0.248323E-003  0.720704E-005  0.587807E-005  0.120689E-004  0.245734E-003  0.896944E-004  0.362376E-006  0.288350E-004  0.115618E-013  0.243760E-011  0.216623E-016  0.358190E-012  0.110654E-011  0.400890E-007  0.105706E-006  0.136257E-014  0.443171E-023  0.170397E-017  0.168691E-026  0.356862E-004  0.117132E-003  0.830307E-008  0.232849E-008  0.126608E-016  0.477224E-005  0.361186E-006  0.364100E-005  0.111317E-002  0.201957E-011  0.640635E-004  0.168675E-018  0.199877E-006  0.158320E-003  0.160622E-003  0.594312E-002  0.233287E-016  0.881794E-037  0.105796E-001  0.349261E-003  0.277071E-003  0.204723E-005  0.465715E-006  0.101334E-005  0.430085E-011  0.105214E-001  0.121752E-004  0.707952E-005  0.107160E-013  0.183165E-024  0.380379E-002  0.743032E-006  0.305028E-002  0.139823E-005  0.705576E-004  0.504106E-019  0.911748E-003  0.597474E-013  0.614728E-009  0.124283E-014  0.621976E-014  0.573453E-014  0.540989E-026  0.160654E-012  0.466436E-016  0.398965E-018  0.308411E-019  0.359368E-016  0.171206E-022  0.198854E-025  0.835707E-004  0.326212E-006  0.157785E-002  0.263097E-005  0.418925E-008  0.334807E-002  0.305437E-001  0.881414E-001 -0.368244E-004  0.428618       0.188629E-001 -0.110256E-002  0.435952E-001
 0.500000        6.00000       0.566398E-004  0.258290E-005  0.362975E-008  0.515807E-005  0.253012E-003  0.299163E-004  0.248393E-003  0.264688E-003  0.994219       0.504338E-002  0.124667E-003  0.502855       0.487539E-002   0.00000        0.00000        0.00000       0.994035       0.403316E-018  0.186362E-004  0.119069E-003  0.837106E-003  0.422042E-005  0.317242E-003  0.920041E-005  0.686542E-005  0.167430E-004  0.340648E-003  0.118882E-003  0.480761E-006  0.442238E-004  0.126614E-013  0.291766E-011  0.215602E-016  0.392208E-012  0.132430E-011  0.520986E-007  0.148199E-006  0.204688E-014  0.652578E-023  0.208489E-017  0.224652E-026  0.436040E-004  0.143089E-003  0.101355E-007  0.260054E-008  0.128512E-016  0.632585E-005  0.440850E-006  0.482980E-005  0.159287E-002  0.283060E-011  0.916116E-004  0.241129E-018  0.273488E-006  0.226545E-003  0.219635E-003  0.812488E-002  0.318860E-016  0.117540E-036  0.128685E-001  0.461307E-003  0.377479E-003  0.249868E-005  0.568410E-006  0.113072E-005  0.570019E-011  0.139343E-001  0.148489E-004  0.896442E-005  0.236699E-013  0.437486E-024  0.771937E-002  0.176780E-005  0.672686E-002  0.308352E-005  0.155486E-003  0.667860E-019  0.130367E-002  0.838305E-013  0.861956E-009  0.174229E-014  0.871744E-014  0.803563E-014  0.757746E-026  0.201191E-012  0.626130E-016  0.534869E-018  0.396088E-019  0.460936E-016  0.210364E-022  0.244021E-025  0.110931E-003  0.433333E-006  0.209286E-002  0.333479E-005  0.613972E-008  0.490584E-002  0.413004E-001  0.117641      -0.490440E-004  0.568095       0.269348E-001 -0.153810E-002  0.629809E-001
 0.600000        7.00000       0.755434E-004  0.390039E-005  0.537604E-008  0.661903E-005  0.349560E-003  0.272273E-004  0.296932E-003  0.105599E-002  0.993382       0.546650E-002  0.262651E-003  0.503549       0.487665E-002   0.00000        0.00000        0.00000       0.992890       0.260794E-018  0.282524E-004  0.180576E-003  0.701800E-003  0.353650E-005  0.265884E-003  0.770839E-005  0.446443E-005  0.166246E-004  0.339795E-003  0.164569E-003  0.666006E-006  0.677200E-004  0.114249E-013  0.339082E-011  0.139439E-016  0.354169E-012  0.153812E-011  0.721205E-007  0.224910E-006  0.314539E-014  0.100440E-022  0.242382E-017  0.310987E-026  0.507943E-004  0.166436E-003  0.117799E-007  0.234603E-008  0.831304E-017  0.875618E-005  0.513161E-006  0.667806E-005  0.241725E-002  0.429849E-011  0.139718E-003  0.365708E-018  0.575840E-006  0.343485E-003  0.462771E-003  0.171172E-001  0.672224E-016  0.162805E-036  0.149730E-001  0.637866E-003  0.795391E-003  0.290454E-005  0.660327E-006  0.101988E-005  0.788497E-011  0.192750E-001  0.172526E-004  0.172207E-004  0.103285E-012  0.209572E-023  0.283245E-001  0.845832E-005  0.293211E-001  0.134651E-004  0.678622E-003  0.925244E-019  0.197645E-002  0.248108E-012  0.255185E-008  0.515915E-014  0.258159E-013  0.238007E-013  0.224648E-025  0.815792E-012  0.257282E-015  0.219908E-017  0.225967E-018  0.263285E-015  0.166622E-021  0.193322E-024  0.153516E-003  0.598505E-006  0.289464E-002  0.641031E-005  0.130859E-007  0.104601E-001  0.590567E-001  0.164753      -0.679053E-004  0.785596       0.550594E-001 -0.317266E-002  0.132054     
 0.700000        8.00000       0.860533E-004  0.444303E-005  0.612397E-008  0.753990E-005  0.398192E-003  0.310153E-004  0.338243E-003  0.120290E-002  0.993140       0.554704E-002  0.299192E-003  0.503702       0.487513E-002   0.00000        0.00000        0.00000       0.992580       0.297176E-018  0.321937E-004  0.205767E-003  0.799704E-003  0.402985E-005  0.302975E-003  0.878373E-005  0.508724E-005  0.189438E-004  0.387198E-003  0.187527E-003  0.758916E-006  0.771672E-004  0.130187E-013  0.386386E-011  0.158891E-016  0.403577E-012  0.175270E-011  0.821815E-007  0.256286E-006  0.358418E-014  0.114452E-022  0.276195E-017  0.354371E-026  0.578803E-004  0.189655E-003  0.134232E-007  0.267330E-008  0.947274E-017  0.997770E-005  0.584749E-006  0.760967E-005  0.275447E-002  0.489815E-011  0.159209E-003  0.416725E-018  0.656172E-006  0.391403E-003  0.527330E-003  0.195051E-001  0.766002E-016  0.185516E-036  0.170618E-001  0.726851E-003  0.906351E-003  0.330974E-005  0.752445E-006  0.116216E-005  0.898495E-011  0.219640E-001  0.196594E-004  0.196230E-004  0.117694E-012  0.238808E-023  0.322759E-001  0.963829E-005  0.334115E-001  0.153436E-004  0.773292E-003  0.105432E-018  0.225217E-002  0.282720E-012  0.290784E-008  0.587887E-014  0.294173E-013  0.271210E-013  0.255987E-025  0.929599E-012  0.293174E-015  0.250586E-017  0.257491E-018  0.300014E-015  0.189867E-021  0.220291E-024  0.174932E-003  0.681998E-006  0.329845E-002  0.730457E-005  0.149115E-007  0.119193E-001  0.672953E-001  0.187737      -0.773783E-004  0.895189       0.627404E-001 -0.361526E-002  0.150476     
 0.800000        9.00000       0.960784E-004  0.496064E-005  0.683741E-008  0.841829E-005  0.444581E-003  0.346286E-004  0.377648E-003  0.134304E-002  0.992910       0.562386E-002  0.334047E-003  0.503849       0.487367E-002   0.00000        0.00000        0.00000       0.992284       0.331902E-018  0.359557E-004  0.229812E-003  0.893153E-003  0.450076E-005  0.338379E-003  0.981015E-005  0.568170E-005  0.211574E-004  0.432443E-003  0.209440E-003  0.847599E-006  0.861844E-004  0.145400E-013  0.431536E-011  0.177458E-016  0.450737E-012  0.195751E-011  0.917848E-007  0.286234E-006  0.400301E-014  0.127826E-022  0.308470E-017  0.395780E-026  0.646438E-004  0.211816E-003  0.149918E-007  0.298569E-008  0.105797E-016  0.111436E-004  0.653080E-006  0.849890E-005  0.307634E-002  0.547052E-011  0.177813E-003  0.465421E-018  0.732848E-006  0.437139E-003  0.588950E-003  0.217844E-001  0.855512E-016  0.207195E-036  0.190556E-001  0.811787E-003  0.101226E-002  0.369650E-005  0.840371E-006  0.129796E-005  0.100349E-010  0.245305E-001  0.219566E-004  0.219161E-004  0.131447E-012  0.266714E-023  0.360475E-001  0.107646E-004  0.373158E-001  0.171365E-004  0.863654E-003  0.117752E-018  0.251535E-002  0.315756E-012  0.324764E-008  0.656584E-014  0.328549E-013  0.302902E-013  0.285901E-025  0.103823E-011  0.327433E-015  0.279868E-017  0.287579E-018  0.335072E-015  0.212053E-021  0.246033E-024  0.195373E-003  0.761692E-006  0.368389E-002  0.815814E-005  0.166539E-007  0.133121E-001  0.751590E-001  0.209675      -0.864203E-004  0.999796       0.700718E-001 -0.403771E-002  0.168060     
 0.900000        10.0000       0.105652E-003  0.545491E-005  0.751868E-008  0.925707E-005  0.488878E-003  0.380789E-004  0.415276E-003  0.147686E-002  0.992689       0.569722E-002  0.367331E-003  0.503988       0.487228E-002   0.00000        0.00000        0.00000       0.992001       0.365083E-018  0.395503E-004  0.252787E-003  0.982444E-003  0.495071E-005  0.372208E-003  0.107909E-004  0.624972E-005  0.232726E-004  0.475676E-003  0.230378E-003  0.932336E-006  0.948005E-004  0.159936E-013  0.474678E-011  0.195199E-016  0.495798E-012  0.215321E-011  0.100961E-006  0.314849E-006  0.440320E-014  0.140605E-022  0.339308E-017  0.435348E-026  0.711065E-004  0.232992E-003  0.164905E-007  0.328418E-008  0.116373E-016  0.122577E-004  0.718370E-006  0.934855E-005  0.338389E-002  0.601742E-011  0.195590E-003  0.511951E-018  0.806113E-006  0.480841E-003  0.647829E-003  0.239622E-001  0.941040E-016  0.227909E-036  0.209606E-001  0.892943E-003  0.111346E-002  0.406604E-005  0.924385E-006  0.142772E-005  0.110381E-010  0.269829E-001  0.241517E-004  0.241071E-004  0.144588E-012  0.293378E-023  0.396513E-001  0.118407E-004  0.410463E-001  0.188497E-004  0.949996E-003  0.129524E-018  0.276682E-002  0.347323E-012  0.357231E-008  0.722224E-014  0.361395E-013  0.333184E-013  0.314483E-025  0.114202E-011  0.360167E-015  0.307847E-017  0.316330E-018  0.368570E-015  0.233253E-021  0.270629E-024  0.214905E-003  0.837841E-006  0.405217E-002  0.897373E-005  0.183189E-007  0.146430E-001  0.826729E-001  0.230637      -0.950599E-004   1.09975       0.770771E-001 -0.444138E-002  0.184862     
