 T_SS_K  P_SS_bar
    931   24100.0
    932   23800.0
    927   27200.0
    932   23400.0
    927   26900.0
    927   27200.0
    927   26700.0
    927   27100.0
    925   28300.0
    923   29200.0
    926   27300.0
    924   28500.0
    922   29700.0
    920   30400.0
    925   27800.0
    921   30000.0
    928   26400.0
    926   27600.0
    924   28800.0
    923   29300.0
    926   27600.0
    927   27100.0
    925   28200.0
    928   26500.0
    927   26900.0
    926   27600.0
    923   29300.0
    927   26900.0
    925   28300.0
    922   29700.0
    923   29200.0
    923   29100.0
    925   28200.0
    925   28100.0
    926   27400.0
    922   29500.0
    924   28600.0
    926   27500.0
    924   28800.0
    921   30000.0
    923   29400.0
    924   28500.0
    923   29100.0
    927   27000.0
    921   30200.0
    921   30100.0
    922   29900.0
    921   30400.0
    921   30000.0
    924   28800.0
    923   29300.0
    922   29600.0
    926   27700.0
    920   30400.0
    922   29800.0
    916   32600.0
