|6.6.6
inf_a/graphite/build/PT_inf_graphite1_1.tab                                                         
           1
n,alqt. 
   2.1219957929415349E-314
   2.1219957929415349E-314
  -681572560
           3
n,alqt.        node#          mu[O2],J/mol  
  0.00000        1.00000       -358232.     
 0.100000        2.00000       -357207.     
 0.200000        3.00000       -356566.     
 0.300000        4.00000       -356257.     
 0.400000        5.00000       -356566.     
 0.500000        6.00000       -356566.     
 0.600000        7.00000       -356566.     
 0.700000        8.00000       -357033.     
 0.800000        9.00000       -357033.     
 0.900000        10.0000       -357046.     
  1.00000        11.0000       -357492.     
  1.10000        12.0000       -357631.     
  1.20000        13.0000       -357943.     
  1.30000        14.0000       -358034.     
  1.40000        15.0000       -358034.     
  1.50000        16.0000       -358373.     
  1.60000        17.0000       -358386.     
  1.70000        18.0000       -358386.     
  1.80000        19.0000       -358386.     
  1.90000        20.0000       -358765.     
  2.00000        21.0000       -358765.     
  2.10000        22.0000       -358823.     
  2.20000        23.0000       -358835.     
  2.30000        24.0000       -359192.     
  2.40000        25.0000       -359252.     
  2.50000        26.0000       -359315.     
  2.60000        27.0000       -359252.     
  2.70000        28.0000       -359315.     
  2.80000        29.0000       -359675.     
  2.90000        30.0000       -359853.     
  3.00000        31.0000       -359927.     
  3.10000        32.0000       -360091.     
  3.20000        33.0000       -359675.     
  3.30000        34.0000       -360091.     
  3.40000        35.0000       -360091.     
  3.50000        36.0000       -360382.     
  3.60000        37.0000       -360500.     
  3.70000        38.0000       -360500.     
  3.80000        39.0000       -360900.     
  3.90000        40.0000       -360904.     
  4.00000        41.0000       -360904.     
  4.10000        42.0000       -361301.     
  4.20000        43.0000       -361301.     
  4.30000        44.0000       -361408.     
  4.40000        45.0000       -361693.     
  4.50000        46.0000       -361693.     
  4.60000        47.0000       -361693.     
  4.70000        48.0000       -361773.     
  4.80000        49.0000       -361906.     
  4.90000        50.0000       -361906.     
  5.00000        51.0000       -362079.     
  5.10000        52.0000       -362079.     
  5.20000        53.0000       -362079.     
  5.30000        54.0000       -362396.     
  5.40000        55.0000       -362459.     
  5.50000        56.0000       -362459.     
  5.60000        57.0000       -362572.     
  5.70000        58.0000       -362972.     
  5.80000        59.0000       -363565.     
  5.90000        60.0000       -363845.     
  6.00000        61.0000       -364205.     
  6.10000        62.0000       -364752.     
  6.20000        63.0000       -365347.     
  6.30000        64.0000       -365421.     
  6.40000        65.0000       -365999.     
  6.50000        66.0000       -366186.     
  6.60000        67.0000       -366877.     
  6.70000        68.0000       -367187.     
  6.80000        69.0000       -367663.     
  6.90000        70.0000       -367789.     
  7.00000        71.0000       -368346.     
  7.10000        72.0000       -368897.     
  7.20000        73.0000       -369110.     
  7.30000        74.0000       -369530.     
  7.40000        75.0000       -369906.     
  7.50000        76.0000       -370211.     
  7.60000        77.0000       -370659.     
  7.70000        78.0000       -371213.     
  7.80000        79.0000       -371377.     
  7.90000        80.0000       -371819.     
  8.00000        81.0000       -372290.     
  8.10000        82.0000       -372640.     
  8.20000        83.0000       -372939.     
  8.30000        84.0000       -373465.     
  8.40000        85.0000       -373585.     
  8.50000        86.0000       -374072.     
  8.60000        87.0000       -374591.     
  8.70000        88.0000       -374969.     
  8.80000        89.0000       -375200.     
  8.90000        90.0000       -375709.     
  9.00000        91.0000       -375842.     
  9.10000        92.0000       -376343.     
  9.20000        93.0000       -376866.     
  9.30000        94.0000       -377182.     
  9.40000        95.0000       -377513.     
  9.50000        96.0000       -377942.     
  9.60000        97.0000       -378152.     
  9.70000        98.0000       -375465.     
  9.80000        99.0000       -379181.     
  9.90000        100.000       -379478.     
  10.0000        101.000       -371849.     
  10.1000        102.000       -380016.     
  10.2000        103.000       -380319.     
  10.3000        104.000       -380629.     
  10.4000        105.000       -380629.     
  10.5000        106.000       -380629.     
  10.6000        107.000       -380614.     
  10.7000        108.000       -380614.     
  10.8000        109.000       -380614.     
  10.9000        110.000       -380614.     
  11.0000        111.000       -380614.     
  11.1000        112.000       -380621.     
  11.2000        113.000       -380621.     
  11.3000        114.000       -380621.     
  11.4000        115.000       -380621.     
  11.5000        116.000       -380621.     
  11.6000        117.000       -380621.     
  11.7000        118.000       -380621.     
  11.8000        119.000       -380621.     
  11.9000        120.000       -380621.     
  12.0000        121.000       -380621.     
  12.1000        122.000       -380621.     
  12.2000        123.000       -380621.     
  12.3000        124.000       -380621.     
  12.4000        125.000       -380621.     
  12.5000        126.000       -380621.     
  12.6000        127.000       -380621.     
  12.7000        128.000       -380621.     
  12.8000        129.000       -380621.     
  12.9000        130.000       -380621.     
  13.0000        131.000       -380621.     
  13.1000        132.000       -380621.     
  13.2000        133.000       -380621.     
  13.3000        134.000       -380621.     
  13.4000        135.000       -380621.     
  13.5000        136.000       -380621.     
  13.6000        137.000       -380621.     
  13.7000        138.000       -380621.     
  13.8000        139.000       -380621.     
  13.9000        140.000       -380621.     
  14.0000        141.000       -380621.     
  14.1000        142.000       -380621.     
  14.2000        143.000       -380621.     
  14.3000        144.000       -380621.     
  14.4000        145.000       -380621.     
  14.5000        146.000       -380621.     
  14.6000        147.000       -380621.     
  14.7000        148.000       -380621.     
  14.8000        149.000       -380621.     
  14.9000        150.000       -380621.     
  15.0000        151.000       -380621.     
  15.1000        152.000       -380621.     
  15.2000        153.000       -380621.     
  15.3000        154.000       -380621.     
  15.4000        155.000       -380621.     
  15.5000        156.000       -380621.     
  15.6000        157.000       -380621.     
  15.7000        158.000       -380621.     
  15.8000        159.000       -380621.     
  15.9000        160.000       -380621.     
  16.0000        161.000       -380621.     
  16.1000        162.000       -380621.     
  16.2000        163.000       -380621.     
  16.3000        164.000       -380621.     
  16.4000        165.000       -380621.     
  16.5000        166.000       -380621.     
  16.6000        167.000       -380621.     
  16.7000        168.000       -380608.     
  16.8000        169.000       -380607.     
  16.9000        170.000       -380607.     
  17.0000        171.000       -381598.     
  17.1000        172.000       -380592.     
  17.2000        173.000       -382061.     
  17.3000        174.000       -380582.     
  17.4000        175.000       -382612.     
  17.5000        176.000       -382926.     
  17.6000        177.000       -380979.     
  17.7000        178.000       -380563.     
  17.8000        179.000       -383684.     
  17.9000        180.000       -384181.     
  18.0000        181.000       -384330.     
  18.1000        182.000       -384290.     
  18.2000        183.000       -383697.     
  18.3000        184.000       -386177.     
  18.4000        185.000       -386340.     
  18.5000        186.000       -386474.     
  18.6000        187.000       -386453.     
  18.7000        188.000       -386510.     
  18.8000        189.000       -386885.     
  18.9000        190.000       -387083.     
  19.0000        191.000       -397845.     
  19.1000        192.000       -395902.     
  19.2000        193.000       -388836.     
  19.3000        194.000       -389044.     
  19.4000        195.000       -398449.     
  19.5000        196.000       -398482.     
  19.6000        197.000       -391227.     
  19.7000        198.000       -398851.     
  19.8000        199.000       -398933.     
  19.9000        200.000       -398993.     
  20.0000        201.000       -399216.     
  20.1000        202.000       -399216.     
  20.2000        203.000       -399497.     
  20.3000        204.000       -399497.     
  20.4000        205.000       -399577.     
  20.5000        206.000       -399776.     
  20.6000        207.000       -399936.     
  20.7000        208.000       -400052.     
  20.8000        209.000       -400052.     
  20.9000        210.000       -400291.     
  21.0000        211.000       -400327.     
  21.1000        212.000       -400391.     
  21.2000        213.000       -400600.     
  21.3000        214.000       -400600.     
  21.4000        215.000       -400643.     
  21.5000        216.000       -400870.     
  21.6000        217.000       -400992.     
  21.7000        218.000       -401099.     
  21.8000        219.000       -401139.     
  21.9000        220.000       -401338.     
  22.0000        221.000       -401407.     
  22.1000        222.000       -401407.     
  22.2000        223.000       -401610.     
  22.3000        224.000       -401672.     
  22.4000        225.000       -401681.     
  22.5000        226.000       -401935.     
  22.6000        227.000       -401935.     
  22.7000        228.000       -402021.     
  22.8000        229.000       -402197.     
  22.9000        230.000       -402197.     
  23.0000        231.000       -402358.     
  23.1000        232.000       -402457.     
  23.2000        233.000       -402615.     
  23.3000        234.000       -402693.     
  23.4000        235.000       -402715.     
  23.5000        236.000       -402846.     
  23.6000        237.000       -402972.     
  23.7000        238.000       -403024.     
  23.8000        239.000       -403108.     
  23.9000        240.000       -403226.     
  24.0000        241.000       -403353.     
  24.1000        242.000       -403480.     
  24.2000        243.000       -403480.     
  24.3000        244.000       -403679.     
  24.4000        245.000       -403731.     
  24.5000        246.000       -403731.     
  24.6000        247.000       -403981.     
  24.7000        248.000       -404003.     
  24.8000        249.000       -404079.     
  24.9000        250.000       -404230.     
  25.0000        251.000       -404324.     
  25.1000        252.000       -404477.     
  25.2000        253.000       -404477.     
  25.3000        254.000       -404643.     
  25.4000        255.000       -404722.     
  25.5000        256.000       -404722.     
  25.6000        257.000       -404959.     
  25.7000        258.000       -404966.     
  25.8000        259.000       -404966.     
  25.9000        260.000       -405208.     
  26.0000        261.000       -405252.     
  26.1000        262.000       -405273.     
  26.2000        263.000       -405646.     
  26.3000        264.000       -407625.     
  26.4000        265.000       -406862.     
  26.5000        266.000       -407801.     
  26.6000        267.000       -408026.     
  26.7000        268.000       -418775.     
  26.8000        269.000       -409145.     
  26.9000        270.000       -418686.     
  27.0000        271.000       -418672.     
  27.1000        272.000       -418597.     
  27.2000        273.000       -418597.     
  27.3000        274.000       -418557.     
  27.4000        275.000       -418508.     
  27.5000        276.000       -418503.     
  27.6000        277.000       -418434.     
  27.7000        278.000       -418409.     
  27.8000        279.000       -418406.     
  27.9000        280.000       -418319.     
  28.0000        281.000       -418319.     
  28.1000        282.000       -418319.     
  28.2000        283.000       -418319.     
  28.3000        284.000       -418315.     
  28.4000        285.000       -418315.     
  28.5000        286.000       -418315.     
  28.6000        287.000       -418315.     
  28.7000        288.000       -418315.     
  28.8000        289.000       -418315.     
  28.9000        290.000       -418315.     
  29.0000        291.000       -418315.     
  29.1000        292.000       -418315.     
  29.2000        293.000       -418315.     
  29.3000        294.000       -418315.     
  29.4000        295.000       -418315.     
  29.5000        296.000       -418315.     
  29.6000        297.000       -418315.     
  29.7000        298.000       -418315.     
  29.8000        299.000       -418315.     
  29.9000        300.000       -418315.     
  30.0000        301.000       -418315.     
  30.1000        302.000       -418299.     
  30.2000        303.000       -418299.     
  30.3000        304.000       -418823.     
  30.4000        305.000       -436300.     
  30.5000        306.000       -436336.     
  30.6000        307.000       -436302.     
  30.7000        308.000       -436431.     
  30.8000        309.000       -436526.     
  30.9000        310.000       -436543.     
  31.0000        311.000       -436561.     
  31.1000        312.000       -436715.     
  31.2000        313.000       -436680.     
  31.3000        314.000       -436691.     
  31.4000        315.000       -436860.     
  31.5000        316.000       -436889.     
  31.6000        317.000       -436905.     
  31.7000        318.000       -436870.     
  31.8000        319.000       -438519.     
  31.9000        320.000       -440634.     
  32.0000        321.000       -442250.     
  32.1000        322.000       -442249.     
  32.2000        323.000       -442249.     
  32.3000        324.000       -442248.     
  32.4000        325.000       -442248.     
  32.5000        326.000       -442248.     
  32.6000        327.000       -442248.     
  32.7000        328.000       -442246.     
  32.8000        329.000       -442245.     
  32.9000        330.000       -442245.     
  33.0000        331.000       -442245.     
  33.1000        332.000       -442244.     
  33.2000        333.000       -442244.     
  33.3000        334.000       -442244.     
  33.4000        335.000       -442244.     
  33.5000        336.000       -442244.     
  33.6000        337.000       -442241.     
  33.7000        338.000       -442240.     
  33.8000        339.000       -442240.     
  33.9000        340.000       -442240.     
  34.0000        341.000       -442240.     
  34.1000        342.000       -442240.     
  34.2000        343.000       -442240.     
  34.3000        344.000       -442240.     
  34.4000        345.000       -442240.     
  34.5000        346.000       -442238.     
  34.6000        347.000       -442236.     
  34.7000        348.000       -442236.     
  34.8000        349.000       -442236.     
  34.9000        350.000       -442236.     
  35.0000        351.000       -442235.     
  35.1000        352.000       -442235.     
  35.2000        353.000       -442235.     
  35.3000        354.000       -442235.     
  35.4000        355.000       -442233.     
  35.5000        356.000       -442232.     
  35.6000        357.000       -442232.     
  35.7000        358.000       -442232.     
  35.8000        359.000       -442232.     
  35.9000        360.000       -442230.     
  36.0000        361.000       -442229.     
  36.1000        362.000       -442229.     
  36.2000        363.000       -442229.     
  36.3000        364.000       -442229.     
  36.4000        365.000       -442228.     
  36.5000        366.000       -442228.     
  36.6000        367.000       -442228.     
  36.7000        368.000       -442228.     
  36.8000        369.000       -442225.     
  36.9000        370.000       -442224.     
  37.0000        371.000       -442224.     
  37.1000        372.000       -442224.     
  37.2000        373.000       -442224.     
  37.3000        374.000       -442223.     
  37.4000        375.000       -442223.     
  37.5000        376.000       -442223.     
  37.6000        377.000       -442223.     
  37.7000        378.000       -442223.     
  37.8000        379.000       -442219.     
  37.9000        380.000       -442219.     
  38.0000        381.000       -442219.     
  38.1000        382.000       -442219.     
  38.2000        383.000       -442219.     
  38.3000        384.000       -442219.     
  38.4000        385.000       -442219.     
  38.5000        386.000       -442219.     
  38.6000        387.000       -442217.     
  38.7000        388.000       -442217.     
  38.8000        389.000       -442215.     
  38.9000        390.000       -442215.     
  39.0000        391.000       -442215.     
  39.1000        392.000       -442214.     
  39.2000        393.000       -442213.     
  39.3000        394.000       -442213.     
  39.4000        395.000       -442213.     
  39.5000        396.000       -442211.     
  39.6000        397.000       -442211.     
  39.7000        398.000       -442211.     
  39.8000        399.000       -442211.     
  39.9000        400.000       -442210.     
  40.0000        401.000       -442209.     
  40.1000        402.000       -442208.     
  40.2000        403.000       -442208.     
  40.3000        404.000       -442208.     
  40.4000        405.000       -442208.     
  40.5000        406.000       -442207.     
  40.6000        407.000       -442207.     
  40.7000        408.000       -442207.     
  40.8000        409.000       -442207.     
  40.9000        410.000       -442203.     
  41.0000        411.000       -442203.     
  41.1000        412.000       -442203.     
  41.2000        413.000       -442203.     
  41.3000        414.000       -442203.     
  41.4000        415.000       -442203.     
  41.5000        416.000       -442203.     
  41.6000        417.000       -442203.     
  41.7000        418.000       -442201.     
  41.8000        419.000       -442200.     
  41.9000        420.000       -442199.     
  42.0000        421.000       -442199.     
  42.1000        422.000       -442199.     
  42.2000        423.000       -442197.     
  42.3000        424.000       -442197.     
  42.4000        425.000       -442197.     
  42.5000        426.000       -442197.     
  42.6000        427.000       -442197.     
  42.7000        428.000       -442195.     
  42.8000        429.000       -442195.     
  42.9000        430.000       -442195.     
  43.0000        431.000       -442195.     
  43.1000        432.000       -442193.     
  43.2000        433.000       -442192.     
  43.3000        434.000       -442192.     
  43.4000        435.000       -442192.     
  43.5000        436.000       -442192.     
  43.6000        437.000       -442191.     
  43.7000        438.000       -442191.     
  43.8000        439.000       -442191.     
  43.9000        440.000       -442190.     
  44.0000        441.000       -442187.     
  44.1000        442.000       -442187.     
  44.2000        443.000       -442187.     
  44.3000        444.000       -442187.     
  44.4000        445.000       -442187.     
  44.5000        446.000       -442187.     
  44.6000        447.000       -442187.     
  44.7000        448.000       -442187.     
  44.8000        449.000       -442185.     
  44.9000        450.000       -442184.     
  45.0000        451.000       -442183.     
  45.1000        452.000       -442183.     
  45.2000        453.000       -442183.     
  45.3000        454.000       -442181.     
  45.4000        455.000       -442181.     
  45.5000        456.000       -442181.     
  45.6000        457.000       -442181.     
  45.7000        458.000       -442178.     
  45.8000        459.000       -442178.     
  45.9000        460.000       -442178.     
  46.0000        461.000       -442178.     
  46.1000        462.000       -442177.     
  46.2000        463.000       -442177.     
  46.3000        464.000       -442176.     
  46.4000        465.000       -442176.     
  46.5000        466.000       -442176.     
  46.6000        467.000       -442176.     
  46.7000        468.000       -442174.     
  46.8000        469.000       -442174.     
  46.9000        470.000       -442174.     
  47.0000        471.000       -442171.     
  47.1000        472.000       -442171.     
  47.2000        473.000       -442171.     
  47.3000        474.000       -442171.     
  47.4000        475.000       -442171.     
  47.5000        476.000       -442170.     
  47.6000        477.000       -442170.     
  47.7000        478.000       -442170.     
  47.8000        479.000       -442170.     
  47.9000        480.000       -442168.     
  48.0000        481.000       -442166.     
  48.1000        482.000       -442166.     
  48.2000        483.000       -442166.     
  48.3000        484.000       -442165.     
  48.4000        485.000       -442165.     
  48.5000        486.000       -442165.     
  48.6000        487.000       -442165.     
  48.7000        488.000       -442164.     
  48.8000        489.000       -442162.     
  48.9000        490.000       -442162.     
  49.0000        491.000       -442162.     
  49.1000        492.000       -442160.     
  49.2000        493.000       -442160.     
  49.3000        494.000       -442160.     
  49.4000        495.000       -442160.     
  49.5000        496.000       -442160.     
  49.6000        497.000       -442158.     
  49.7000        498.000       -442158.     
  49.8000        499.000       -442158.     
  49.9000        500.000       -442158.     
  50.0000        501.000       -442157.     
