|6.6.6
PT_inf_graphite46_1.tab                                                                             
           1
n,alqt. 
  0.000000000000000E+000
  0.000000000000000E+000
           0
         106
n,alqt.        node#          Si,mol,pfu     Al,mol,pfu     Cr,mol,pfu     Fe,mol,pfu     Mg,mol,pfu     Ca,mol,pfu     K,mol,pfu      Na,mol,pfu     H2,mol,pfu     C,mol,pfu      S2,mol,pfu     O2,mol,pfu     y_{CO2}        y_{CH4}        y_{H2S}        y_{H2}         y_{H2O}        m_{Al+3}       m_{AlO2-}      m_{AlO2(SiO}   m_{Ca(HCO3)}   m_{Ca(HCOO)}   m_{Ca(HSiO3}   m_{Ca(OH)+}    m_{Ca+2}       m_{CaCO3,aq}   m_{CaO,aq}     m_{CaSO4,aq}   m_{CO,aq}      m_{CO3-2}      m_{Cr+2}       m_{CrOH+}      m_{Cr+3}       m_{CrOH+2}     m_{Cr(OH)2+}   m_{Cr(OH)3}    m_{Cr(OH)4-}   m_{CrO4-2}     m_{Cr2O7-2}    m_{Fecho+}     m_{Fecho0}     m_{Fe(HCOO)}   m_{Fe(HSiO3}   m_{Fe(OH)+}    m_{Fe+2}       m_{Fe+3}       m_{FeO,aq}     m_{H+}         m_{HAlO2,aq}   m_{HCO3-}      m_{HCrO4-}     m_{HFeO2-}     m_{HO2-}       m_{HS-}        m_{HSiO3-}     m_{HSO3-}      m_{HSO4-}      m_{HSO5-}      m_{Isobutan}   m_{K+}         m_{KOH,aq}     m_{KSO4-}      m_{Mg(HCO3)}   m_{Mg(HSiO3}   m_{Mg+2}       m_{MgCO3,aq}   m_{MgO,aq}     m_{MgOH+}      m_{MgSO4,aq}   m_{Na(Ac),a}   m_{Na(Ac)2-}   m_{Na+}        m_{NaCO3-}     m_{NaHCO3,a}   m_{NaHSiO3,}   m_{NaOH,aq}    m_{O2,aq}      m_{OH-}        m_{S2-2}       m_{S2O3-2}     m_{S2O4-2}     m_{S2O5-2}     m_{S2O6-2}     m_{S2O8-2}     m_{S3-}        m_{S3-2}       m_{S3O6-2}     m_{S4-2}       m_{S4O6-2}     m_{S5-2}       m_{S5O6-2}     m_{Si2O4,aq}   m_{Si3O6,aq}   m_{SiO2,aq}    m_{SO2,aq}     m_{SO3-2}      m_{SO4-2}      pH-pH_0        pH             error_pH       permittivity   I,m            ref_chg        tot_solute_m  
  0.00000        1.00000       0.210149E-002  0.160377E-004  0.146803E-006  0.277892E-003  0.780934E-002  0.142192E-002   0.00000        0.00000       0.986944       0.254017E-002  0.639060E-003  0.504782       0.249547E-002   0.00000        0.00000        0.00000       0.985843       0.656344E-015  0.110611E-003  0.628429E-003  0.223594E-002  0.147656E-004  0.408996E-001  0.193252E-002  0.415520E-002  0.141426E-004  0.130693E-001  0.172546E-001  0.852898E-007  0.833904E-006  0.603218E-011  0.898788E-009  0.806870E-013  0.471195E-009  0.721118E-009  0.601528E-005  0.219828E-005  0.107705E-014  0.191760E-023  0.204811E-018  0.268921E-031  0.879704E-004  0.141010E-001  0.172625E-005  0.146342E-005  0.339716E-013  0.473568E-003  0.576755E-004  0.158491E-003  0.142062E-003  0.876582E-011  0.886155E-003  0.125091E-017  0.157418E-005  0.155954E-002  0.157219E-002  0.475110E-001  0.945851E-016  0.775735E-042   0.00000        0.00000        0.00000       0.618027E-005  0.208420E-003  0.612619E-003  0.457546E-011  0.433496       0.239150E-002  0.325098E-003   0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000       0.576185E-018  0.942139E-002  0.659002E-013  0.735653E-009  0.116610E-014  0.589435E-014  0.498569E-014  0.108010E-026  0.432918E-012  0.691716E-016  0.602732E-018  0.617143E-019  0.319477E-016  0.461906E-022  0.885010E-025  0.245717E-002  0.813621E-005  0.552716E-001  0.444178E-004  0.684044E-008  0.481950E-002  0.773187        2.94596      -0.685012E-003   17.6205       0.810654E-001 -0.820459E-002  0.655941     
 0.100000        2.00000       0.206642E-005  0.845846E-007  0.416104E-009  0.234925E-006  0.105475E-004  0.178174E-005  0.136178E-004  0.221530E-005  0.997051       0.291754E-002  0.506987E-005  0.501470       0.291504E-002   0.00000        0.00000        0.00000       0.997045       0.521572E-019  0.667339E-006  0.379616E-005  0.425171E-004  0.268082E-006  0.146019E-004  0.689065E-006  0.577980E-006  0.916791E-006  0.158153E-004  0.231066E-004  0.581285E-008  0.160569E-005  0.979521E-015  0.374238E-012  0.692723E-017  0.782575E-013  0.307459E-012  0.869310E-008  0.143079E-007  0.448739E-016  0.923937E-025  0.186457E-018  0.196115E-027  0.172416E-005  0.544243E-005  0.665676E-009  0.220134E-009  0.270078E-017  0.619596E-006  0.227360E-007  0.212260E-006  0.457200E-004  0.611904E-013  0.519934E-005  0.790941E-020  0.871919E-008  0.942832E-005  0.100113E-004  0.317024E-003  0.660904E-018  0.457997E-038  0.709907E-003  0.249686E-004  0.179018E-004  0.130248E-006  0.824915E-007  0.944133E-007  0.327394E-012  0.581321E-003  0.944944E-006  0.482165E-006  0.185616E-015  0.197673E-026  0.760280E-004  0.131633E-007  0.449383E-004  0.533198E-007  0.142695E-005  0.846544E-021  0.568726E-004  0.209416E-014  0.268845E-010  0.446439E-016  0.236430E-015  0.209509E-015  0.497893E-028  0.227216E-014  0.211387E-017  0.243612E-019  0.181368E-020  0.124107E-017  0.130543E-023  0.330907E-026  0.330172E-005  0.109683E-007  0.741886E-004  0.627913E-007  0.260055E-009  0.191917E-003  0.158979E-002  0.449903E-002 -0.105566E-005  0.236187E-001  0.104790E-002 -0.626455E-004  0.228465E-002
 0.200000        3.00000       0.417763E-005  0.179757E-006  0.873672E-009  0.474806E-006  0.216414E-004  0.330246E-005  0.266013E-004  0.143751E-004  0.997008       0.292303E-002  0.118367E-004  0.501490       0.291428E-002   0.00000        0.00000        0.00000       0.996994       0.854607E-019  0.142062E-005  0.808120E-005  0.753056E-004  0.474822E-006  0.258627E-004  0.122046E-005  0.949729E-006  0.171710E-005  0.296213E-004  0.474152E-004  0.119281E-007  0.347882E-005  0.176342E-014  0.726215E-012  0.113504E-016  0.140886E-012  0.596630E-012  0.178384E-007  0.304585E-007  0.972216E-016  0.200175E-024  0.361823E-018  0.402432E-027  0.334576E-005  0.105611E-004  0.129176E-008  0.396304E-009  0.442530E-017  0.127142E-005  0.441197E-007  0.435561E-006  0.973280E-004  0.130261E-012  0.110683E-004  0.168374E-019  0.203358E-007  0.200708E-004  0.233493E-004  0.739397E-003  0.154143E-017  0.939817E-038  0.137759E-002  0.512360E-004  0.417525E-004  0.252748E-006  0.160076E-006  0.169971E-006  0.671818E-012  0.119288E-002  0.183368E-005  0.108400E-005  0.124658E-014  0.137721E-025  0.482853E-003  0.917102E-007  0.301801E-003  0.358090E-006  0.958322E-005  0.173712E-020  0.121069E-003  0.544613E-014  0.699166E-010  0.116102E-015  0.614865E-015  0.544853E-015  0.129483E-027  0.636110E-014  0.602295E-017  0.694114E-019  0.566169E-020  0.387421E-017  0.446471E-023  0.113174E-025  0.677518E-005  0.225071E-007  0.152236E-003  0.141168E-006  0.617289E-009  0.455551E-003  0.330087E-002  0.927068E-002 -0.216552E-005  0.484661E-001  0.244189E-002 -0.145494E-003  0.529994E-002
 0.300000        4.00000       0.653235E-005  0.300063E-006  0.143361E-008  0.737279E-006  0.343196E-004  0.465879E-005  0.390932E-004  0.453331E-004  0.996947       0.293651E-002  0.218186E-004  0.501523       0.291337E-002   0.00000        0.00000        0.00000       0.996919       0.945073E-019  0.237701E-005  0.135216E-004  0.995956E-004  0.627977E-006  0.342048E-004  0.161412E-005  0.111379E-005  0.247700E-005  0.427301E-004  0.752057E-004  0.189192E-007  0.593894E-005  0.227385E-014  0.105605E-011  0.125520E-016  0.181666E-012  0.867605E-012  0.282936E-007  0.509638E-007  0.165974E-015  0.341734E-024  0.526154E-018  0.638301E-027  0.486533E-005  0.153578E-004  0.187844E-008  0.511016E-009  0.489375E-017  0.201661E-005  0.641578E-007  0.690848E-006  0.162851E-003  0.217956E-012  0.185196E-004  0.281727E-019  0.374127E-007  0.335829E-004  0.429568E-004  0.136030E-002  0.283584E-017  0.149065E-037  0.200325E-002  0.812658E-004  0.768139E-004  0.367540E-006  0.232779E-006  0.219170E-006  0.106558E-011  0.189204E-002  0.266650E-005  0.189046E-005  0.414075E-014  0.482594E-025  0.147048E-002  0.321365E-006  0.100249E-002  0.118947E-005  0.318326E-004  0.275526E-020  0.202576E-003  0.112402E-013  0.144300E-009  0.239621E-015  0.126901E-014  0.112452E-014  0.267239E-027  0.141481E-013  0.136678E-016  0.157515E-018  0.141267E-019  0.966669E-017  0.122488E-022  0.310489E-025  0.107462E-004  0.356988E-007  0.241463E-003  0.246191E-006  0.115870E-008  0.855105E-003  0.532830E-002  0.147971E-001 -0.343653E-005  0.768724E-001  0.449838E-002 -0.266178E-003  0.979599E-002
 0.400000        5.00000       0.883619E-005  0.419661E-006  0.198737E-008  0.992205E-006  0.467129E-004  0.596680E-005  0.509448E-004  0.799023E-004  0.996885       0.295207E-002  0.320837E-004  0.501559       0.291246E-002   0.00000        0.00000        0.00000       0.996842       0.103545E-018  0.332858E-005  0.189346E-004  0.122748E-003  0.773959E-006  0.421562E-004  0.198935E-005  0.127687E-005  0.321035E-005  0.553809E-004  0.102377E-003  0.257547E-007  0.836822E-005  0.273799E-014  0.136705E-011  0.137523E-016  0.218748E-012  0.112311E-011  0.385160E-007  0.713657E-007  0.233865E-015  0.481518E-024  0.681105E-018  0.868917E-027  0.629815E-005  0.198806E-004  0.243164E-008  0.615326E-009  0.536172E-017  0.274521E-005  0.830520E-007  0.940450E-006  0.228044E-003  0.305208E-012  0.259334E-004  0.394508E-019  0.550267E-007  0.470269E-004  0.631810E-004  0.200073E-002  0.417096E-017  0.202922E-037  0.259321E-002  0.110627E-003  0.112978E-003  0.475780E-006  0.301332E-006  0.263907E-006  0.145057E-011  0.257563E-002  0.345177E-005  0.270301E-005  0.751529E-014  0.900996E-025  0.253790E-002  0.599984E-006  0.181948E-002  0.215883E-005  0.577748E-004  0.375074E-020  0.283671E-003  0.174724E-013  0.224308E-009  0.372480E-015  0.197262E-014  0.174801E-014  0.415411E-027  0.229565E-013  0.223154E-016  0.257173E-018  0.242254E-019  0.165771E-016  0.220623E-022  0.559247E-025  0.146288E-004  0.485966E-007  0.328704E-003  0.352008E-006  0.171483E-008  0.126552E-002  0.732412E-002  0.202139E-001 -0.467492E-005  0.104646       0.660778E-002 -0.389660E-003  0.144661E-001
 0.500000        6.00000       0.992062E-005  0.427632E-006  0.198955E-008  0.112389E-005  0.499351E-004  0.891188E-005  0.604347E-004  0.164760E-004  0.997272       0.257991E-002  0.233649E-004  0.501345       0.256515E-002   0.00000        0.00000        0.00000       0.997246       0.202365E-018  0.338470E-005  0.192635E-004  0.212870E-003  0.137446E-005  0.731628E-004  0.345098E-005  0.270716E-005  0.489161E-005  0.848465E-004  0.109661E-003  0.282579E-007  0.868936E-005  0.396954E-014  0.162106E-011  0.259691E-016  0.313551E-012  0.131496E-011  0.398696E-007  0.701797E-007  0.227291E-015  0.436792E-024  0.919445E-018  0.113945E-026  0.792879E-005  0.244183E-004  0.298394E-008  0.922918E-009  0.104790E-016  0.297614E-005  0.100841E-006  0.100654E-005  0.231826E-003  0.289598E-012  0.268413E-004  0.391582E-019  0.431229E-007  0.478152E-004  0.460720E-004  0.142385E-002  0.289919E-017  0.296939E-037  0.314438E-002  0.118254E-003  0.803399E-004  0.575906E-006  0.364907E-006  0.390681E-006  0.154995E-011  0.275465E-002  0.418011E-005  0.202255E-005  0.158475E-014  0.198768E-025  0.551609E-003  0.109205E-006  0.348168E-003  0.414290E-006  0.110802E-004  0.383041E-020  0.288367E-003  0.105552E-013  0.126040E-009  0.204327E-015  0.105628E-014  0.913741E-015  0.207065E-027  0.100475E-013  0.101405E-016  0.101103E-018  0.828076E-020  0.490532E-017  0.567270E-023  0.124357E-025  0.156688E-004  0.519571E-007  0.351831E-003  0.270245E-006  0.128038E-008  0.922627E-003  0.767332E-002  0.214827E-001 -0.500754E-005  0.111971       0.496503E-002 -0.288918E-003  0.109327E-001
 0.600000        7.00000       0.117585E-004  0.516165E-006  0.239162E-008  0.133434E-005  0.595338E-004  0.102270E-004  0.708634E-004  0.292112E-004  0.997233       0.258623E-002  0.292274E-004  0.501363       0.256503E-002   0.00000        0.00000        0.00000       0.997199       0.223798E-018  0.408785E-005  0.232654E-004  0.240537E-003  0.155310E-005  0.826718E-004  0.389950E-005  0.298327E-005  0.563325E-005  0.977104E-004  0.130749E-003  0.336919E-007  0.105659E-004  0.452895E-014  0.189646E-011  0.287195E-016  0.357738E-012  0.153836E-011  0.475365E-007  0.847593E-007  0.276376E-015  0.531120E-024  0.107565E-017  0.135856E-026  0.927582E-005  0.285667E-004  0.349088E-008  0.105298E-008  0.115889E-016  0.354844E-005  0.117973E-006  0.120010E-005  0.279987E-003  0.349760E-012  0.324176E-004  0.472932E-019  0.539215E-007  0.577487E-004  0.576090E-004  0.178040E-002  0.362519E-017  0.354039E-037  0.367858E-002  0.140995E-003  0.100458E-003  0.673747E-006  0.426902E-006  0.445737E-006  0.184800E-011  0.328437E-002  0.489027E-005  0.249668E-005  0.284214E-014  0.361096E-025  0.970682E-003  0.198390E-006  0.624416E-003  0.743002E-006  0.198715E-004  0.456699E-020  0.348274E-003  0.137576E-013  0.164279E-009  0.266318E-015  0.137675E-014  0.119096E-014  0.269887E-027  0.134669E-013  0.136840E-016  0.136432E-018  0.115691E-019  0.685328E-017  0.820538E-023  0.179879E-025  0.186819E-004  0.619484E-007  0.419488E-003  0.333595E-006  0.161190E-008  0.116151E-002  0.918549E-002  0.256503E-001 -0.597154E-005  0.133502       0.620424E-002 -0.360751E-003  0.136323E-001
 0.700000        8.00000       0.139529E-004  0.641387E-006  0.293793E-008  0.158396E-005  0.714257E-004  0.113144E-004  0.810614E-004  0.642514E-004  0.997172       0.260200E-002  0.389483E-004  0.501397       0.256484E-002   0.00000        0.00000        0.00000       0.997123       0.216690E-018  0.508765E-005  0.289556E-004  0.256120E-003  0.165372E-005  0.880275E-004  0.415213E-005  0.295731E-005  0.633115E-005  0.109816E-003  0.156888E-003  0.404276E-007  0.134030E-004  0.479326E-014  0.215593E-011  0.278074E-016  0.378616E-012  0.174883E-011  0.570401E-007  0.105490E-006  0.350589E-015  0.673736E-024  0.122282E-017  0.163017E-026  0.105449E-004  0.324751E-004  0.396849E-008  0.111443E-008  0.112208E-016  0.425785E-005  0.134114E-006  0.144003E-005  0.348466E-003  0.435304E-012  0.403462E-004  0.588601E-019  0.716495E-007  0.718727E-004  0.765494E-004  0.236575E-002  0.481707E-017  0.424819E-037  0.418187E-002  0.169182E-003  0.133486E-003  0.765926E-006  0.485309E-006  0.471751E-006  0.221745E-011  0.394098E-002  0.555934E-005  0.319849E-005  0.645586E-014  0.850746E-025  0.208892E-002  0.467409E-006  0.141834E-002  0.168771E-005  0.451377E-004  0.548003E-020  0.433454E-003  0.198929E-013  0.237541E-009  0.385085E-015  0.199072E-014  0.172208E-014  0.390245E-027  0.203975E-013  0.211251E-016  0.210621E-018  0.190685E-019  0.112957E-016  0.144392E-022  0.316536E-025  0.224168E-004  0.743332E-007  0.503353E-003  0.427368E-006  0.218305E-008  0.157307E-002  0.111468E-001  0.309033E-001 -0.716043E-005  0.160192       0.826748E-002 -0.478529E-003  0.181489E-001
 0.800000        9.00000       0.151697E-004  0.691418E-006  0.319294E-008  0.173865E-005  0.789501E-004  0.113438E-004  0.907591E-004  0.883339E-004  0.997127       0.261164E-002  0.473272E-004  0.501423       0.256469E-002   0.00000        0.00000        0.00000       0.997068       0.235402E-018  0.547899E-005  0.311828E-004  0.248638E-003  0.160541E-005  0.854560E-004  0.403083E-005  0.285446E-005  0.608436E-005  0.105535E-003  0.173402E-003  0.446830E-007  0.138426E-004  0.532095E-014  0.240708E-011  0.302087E-016  0.420298E-012  0.195256E-011  0.630440E-007  0.113604E-006  0.362086E-015  0.695829E-024  0.136526E-017  0.180176E-026  0.117733E-004  0.362582E-004  0.443078E-008  0.123712E-008  0.121898E-016  0.470603E-005  0.149737E-006  0.159160E-005  0.375270E-003  0.468787E-012  0.434495E-004  0.633875E-019  0.887415E-007  0.774010E-004  0.948103E-004  0.293010E-002  0.596618E-017  0.469535E-037  0.466902E-002  0.186990E-003  0.165329E-003  0.855150E-006  0.541843E-006  0.523686E-006  0.245086E-011  0.435580E-002  0.620696E-005  0.406573E-005  0.882348E-014  0.113294E-024  0.288403E-002  0.622447E-006  0.193851E-002  0.230666E-005  0.616916E-004  0.605685E-020  0.466795E-003  0.271752E-013  0.324499E-009  0.526056E-015  0.271947E-014  0.235249E-014  0.533104E-027  0.334159E-013  0.331897E-016  0.330908E-018  0.344550E-019  0.204103E-016  0.300061E-022  0.657795E-025  0.247763E-004  0.821573E-007  0.556335E-003  0.543246E-006  0.259303E-008  0.186850E-002  0.122650E-001  0.341011E-001 -0.792121E-005  0.177054       0.984105E-002 -0.579525E-003  0.214475E-001
 0.900000        10.0000       0.181221E-004  0.877982E-006  0.396713E-008  0.205237E-005  0.936672E-004  0.136279E-004  0.100002E-003  0.132126E-003  0.997057       0.263409E-002  0.570696E-004  0.501464       0.256446E-002   0.00000        0.00000        0.00000       0.996979       0.213953E-018  0.697782E-005  0.397132E-004  0.294277E-003  0.190009E-005  0.101142E-003  0.477071E-005  0.309094E-005  0.779899E-005  0.135276E-003  0.205791E-003  0.530291E-007  0.187455E-004  0.533465E-014  0.263772E-011  0.274562E-016  0.421380E-012  0.213965E-011  0.748197E-007  0.144681E-006  0.490334E-015  0.942287E-024  0.149608E-017  0.213830E-026  0.129014E-004  0.397323E-004  0.485533E-008  0.124031E-008  0.110791E-016  0.558504E-005  0.164084E-006  0.188889E-005  0.477929E-003  0.597029E-012  0.553356E-004  0.807279E-019  0.104640E-006  0.985749E-004  0.111796E-003  0.345503E-002  0.703502E-017  0.557237E-037  0.511639E-002  0.221917E-003  0.194948E-003  0.937087E-006  0.593760E-006  0.525034E-006  0.290864E-011  0.516940E-002  0.680169E-005  0.446746E-005  0.138242E-013  0.190481E-024  0.417220E-002  0.104653E-005  0.303716E-002  0.361396E-005  0.966552E-004  0.718818E-020  0.594491E-003  0.315465E-013  0.376697E-009  0.610675E-015  0.315692E-014  0.273091E-014  0.618857E-027  0.337770E-013  0.356724E-016  0.355660E-018  0.342870E-019  0.203108E-016  0.276463E-022  0.606062E-025  0.294042E-004  0.975031E-007  0.660250E-003  0.596923E-006  0.325115E-008  0.234273E-002  0.148279E-001  0.407426E-001 -0.940142E-005  0.210125       0.121241E-001 -0.697189E-003  0.267330E-001
