|6.6.6
PT_inf_graphite6_1.tab                                                                              
           1
n,alqt. 
  0.000000000000000E+000
  0.000000000000000E+000
           0
         106
n,alqt.        node#          Si,mol,pfu     Al,mol,pfu     Cr,mol,pfu     Fe,mol,pfu     Mg,mol,pfu     Ca,mol,pfu     K,mol,pfu      Na,mol,pfu     H2,mol,pfu     C,mol,pfu      S2,mol,pfu     O2,mol,pfu     y_{CO2}        y_{CH4}        y_{H2S}        y_{H2}         y_{H2O}        m_{Al+3}       m_{AlO2-}      m_{AlO2(SiO}   m_{Ca(HCO3)}   m_{Ca(HCOO)}   m_{Ca(HSiO3}   m_{Ca(OH)+}    m_{Ca+2}       m_{CaCO3,aq}   m_{CaO,aq}     m_{CaSO4,aq}   m_{CO,aq}      m_{CO3-2}      m_{Cr+2}       m_{CrOH+}      m_{Cr+3}       m_{CrOH+2}     m_{Cr(OH)2+}   m_{Cr(OH)3}    m_{Cr(OH)4-}   m_{CrO4-2}     m_{Cr2O7-2}    m_{Fecho+}     m_{Fecho0}     m_{Fe(HCOO)}   m_{Fe(HSiO3}   m_{Fe(OH)+}    m_{Fe+2}       m_{Fe+3}       m_{FeO,aq}     m_{H+}         m_{HAlO2,aq}   m_{HCO3-}      m_{HCrO4-}     m_{HFeO2-}     m_{HO2-}       m_{HS-}        m_{HSiO3-}     m_{HSO3-}      m_{HSO4-}      m_{HSO5-}      m_{Isobutan}   m_{K+}         m_{KOH,aq}     m_{KSO4-}      m_{Mg(HCO3)}   m_{Mg(HSiO3}   m_{Mg+2}       m_{MgCO3,aq}   m_{MgO,aq}     m_{MgOH+}      m_{MgSO4,aq}   m_{Na(Ac),a}   m_{Na(Ac)2-}   m_{Na+}        m_{NaCO3-}     m_{NaHCO3,a}   m_{NaHSiO3,}   m_{NaOH,aq}    m_{O2,aq}      m_{OH-}        m_{S2-2}       m_{S2O3-2}     m_{S2O4-2}     m_{S2O5-2}     m_{S2O6-2}     m_{S2O8-2}     m_{S3-}        m_{S3-2}       m_{S3O6-2}     m_{S4-2}       m_{S4O6-2}     m_{S5-2}       m_{S5O6-2}     m_{Si2O4,aq}   m_{Si3O6,aq}   m_{SiO2,aq}    m_{SO2,aq}     m_{SO3-2}      m_{SO4-2}      pH-pH_0        pH             error_pH       permittivity   I,m            ref_chg        tot_solute_m  
  0.00000        1.00000       0.314498E-002  0.237415E-004  0.493200E-007  0.434005E-003  0.104789E-001  0.140977E-002   0.00000        0.00000       0.983115       0.287765E-002  0.657105E-003  0.505711       0.284288E-002   0.00000        0.00000        0.00000       0.981703       0.268855E-015  0.152964E-003  0.976257E-003  0.167296E-002  0.956769E-005  0.525435E-001  0.152507E-002  0.285234E-002  0.948639E-005  0.155447E-001  0.499603E-002  0.275405E-006  0.606887E-006  0.415929E-011  0.383189E-009  0.116407E-013  0.120920E-009  0.164483E-009  0.177888E-005  0.989586E-006  0.152636E-014  0.323394E-023  0.815925E-019  0.585231E-032  0.958883E-004  0.232075E-001  0.164948E-005  0.106034E-005  0.859143E-014  0.282877E-003  0.668767E-004  0.203785E-003  0.158446E-003  0.155444E-010  0.778943E-003  0.175829E-017  0.339460E-005  0.187377E-002  0.187611E-002  0.613925E-001  0.212174E-015  0.536547E-042   0.00000        0.00000        0.00000       0.459987E-005  0.868746E-004  0.431834E-003  0.289671E-011  0.585220       0.226521E-002  0.345402E-003   0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000       0.218388E-017  0.107764E-001  0.187346E-012  0.132858E-008  0.237136E-014  0.104835E-013  0.853493E-014  0.625661E-026  0.416402E-011  0.186078E-015  0.756281E-018  0.156529E-018  0.863510E-016  0.110551E-021  0.611362E-025  0.467967E-002  0.185032E-004  0.884775E-001  0.145513E-003  0.713556E-008  0.502954E-002   1.10360        4.30874      -0.324380E-005   24.0153       0.963655E-001 -0.846610E-002  0.867711     
 0.100000        2.00000       0.540251E-005  0.211837E-006  0.403590E-009  0.451740E-006  0.242402E-004  0.307833E-005  0.275251E-004  0.196617E-005  0.995344       0.459023E-002  0.954271E-005  0.502317       0.458563E-002   0.00000        0.00000        0.00000       0.995333       0.629422E-019  0.152362E-005  0.970363E-005  0.852967E-004  0.352712E-006  0.361018E-004  0.105034E-005  0.926988E-006  0.146043E-005  0.332907E-004  0.112869E-004  0.334143E-007  0.285668E-005  0.194976E-014  0.379884E-012  0.439371E-017  0.667089E-013  0.190445E-012  0.641727E-008  0.158393E-007  0.258521E-015  0.143834E-023  0.755369E-019  0.251467E-028  0.320620E-005  0.143266E-004  0.101804E-008  0.308936E-009  0.202036E-017  0.543920E-006  0.488940E-007  0.455329E-006  0.117122E-003  0.406942E-012  0.683494E-005  0.242195E-019  0.990510E-008  0.186037E-004  0.144173E-004  0.650262E-003  0.311142E-017  0.539826E-039  0.144312E-002  0.443103E-004  0.305474E-004  0.249387E-006  0.633594E-007  0.149545E-006  0.487021E-012  0.133387E-002  0.166045E-005  0.833669E-006  0.610016E-016  0.352884E-027  0.643919E-004  0.977634E-008  0.428976E-004  0.219611E-007  0.111091E-005  0.942587E-020  0.107398E-003  0.142972E-014  0.266438E-010  0.656628E-016  0.400568E-015  0.450189E-015  0.631065E-027  0.231105E-014  0.572391E-018  0.160621E-019  0.194088E-021  0.741951E-018  0.552535E-025  0.210543E-027  0.104651E-004  0.407505E-007  0.198069E-003  0.252281E-006  0.354063E-009  0.344932E-003  0.377508E-002  0.110230E-001 -0.410231E-005  0.539363E-001  0.200089E-002 -0.118974E-003  0.463413E-002
 0.200000        3.00000       0.105244E-004  0.419782E-006  0.797516E-009  0.880665E-006  0.475144E-004  0.573211E-005  0.533925E-004  0.108847E-004  0.995270       0.459694E-002  0.198545E-004  0.502345       0.458524E-002   0.00000        0.00000        0.00000       0.995248       0.118623E-018  0.302085E-005  0.192392E-004  0.157834E-003  0.652663E-006  0.668034E-004  0.194356E-005  0.169295E-005  0.273568E-005  0.623600E-004  0.221259E-004  0.655023E-007  0.572345E-005  0.372644E-014  0.735634E-012  0.828053E-017  0.127496E-012  0.368791E-012  0.125798E-007  0.314043E-007  0.517954E-015  0.288176E-023  0.146275E-018  0.492954E-028  0.620870E-005  0.277431E-004  0.197141E-008  0.590447E-009  0.380763E-017  0.106625E-005  0.946817E-007  0.892586E-006  0.232215E-003  0.806837E-012  0.135515E-004  0.480196E-019  0.205520E-007  0.368852E-004  0.299143E-004  0.134922E-002  0.645585E-017  0.105823E-038  0.279456E-002  0.868620E-004  0.633823E-004  0.482930E-006  0.122694E-006  0.285815E-006  0.954711E-012  0.261479E-002  0.321541E-005  0.171025E-005  0.340193E-015  0.199042E-026  0.354733E-003  0.551427E-007  0.239231E-003  0.122472E-006  0.619533E-005  0.184776E-019  0.212936E-003  0.313710E-014  0.584622E-010  0.144078E-015  0.878931E-015  0.987811E-015  0.138469E-026  0.525153E-014  0.131436E-017  0.368827E-019  0.466403E-021  0.178294E-017  0.138951E-024  0.529474E-027  0.205149E-004  0.798835E-007  0.388277E-003  0.517548E-006  0.742365E-009  0.723220E-003  0.742300E-002  0.216312E-001 -0.804181E-005  0.105732       0.414928E-002 -0.247124E-003  0.955335E-002
 0.300000        4.00000       0.160082E-004  0.679725E-006  0.127544E-008  0.132254E-005  0.732486E-004  0.777881E-005  0.780597E-004  0.530406E-004  0.995165       0.461760E-002  0.357455E-004  0.502397       0.458465E-002   0.00000        0.00000        0.00000       0.995120       0.149005E-018  0.490152E-005  0.312168E-004  0.209258E-003  0.865306E-006  0.885684E-004  0.257679E-005  0.209629E-005  0.384998E-005  0.877605E-004  0.341152E-004  0.100996E-006  0.968844E-005  0.505541E-014  0.106855E-011  0.104013E-016  0.172965E-012  0.535692E-012  0.193965E-007  0.509554E-007  0.876774E-015  0.487813E-023  0.212474E-018  0.760071E-028  0.901853E-005  0.402986E-004  0.286359E-008  0.801020E-009  0.478284E-017  0.164402E-005  0.137531E-006  0.137625E-005  0.376784E-003  0.130914E-011  0.219882E-004  0.779148E-019  0.365350E-007  0.598485E-004  0.531784E-004  0.239850E-002  0.114765E-016  0.163165E-038  0.405928E-002  0.133930E-003  0.112674E-003  0.701486E-006  0.178220E-006  0.387746E-006  0.147204E-011  0.403167E-002  0.467059E-005  0.288910E-005  0.171671E-014  0.105698E-025  0.168639E-002  0.292828E-006  0.120722E-002  0.618029E-006  0.312633E-004  0.284901E-019  0.345502E-003  0.637432E-014  0.118790E-009  0.292754E-015  0.178591E-014  0.200715E-014  0.281357E-026  0.112060E-013  0.292599E-017  0.821073E-019  0.113756E-020  0.434862E-017  0.371306E-024  0.141486E-026  0.316313E-004  0.123170E-006  0.598673E-003  0.874285E-006  0.137679E-008  0.134128E-002  0.116093E-001  0.335166E-001 -0.123986E-004  0.163025       0.746038E-002 -0.442488E-003  0.170281E-001
 0.400000        5.00000       0.214136E-004  0.944389E-006  0.176016E-008  0.175289E-005  0.986520E-004  0.974356E-005  0.101279E-003  0.104324E-003  0.995051       0.464597E-002  0.525570E-004  0.502457       0.458712E-002   0.00000        0.00000        0.00000       0.994980       0.172109E-018  0.681643E-005  0.434318E-004  0.257898E-003  0.106582E-005  0.109117E-003  0.317337E-005  0.245284E-005  0.492690E-005  0.112915E-003  0.459945E-004  0.136280E-006  0.137657E-004  0.619757E-014  0.137816E-011  0.120167E-016  0.212227E-012  0.690412E-012  0.261505E-007  0.709518E-007  0.125087E-014  0.697254E-023  0.274146E-018  0.102474E-027  0.116636E-004  0.520270E-004  0.369356E-008  0.981723E-009  0.552690E-017  0.221627E-005  0.177712E-006  0.185292E-005  0.524614E-003  0.182424E-011  0.307941E-004  0.108409E-018  0.532898E-007  0.832427E-004  0.776290E-004  0.350082E-002  0.167645E-016  0.220128E-038  0.524265E-002  0.180326E-003  0.164490E-003  0.904977E-006  0.229752E-006  0.475121E-006  0.198290E-011  0.543083E-002  0.602210E-005  0.408128E-005  0.346173E-014  0.220484E-025  0.325929E-002  0.609978E-006  0.243125E-002  0.124733E-005  0.630585E-004  0.384457E-019  0.480509E-003  0.998588E-014  0.186160E-009  0.458894E-015  0.279974E-014  0.314717E-014  0.441650E-026  0.179456E-013  0.480560E-017  0.134942E-018  0.195873E-020  0.749847E-017  0.670277E-024  0.255472E-026  0.426307E-004  0.165618E-006  0.806315E-003  0.123599E-005  0.205688E-008  0.200473E-002  0.157972E-001  0.453388E-001 -0.167305E-004  0.219523       0.109715E-001 -0.648574E-003  0.250080E-001
 0.500000        6.00000       0.270503E-004  0.124131E-005  0.229516E-008  0.218463E-005  0.125410E-003  0.114688E-004  0.123421E-003  0.180619E-003  0.994919       0.468423E-002  0.730520E-004  0.502535       0.458718E-002   0.00000        0.00000        0.00000       0.994813       0.182042E-018  0.897198E-005  0.571661E-004  0.297922E-003  0.123123E-005  0.126051E-003  0.366585E-005  0.266486E-005  0.597118E-005  0.136848E-003  0.584821E-004  0.173281E-006  0.185066E-004  0.706408E-014  0.167026E-011  0.127102E-016  0.241900E-012  0.836743E-012  0.332504E-007  0.933888E-007  0.168167E-014  0.937388E-023  0.332250E-018  0.130295E-027  0.141357E-004  0.630541E-004  0.447641E-008  0.111898E-008  0.584587E-017  0.281799E-005  0.215378E-006  0.235599E-005  0.690512E-003  0.240111E-011  0.405320E-004  0.142691E-018  0.735878E-007  0.109566E-003  0.107198E-003  0.483428E-002  0.231500E-016  0.279893E-038  0.635383E-002  0.229285E-003  0.227144E-003  0.109679E-005  0.278447E-006  0.541550E-006  0.252126E-011  0.690531E-002  0.729847E-005  0.544431E-005  0.615774E-014  0.405995E-025  0.552611E-002  0.112320E-005  0.432471E-002  0.221876E-005  0.112169E-003  0.488838E-019  0.632459E-003  0.147766E-013  0.275471E-009  0.679050E-015  0.414292E-014  0.465703E-014  0.653533E-026  0.272759E-013  0.746048E-017  0.209492E-018  0.319025E-020  0.122130E-016  0.114534E-023  0.436540E-026  0.542049E-004  0.210583E-006  0.102523E-002  0.164878E-005  0.290114E-008  0.282759E-002  0.202959E-001  0.578579E-001 -0.212687E-004  0.279123       0.152506E-001 -0.897748E-003  0.348204E-001
 0.600000        7.00000       0.329543E-004  0.157245E-005  0.288500E-008  0.262211E-005  0.153674E-003  0.129793E-004  0.144568E-003  0.286846E-003  0.994761       0.473795E-002  0.978352E-004  0.502637       0.458711E-002   0.00000        0.00000        0.00000       0.994611       0.181347E-018  0.113811E-004  0.725160E-004  0.330133E-003  0.136434E-005  0.139679E-003  0.406219E-005  0.275579E-005  0.696805E-005  0.159694E-003  0.716804E-004  0.212387E-006  0.238776E-004  0.767282E-014  0.194401E-011  0.126617E-016  0.262745E-012  0.973879E-012  0.407544E-007  0.118465E-006  0.216973E-014  0.120944E-022  0.386703E-018  0.159701E-027  0.164524E-004  0.733881E-004  0.521005E-008  0.121541E-008  0.582354E-017  0.345396E-005  0.250677E-006  0.288770E-005  0.875924E-003  0.304584E-011  0.514154E-004  0.181005E-018  0.980455E-007  0.138986E-003  0.142826E-003  0.644100E-002  0.308442E-016  0.343060E-038  0.739517E-002  0.281030E-003  0.302637E-003  0.127654E-005  0.324082E-006  0.588217E-006  0.309027E-011  0.846371E-002  0.849463E-005  0.700886E-005  0.100627E-013  0.686641E-025  0.857523E-002  0.189962E-005  0.706722E-002  0.362579E-005  0.183301E-003  0.599160E-019  0.802283E-003  0.210326E-013  0.392097E-009  0.966539E-015  0.589690E-014  0.662868E-014  0.930218E-026  0.400917E-013  0.111535E-016  0.313193E-018  0.500952E-020  0.191776E-016  0.188900E-023  0.719982E-026  0.664380E-004  0.258108E-006  0.125661E-002  0.212260E-005  0.393151E-008  0.383183E-002  0.251443E-001  0.711835E-001 -0.260761E-004  0.342117       0.204116E-001 -0.119675E-002  0.468222E-001
 0.700000        8.00000       0.350949E-004  0.141726E-005  0.204260E-008  0.331848E-005  0.155312E-003  0.206731E-004  0.171489E-003  0.403171E-004  0.994943       0.462868E-002  0.640435E-004  0.502470       0.458348E-002   0.00000        0.00000        0.00000       0.994866       0.375753E-018  0.101846E-004  0.650527E-004  0.599703E-003  0.300161E-005  0.227279E-003  0.659320E-005  0.565621E-005  0.105615E-004  0.214946E-003  0.729175E-004  0.292654E-006  0.218079E-004  0.100781E-013  0.202007E-011  0.200448E-016  0.313325E-012  0.920231E-012  0.318764E-007  0.808211E-007  0.101824E-014  0.327379E-023  0.140472E-017  0.129376E-026  0.300358E-004  0.992864E-004  0.703475E-008  0.207509E-008  0.119775E-016  0.386595E-005  0.307095E-006  0.296129E-005  0.870562E-003  0.156061E-011  0.499028E-004  0.132789E-018  0.141174E-006  0.123819E-003  0.115875E-003  0.431781E-002  0.170689E-016  0.655123E-037  0.897775E-002  0.283375E-003  0.200907E-003  0.174086E-005  0.396030E-006  0.905965E-006  0.349685E-011  0.855076E-002  0.103486E-004  0.534732E-005  0.326566E-014  0.522252E-025  0.124601E-002  0.223877E-006  0.955766E-003  0.438125E-006  0.220985E-004  0.415639E-019  0.712724E-003  0.371346E-013  0.390242E-009  0.794560E-015  0.400455E-014  0.371828E-014  0.355763E-026  0.942853E-013  0.263792E-016  0.235391E-018  0.158712E-019  0.192932E-016  0.801697E-023  0.971428E-026  0.680026E-004  0.265567E-006  0.128332E-002  0.197388E-005  0.292265E-008  0.235234E-002  0.245645E-001  0.713888E-001 -0.300778E-004  0.348447       0.135963E-001 -0.796329E-003  0.315274E-001
 0.800000        9.00000       0.394382E-004  0.162484E-005  0.233109E-008  0.371140E-005  0.175285E-003  0.224322E-004  0.190540E-003  0.721556E-004  0.994866       0.464178E-002  0.758265E-004  0.502508       0.457927E-002   0.00000        0.00000        0.00000       0.994772       0.400423E-018  0.116876E-004  0.746305E-004  0.646728E-003  0.323825E-005  0.245159E-003  0.711378E-005  0.598662E-005  0.116255E-004  0.235747E-003  0.822562E-004  0.329945E-006  0.254234E-004  0.109722E-013  0.224261E-011  0.213578E-016  0.340922E-012  0.102210E-011  0.359590E-007  0.926697E-007  0.118378E-014  0.380125E-023  0.155906E-017  0.145946E-026  0.332832E-004  0.110150E-003  0.780937E-008  0.225960E-008  0.127601E-016  0.436136E-005  0.340498E-006  0.334364E-005  0.998228E-003  0.178851E-011  0.569974E-004  0.152333E-018  0.166527E-006  0.142076E-003  0.136610E-003  0.509090E-002  0.201141E-016  0.738693E-037  0.995756E-002  0.319953E-003  0.236848E-003  0.193230E-005  0.439796E-006  0.986658E-006  0.394699E-011  0.965150E-002  0.114909E-004  0.620459E-005  0.589961E-014  0.957944E-025  0.221244E-002  0.411033E-006  0.172813E-002  0.791038E-006  0.399153E-004  0.468584E-019  0.817873E-003  0.456698E-013  0.479823E-009  0.976798E-015  0.492266E-014  0.457016E-014  0.436946E-026  0.117663E-012  0.333570E-016  0.297522E-018  0.206351E-019  0.250601E-016  0.107172E-022  0.129840E-025  0.767301E-004  0.300115E-006  0.144867E-002  0.228916E-005  0.349634E-008  0.281323E-002  0.278352E-001  0.806493E-001 -0.339171E-004  0.393398       0.160895E-001 -0.941067E-003  0.372542E-001
 0.900000        10.0000       0.438758E-004  0.185113E-005  0.264303E-008  0.410578E-005  0.195898E-003  0.240154E-004  0.208649E-003  0.117034E-003  0.994775       0.466437E-002  0.893921E-004  0.502557       0.457832E-002   0.00000        0.00000        0.00000       0.994659       0.414494E-018  0.133268E-004  0.850971E-004  0.686993E-003  0.343986E-005  0.260423E-003  0.755668E-005  0.619864E-005  0.126336E-004  0.256189E-003  0.919422E-004  0.368798E-006  0.294885E-004  0.116854E-013  0.245028E-011  0.221083E-016  0.363079E-012  0.111675E-011  0.401933E-007  0.105666E-006  0.137306E-014  0.440906E-023  0.170343E-017  0.163132E-026  0.363653E-004  0.120350E-003  0.853253E-008  0.240645E-008  0.132085E-016  0.487492E-005  0.372029E-006  0.373737E-005  0.113823E-002  0.203934E-011  0.649911E-004  0.173697E-018  0.195306E-006  0.162002E-003  0.160218E-003  0.597069E-002  0.235901E-016  0.825676E-037  0.108797E-001  0.357629E-003  0.277779E-003  0.211124E-005  0.480522E-006  0.105078E-005  0.441177E-011  0.107880E-001  0.125550E-004  0.713330E-005  0.969130E-014  0.160528E-024  0.355259E-002  0.688790E-006  0.283881E-002  0.129944E-005  0.655689E-004  0.523761E-019  0.932576E-003  0.560417E-013  0.588794E-009  0.119864E-014  0.604062E-014  0.560807E-014  0.536180E-026  0.145993E-012  0.421018E-016  0.375520E-018  0.267887E-019  0.325334E-016  0.143106E-022  0.173374E-025  0.857653E-004  0.335455E-006  0.161926E-002  0.263181E-005  0.417123E-008  0.335626E-002  0.312834E-001  0.903165E-001 -0.379134E-004  0.439722       0.189704E-001 -0.110734E-002  0.438980E-001
