|6.6.6
Al98-05a_lagged_2_1.tab                                                                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          94
T(K)           P(bar)         Si,mol,pfu     Al,mol,pfu     Cr,mol,pfu     Fe,mol,pfu     Mg,mol,pfu     Ca,mol,pfu     H2,mol,pfu     C,mol,pfu      S2,mol,pfu     O2,mol,pfu     y_{CO2}        y_{CH4}        y_{H2S}        y_{H2}         y_{H2O}        m_{Al+3}       m_{AlO2-}      m_{AlO2(SiO}   m_{Ca(HCO3)}   m_{Ca(HCOO)}   m_{Ca(HSiO3}   m_{Ca(OH)+}    m_{Ca+2}       m_{CaCO3,aq}   m_{CaO,aq}     m_{CaSO4,aq}   m_{CO,aq}      m_{CO3-2}      m_{Cr+2}       m_{CrOH+}      m_{Cr+3}       m_{CrOH+2}     m_{Cr(OH)2+}   m_{Cr(OH)3}    m_{Cr(OH)4-}   m_{CrO4-2}     m_{Cr2O7-2}    m_{Fecho+}     m_{Fecho0}     m_{Fe(HCOO)}   m_{Fe(HSiO3}   m_{Fe(OH)+}    m_{Fe+2}       m_{Fe+3}       m_{FeO,aq}     m_{H+}         m_{HAlO2,aq}   m_{HCO3-}      m_{HCrO4-}     m_{HFeO2-}     m_{HO2-}       m_{HS-}        m_{HSiO3-}     m_{HSO3-}      m_{HSO4-}      m_{HSO5-}      m_{Isobutan}   m_{Mg(HCO3)}   m_{Mg(HSiO3}   m_{Mg+2}       m_{MgCO3,aq}   m_{MgO,aq}     m_{MgOH+}      m_{MgSO4,aq}   m_{O2,aq}      m_{OH-}        m_{S2-2}       m_{S2O3-2}     m_{S2O4-2}     m_{S2O5-2}     m_{S2O6-2}     m_{S2O8-2}     m_{S3-}        m_{S3-2}       m_{S3O6-2}     m_{S4-2}       m_{S4O6-2}     m_{S5-2}       m_{S5O6-2}     m_{Si2O4,aq}   m_{Si3O6,aq}   m_{SiO2,aq}    m_{SO2,aq}     m_{SO3-2}      m_{SO4-2}      pH-pH_0        pH             error_pH       permittivity   I,m            ref_chg        tot_solute_m  
  921.000        24100.0       0.273371E-002  0.308470E-004  0.231612E-007  0.532375E-003  0.988947E-002  0.238849E-002  0.978059       0.947429E-002  0.901189E-003  0.510246       0.744339E-002   0.00000       0.433230E-006  0.296876E-006  0.975677       0.117992E-015  0.203727E-003  0.135857E-002  0.814122E-001  0.601705E-003  0.314223E-001  0.842883E-003  0.135744E-002  0.597500E-003  0.126730E-001  0.450205E-002  0.920154E-004  0.107906E-003  0.122427E-011  0.128589E-009  0.317754E-014  0.301089E-010  0.505997E-010  0.717979E-006  0.575471E-006  0.129458E-014  0.110699E-023  0.170482E-014  0.563223E-023  0.924723E-002  0.191060E-001  0.110841E-005  0.590368E-006  0.383922E-014  0.252033E-003  0.416313E-004  0.160664E-003  0.211545E-001  0.823997E-011  0.112891E-002  0.121843E-017  0.280240E-004  0.236525E-002  0.331931E-002  0.802024E-001  0.181011E-015  0.398820E-032  0.222705E-003  0.476622E-004  0.202411E-003  0.219127E-009  0.550362       0.123346E-002  0.309045E-003  0.146089E-017  0.134383E-001  0.104731E-010  0.180157E-007  0.199004E-013  0.555114E-013  0.296920E-013  0.282434E-025  0.949443E-009  0.344339E-013  0.773118E-017  0.105761E-015  0.421977E-014  0.293869E-018  0.107414E-022  0.530772E-002  0.189219E-004  0.877197E-001  0.344701E-003  0.240096E-007  0.119421E-001   1.25439        4.55711      -0.106881E-001   23.1484       0.160910      -0.112011E-001  0.943329     
  922.000        23800.0       0.275413E-002  0.316592E-004  0.167113E-007  0.515607E-003  0.989683E-002  0.236212E-002  0.978408       0.915949E-002  0.878368E-003  0.510049       0.710728E-002   0.00000       0.512253E-006  0.284200E-006  0.976020       0.808018E-016  0.207695E-003  0.139871E-002  0.822634E-001  0.512532E-003  0.316773E-001  0.753156E-003  0.115947E-002  0.584622E-003  0.125950E-001  0.245158E-002  0.897070E-004  0.107663E-003  0.109115E-011  0.931265E-010  0.143427E-014  0.188018E-010  0.288564E-010  0.473456E-006  0.460235E-006  0.154147E-014  0.127746E-023  0.853409E-015  0.270510E-023  0.875961E-002  0.188795E-001  0.985156E-006  0.477202E-006  0.203548E-014  0.186454E-003  0.410258E-004  0.162735E-003  0.221362E-001  0.911918E-011  0.985501E-003  0.145608E-017  0.286905E-004  0.234670E-002  0.292048E-002  0.806825E-001  0.208417E-015  0.179738E-031  0.225256E-003  0.319566E-004  0.175346E-003  0.209741E-009  0.551139       0.117344E-002  0.297272E-003  0.141279E-017  0.132152E-001  0.176532E-010  0.161131E-007  0.185987E-013  0.506672E-013  0.287674E-013  0.238024E-025  0.543690E-008  0.778976E-013  0.492781E-017  0.302308E-015  0.643038E-014  0.100170E-017  0.227309E-023  0.533991E-002  0.193631E-004  0.888309E-001  0.332960E-003  0.199153E-007  0.114256E-001   1.25721        4.55971      -0.106351E-001   23.0889       0.159857      -0.109495E-001  0.943139     
  917.000        27200.0       0.264151E-002  0.306250E-004  0.655752E-007  0.553639E-003  0.103385E-001  0.312604E-002  0.979506       0.721634E-002  0.120224E-002  0.510104       0.490645E-002   0.00000       0.466652E-006  0.223459E-006  0.976815       0.362088E-015  0.216243E-003  0.132619E-002  0.978478E-001  0.101152E-002  0.344929E-001  0.142963E-002  0.259852E-002  0.823203E-003  0.147246E-001  0.225680E-001  0.415208E-004  0.143977E-003  0.187260E-011  0.329899E-009  0.203280E-013  0.110715E-009  0.220347E-009  0.241302E-005  0.126771E-005  0.114229E-014  0.105673E-023  0.831866E-014  0.673952E-022  0.998702E-002  0.185235E-001  0.176260E-005  0.121810E-005  0.190441E-013  0.653743E-003  0.492508E-004  0.176861E-003  0.195520E-001  0.680362E-011  0.191407E-002  0.119642E-017  0.401418E-004  0.286002E-002  0.481129E-002  0.903206E-001  0.154528E-015  0.442066E-031  0.269882E-003  0.156061E-003  0.375902E-003  0.309667E-009  0.577448       0.175388E-002  0.398059E-003  0.116773E-017  0.168993E-001  0.250883E-010  0.351866E-007  0.252125E-013  0.667104E-013  0.312346E-013  0.174079E-025  0.385020E-009  0.256608E-012  0.243940E-016  0.241811E-014  0.108820E-013  0.201450E-016  0.412930E-021  0.439513E-002  0.149198E-004  0.821007E-001  0.200828E-003  0.419171E-007  0.166226E-001   1.26831        4.48318      -0.102472E-001   24.2999       0.191217      -0.150174E-001   1.02675     
  922.000        23400.0       0.276132E-002  0.310140E-004  0.158033E-007  0.523178E-003  0.976247E-002  0.224026E-002  0.977617       0.100887E-001  0.842257E-003  0.510355       0.812900E-002   0.00000       0.438578E-006  0.306739E-006  0.975322       0.761911E-016  0.200369E-003  0.137366E-002  0.770834E-001  0.504847E-003  0.304835E-001  0.698141E-003  0.107204E-002  0.536118E-003  0.120738E-001  0.251061E-002  0.100610E-003  0.977062E-004  0.104640E-011  0.909411E-010  0.154781E-014  0.182403E-010  0.288331E-010  0.455896E-006  0.425465E-006  0.147543E-014  0.137592E-023  0.120524E-014  0.469041E-023  0.891213E-002  0.191392E-001  0.943239E-006  0.455069E-006  0.203884E-014  0.180694E-003  0.394271E-004  0.155937E-003  0.218656E-001  0.957748E-011  0.949604E-003  0.128246E-017  0.261054E-004  0.221769E-002  0.292291E-002  0.771596E-001  0.206181E-015  0.515234E-032  0.210281E-003  0.305215E-004  0.161434E-003  0.197528E-009  0.542777       0.108859E-002  0.285268E-003  0.173980E-017  0.124243E-001  0.101868E-010  0.158870E-007  0.185001E-013  0.517044E-013  0.287453E-013  0.322682E-025  0.102185E-008  0.365617E-013  0.600049E-017  0.136821E-015  0.405125E-014  0.494142E-018  0.922600E-023  0.559167E-002  0.204124E-004  0.895382E-001  0.372215E-003  0.199298E-007  0.106615E-001   1.25055        4.57851      -0.108568E-001   22.8122       0.152652      -0.104689E-001  0.923468     
  917.000        26900.0       0.265339E-002  0.305781E-004  0.616245E-007  0.563078E-003  0.102611E-001  0.304056E-002  0.979269       0.756247E-002  0.117318E-002  0.510174       0.528217E-002   0.00000       0.648857E-006  0.231692E-006  0.976615       0.338191E-015  0.213822E-003  0.132805E-002  0.953850E-001  0.100760E-002  0.339001E-001  0.135689E-002  0.245710E-002  0.791956E-003  0.143827E-001  0.212923E-001  0.478374E-004  0.139216E-003  0.182115E-011  0.317057E-009  0.190742E-013  0.103548E-009  0.206513E-009  0.226341E-005  0.119306E-005  0.117795E-014  0.113166E-023  0.160373E-013  0.856183E-021  0.103997E-001  0.187109E-001  0.170470E-005  0.116815E-005  0.176334E-013  0.624659E-003  0.480939E-004  0.173538E-003  0.198900E-001  0.720114E-011  0.185019E-002  0.117555E-017  0.656208E-004  0.278722E-002  0.484068E-002  0.887071E-001  0.160586E-015  0.771527E-029  0.262700E-003  0.145973E-003  0.355190E-003  0.299708E-009  0.572816       0.167753E-002  0.386617E-003  0.127639E-017  0.164004E-001  0.160284E-009  0.608017E-007  0.318451E-013  0.732634E-013  0.320007E-013  0.197326E-025  0.644142E-008  0.975331E-011  0.418011E-016  0.557345E-012  0.664082E-013  0.270375E-013  0.168305E-019  0.453521E-002  0.155800E-004  0.828645E-001  0.221083E-003  0.424529E-007  0.160801E-001   1.26649        4.49475      -0.103452E-001   24.1381       0.187556      -0.146154E-001   1.01617     
  917.000        27200.0       0.264151E-002  0.306250E-004  0.655752E-007  0.553639E-003  0.103385E-001  0.312604E-002  0.979506       0.721634E-002  0.120224E-002  0.510104       0.490645E-002   0.00000       0.466652E-006  0.223459E-006  0.976815       0.362088E-015  0.216243E-003  0.132619E-002  0.978478E-001  0.101152E-002  0.344929E-001  0.142963E-002  0.259852E-002  0.823203E-003  0.147246E-001  0.225680E-001  0.415208E-004  0.143977E-003  0.187260E-011  0.329899E-009  0.203280E-013  0.110715E-009  0.220347E-009  0.241302E-005  0.126771E-005  0.114229E-014  0.105673E-023  0.831866E-014  0.673952E-022  0.998702E-002  0.185235E-001  0.176260E-005  0.121810E-005  0.190441E-013  0.653743E-003  0.492508E-004  0.176861E-003  0.195520E-001  0.680362E-011  0.191407E-002  0.119642E-017  0.401418E-004  0.286002E-002  0.481129E-002  0.903206E-001  0.154528E-015  0.442066E-031  0.269882E-003  0.156061E-003  0.375902E-003  0.309667E-009  0.577448       0.175388E-002  0.398059E-003  0.116773E-017  0.168993E-001  0.250883E-010  0.351866E-007  0.252125E-013  0.667104E-013  0.312346E-013  0.174079E-025  0.385020E-009  0.256608E-012  0.243940E-016  0.241811E-014  0.108820E-013  0.201450E-016  0.412930E-021  0.439513E-002  0.149198E-004  0.821007E-001  0.200828E-003  0.419171E-007  0.166226E-001   1.26831        4.48318      -0.102472E-001   24.2999       0.191217      -0.150174E-001   1.02675     
  917.000        26700.0       0.266088E-002  0.305036E-004  0.579813E-007  0.573781E-003  0.102049E-001  0.296704E-002  0.979133       0.779107E-002  0.114752E-002  0.510200       0.552860E-002   0.00000       0.847267E-006  0.257290E-006  0.976502       0.316544E-015  0.212036E-003  0.132734E-002  0.936781E-001  0.101086E-002  0.334715E-001  0.130427E-002  0.235051E-002  0.771171E-003  0.141423E-001  0.196390E-001  0.529060E-004  0.136354E-003  0.179564E-011  0.305225E-009  0.173975E-013  0.963163E-010  0.191115E-009  0.211571E-005  0.113481E-005  0.117497E-014  0.115971E-023  0.151451E-013  0.425501E-021  0.108432E-001  0.189230E-001  0.166943E-005  0.113022E-005  0.161191E-013  0.597516E-003  0.473026E-004  0.171016E-003  0.201107E-001  0.732829E-011  0.180651E-002  0.113544E-017  0.707039E-004  0.274097E-002  0.490691E-002  0.876616E-001  0.161259E-015  0.180528E-029  0.257676E-003  0.136358E-003  0.339772E-003  0.292822E-009  0.569469       0.162432E-002  0.378827E-003  0.133338E-017  0.160793E-001  0.118115E-009  0.636652E-007  0.351374E-013  0.785379E-013  0.330297E-013  0.213088E-025  0.402127E-008  0.365514E-011  0.422811E-016  0.104220E-012  0.496186E-013  0.254277E-014  0.470325E-020  0.462363E-002  0.159501E-004  0.833064E-001  0.237387E-003  0.429419E-007  0.157454E-001   1.26545        4.50267      -0.104051E-001   24.0353       0.185254      -0.142598E-001   1.00820     
  917.000        27100.0       0.264570E-002  0.306057E-004  0.652951E-007  0.557318E-003  0.103105E-001  0.311156E-002  0.979404       0.734128E-002  0.119977E-002  0.510154       0.504173E-002   0.00000       0.598909E-006  0.226316E-006  0.976726       0.359570E-015  0.215319E-003  0.132687E-002  0.969753E-001  0.101753E-002  0.342711E-001  0.140862E-002  0.256316E-002  0.812398E-003  0.145997E-001  0.229930E-001  0.432224E-004  0.142247E-003  0.186175E-011  0.330868E-009  0.208074E-013  0.110824E-009  0.222204E-009  0.241279E-005  0.125131E-005  0.116734E-014  0.110557E-023  0.983364E-014  0.102205E-021  0.101290E-001  0.185890E-001  0.175018E-005  0.121244E-005  0.191355E-013  0.654711E-003  0.488457E-004  0.175597E-003  0.196787E-001  0.702669E-011  0.190451E-002  0.119227E-017  0.444661E-004  0.283345E-002  0.484257E-002  0.897158E-001  0.158321E-015  0.887643E-031  0.267329E-003  0.155614E-003  0.370327E-003  0.306942E-009  0.575773       0.172759E-002  0.394448E-003  0.122127E-017  0.167202E-001  0.329374E-010  0.395641E-007  0.266828E-013  0.685745E-013  0.314719E-013  0.182329E-025  0.520172E-009  0.428498E-012  0.278216E-016  0.524379E-014  0.142416E-013  0.568144E-016  0.764088E-021  0.444615E-002  0.151823E-004  0.823798E-001  0.206793E-003  0.424148E-007  0.164466E-001   1.26764        4.48723      -0.102868E-001   24.2432       0.189985      -0.149750E-001   1.02390     
  915.000        28300.0       0.256441E-002  0.310819E-004  0.103652E-006  0.555091E-003  0.105270E-001  0.347711E-002  0.980019       0.624916E-002  0.133547E-002  0.509983       0.391381E-002   0.00000       0.740861E-006  0.191497E-006  0.977313       0.461707E-015  0.227529E-003  0.133751E-002  0.999044E-001  0.117065E-002  0.343731E-001  0.167670E-002  0.299595E-002  0.925433E-003  0.156558E-001  0.388820E-001  0.278948E-004  0.170305E-003  0.199168E-011  0.453419E-009  0.363762E-013  0.165789E-009  0.382129E-009  0.400233E-005  0.182701E-005  0.999042E-015  0.692820E-024  0.162439E-013  0.241342E-021  0.100171E-001  0.177163E-001  0.201764E-005  0.144346E-005  0.298384E-013  0.973153E-003  0.506362E-004  0.183287E-003  0.188690E-001  0.537098E-011  0.251337E-002  0.119420E-017  0.494742E-004  0.319339E-002  0.512824E-002  0.878374E-001  0.128515E-015  0.212871E-030  0.276317E-003  0.238684E-003  0.427994E-003  0.357547E-009  0.588875       0.192064E-002  0.397066E-003  0.751867E-018  0.192062E-001  0.451511E-010  0.450077E-007  0.256676E-013  0.639800E-013  0.282571E-013  0.103858E-025  0.530606E-009  0.893937E-012  0.338310E-016  0.164038E-013  0.185279E-013  0.256374E-015  0.279998E-020  0.400014E-002  0.130828E-004  0.793472E-001  0.155836E-003  0.487598E-007  0.177462E-001   1.28756        4.46512      -0.998462E-002   24.8166       0.195539      -0.167273E-001   1.05649     
  913.000        29200.0       0.251740E-002  0.320267E-004  0.119238E-006  0.578983E-003  0.106100E-001  0.331453E-002  0.980843       0.552909E-002  0.122695E-002  0.509262       0.318915E-002   0.00000       0.985884E-006  0.189631E-006  0.978148       0.362296E-015  0.240839E-003  0.137567E-002  0.990039E-001  0.130807E-002  0.338961E-001  0.164769E-002  0.273493E-002  0.977970E-003  0.161003E-001  0.309440E-001  0.180083E-004  0.204721E-003  0.196989E-011  0.477211E-009  0.271962E-013  0.140374E-009  0.376344E-009  0.450380E-005  0.220846E-005  0.871304E-015  0.431534E-024  0.447903E-013  0.225053E-020  0.109799E-001  0.173739E-001  0.207191E-005  0.136450E-005  0.212494E-013  0.113435E-002  0.499892E-004  0.186640E-003  0.189755E-001  0.419095E-011  0.310601E-002  0.117966E-017  0.931010E-004  0.353075E-002  0.527399E-002  0.840777E-001  0.109359E-015  0.585181E-029  0.273748E-003  0.229263E-003  0.391300E-003  0.378730E-009  0.594196       0.189902E-002  0.367406E-003  0.452119E-018  0.213868E-001  0.185520E-009  0.798099E-007  0.327956E-013  0.691611E-013  0.277639E-013  0.551246E-026  0.331408E-008  0.846806E-011  0.573842E-016  0.355748E-012  0.705470E-013  0.127182E-013  0.264052E-019  0.373254E-002  0.116801E-004  0.778272E-001  0.122988E-003  0.531153E-007  0.172233E-001   1.30996        4.46386      -0.940939E-002   25.1358       0.193475      -0.152855E-001   1.05091     
