|6.6.6
Al98-05a_lagged_3_1.tab                                                                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          94
T(K)           P(bar)         Si,mol,pfu     Al,mol,pfu     Cr,mol,pfu     Fe,mol,pfu     Mg,mol,pfu     Ca,mol,pfu     H2,mol,pfu     C,mol,pfu      S2,mol,pfu     O2,mol,pfu     y_{CO2}        y_{CH4}        y_{H2S}        y_{H2}         y_{H2O}        m_{Al+3}       m_{AlO2-}      m_{AlO2(SiO}   m_{Ca(HCO3)}   m_{Ca(HCOO)}   m_{Ca(HSiO3}   m_{Ca(OH)+}    m_{Ca+2}       m_{CaCO3,aq}   m_{CaO,aq}     m_{CaSO4,aq}   m_{CO,aq}      m_{CO3-2}      m_{Cr+2}       m_{CrOH+}      m_{Cr+3}       m_{CrOH+2}     m_{Cr(OH)2+}   m_{Cr(OH)3}    m_{Cr(OH)4-}   m_{CrO4-2}     m_{Cr2O7-2}    m_{Fecho+}     m_{Fecho0}     m_{Fe(HCOO)}   m_{Fe(HSiO3}   m_{Fe(OH)+}    m_{Fe+2}       m_{Fe+3}       m_{FeO,aq}     m_{H+}         m_{HAlO2,aq}   m_{HCO3-}      m_{HCrO4-}     m_{HFeO2-}     m_{HO2-}       m_{HS-}        m_{HSiO3-}     m_{HSO3-}      m_{HSO4-}      m_{HSO5-}      m_{Isobutan}   m_{Mg(HCO3)}   m_{Mg(HSiO3}   m_{Mg+2}       m_{MgCO3,aq}   m_{MgO,aq}     m_{MgOH+}      m_{MgSO4,aq}   m_{O2,aq}      m_{OH-}        m_{S2-2}       m_{S2O3-2}     m_{S2O4-2}     m_{S2O5-2}     m_{S2O6-2}     m_{S2O8-2}     m_{S3-}        m_{S3-2}       m_{S3O6-2}     m_{S4-2}       m_{S4O6-2}     m_{S5-2}       m_{S5O6-2}     m_{Si2O4,aq}   m_{Si3O6,aq}   m_{SiO2,aq}    m_{SO2,aq}     m_{SO3-2}      m_{SO4-2}      pH-pH_0        pH             error_pH       permittivity   I,m            ref_chg        tot_solute_m  
  931.000        24100.0       0.247465E-002  0.246983E-004  0.358585E-007  0.256202E-003  0.854442E-002  0.142341E-002  0.985440       0.352227E-002  0.559562E-003  0.505509       0.283441E-002   0.00000        0.00000       0.146635E-006  0.984063       0.664048E-016  0.154487E-003  0.107060E-002  0.315456E-001  0.799914E-004  0.338395E-001  0.673184E-003  0.104736E-002  0.187984E-003  0.111727E-001  0.118760E-002  0.107018E-004  0.196824E-004  0.265736E-011  0.183052E-009  0.337137E-014  0.533750E-010  0.711013E-010  0.105745E-005  0.950756E-006  0.141991E-013  0.294906E-021  0.204795E-017  0.190498E-028  0.897568E-003  0.129931E-001  0.595043E-006  0.283891E-006  0.144267E-014  0.829480E-004  0.402825E-004  0.158410E-003  0.570126E-002  0.133925E-009  0.376884E-003  0.347282E-017  0.375154E-006  0.157699E-002  0.802518E-003  0.554300E-001  0.603818E-015  0.451369E-039  0.883120E-004  0.236739E-004  0.165806E-003  0.572802E-010  0.476932       0.118248E-002  0.231379E-003  0.163390E-016  0.881247E-002  0.623089E-014  0.158611E-009  0.568213E-015  0.415686E-014  0.626742E-014  0.485485E-025  0.911669E-013  0.112725E-017  0.624668E-019  0.176671E-021  0.266104E-017  0.235199E-025  0.899335E-028  0.479509E-002  0.214125E-004  0.794616E-001  0.124281E-003  0.348498E-008  0.491265E-002  0.980418        3.72918      -0.610753E-002   19.2152       0.899370E-001 -0.718715E-002  0.735804     
  932.000        23800.0       0.236503E-002  0.242744E-004  0.261512E-007  0.256748E-003  0.798415E-002  0.136005E-002  0.986320       0.335200E-002  0.532728E-003  0.505275       0.264762E-002   0.00000        0.00000       0.153581E-006  0.984987       0.561982E-016  0.150421E-003  0.105812E-002  0.315058E-001  0.862903E-004  0.314890E-001  0.595732E-003  0.912773E-003  0.188932E-003  0.104116E-001  0.959026E-003  0.140845E-004  0.228406E-004  0.222564E-011  0.145742E-009  0.217902E-014  0.369134E-010  0.483613E-010  0.747238E-006  0.716630E-006  0.107653E-013  0.159114E-021  0.304074E-017  0.691574E-028  0.104310E-002  0.128887E-001  0.564953E-006  0.263703E-006  0.115790E-014  0.768296E-004  0.369836E-004  0.150577E-003  0.648966E-002  0.101246E-009  0.365826E-003  0.302122E-017  0.430714E-006  0.149243E-002  0.832880E-003  0.528152E-001  0.563533E-015  0.105851E-038  0.876305E-004  0.196977E-004  0.144183E-003  0.565782E-010  0.445508       0.106102E-002  0.210857E-003  0.143366E-016  0.827649E-002  0.677825E-014  0.186809E-009  0.678545E-015  0.482123E-014  0.691177E-014  0.545972E-025  0.854891E-013  0.108302E-017  0.763917E-019  0.147294E-021  0.296198E-017  0.169382E-025  0.102933E-027  0.467333E-002  0.214375E-004  0.760588E-001  0.135749E-003  0.365160E-008  0.470050E-002  0.929222        3.53028      -0.583576E-002   18.0333       0.867095E-001 -0.682808E-002  0.694487     
  927.000        27200.0       0.261249E-002  0.211709E-004  0.757944E-007  0.315136E-003  0.916696E-002  0.137047E-002  0.985135       0.276164E-002  0.597368E-003  0.505160       0.258533E-002   0.00000       0.124174E-007  0.125870E-006  0.983857       0.269837E-015  0.138368E-003  0.867441E-003  0.858014E-002  0.441175E-004  0.448716E-001  0.138745E-002  0.261251E-002  0.530872E-004  0.137810E-001  0.550102E-002  0.861677E-006  0.388800E-005  0.489345E-011  0.484349E-009  0.196278E-013  0.187015E-009  0.260815E-009  0.275834E-005  0.148986E-005  0.359775E-014  0.247864E-022  0.293306E-017  0.194507E-028  0.355891E-003  0.164239E-001  0.126529E-005  0.838936E-006  0.930680E-014  0.241933E-003  0.576153E-004  0.181073E-003  0.822594E-003  0.365157E-010  0.643293E-003  0.221047E-017  0.109148E-005  0.168772E-002  0.129925E-002  0.549555E-001  0.260544E-015  0.817083E-039  0.238186E-004  0.879512E-004  0.398320E-003  0.166663E-010  0.511060       0.203742E-002  0.309518E-003  0.388030E-017  0.981472E-002  0.399725E-013  0.486558E-009  0.100322E-014  0.562625E-014  0.586779E-014  0.735484E-026  0.406227E-012  0.298238E-016  0.304091E-018  0.197293E-019  0.185596E-016  0.111181E-022  0.153327E-025  0.385526E-002  0.151933E-004  0.747663E-001  0.844980E-004  0.534252E-008  0.482760E-002  0.955571        3.68609      -0.287011E-002   20.6770       0.877377E-001 -0.768409E-002  0.761799     
  932.000        23400.0       0.258264E-002  0.251756E-004  0.243494E-007  0.277651E-003  0.859998E-002  0.132789E-002  0.985416       0.338797E-002  0.538092E-003  0.505397       0.279913E-002   0.00000        0.00000       0.151325E-006  0.984095       0.524460E-016  0.154258E-003  0.109692E-002  0.267051E-001  0.706784E-004  0.341028E-001  0.609116E-003  0.923489E-003  0.152614E-003  0.109687E-001  0.854495E-003  0.125307E-004  0.153689E-004  0.231331E-011  0.141513E-009  0.186463E-014  0.342651E-010  0.439737E-010  0.692058E-006  0.671631E-006  0.109503E-013  0.168147E-021  0.169378E-017  0.105834E-028  0.889338E-003  0.142351E-001  0.583051E-006  0.264200E-006  0.101468E-014  0.735947E-004  0.397985E-004  0.159132E-003  0.506588E-002  0.113599E-009  0.354831E-003  0.311756E-017  0.418493E-006  0.150748E-002  0.817804E-003  0.538277E-001  0.607135E-015  0.174561E-039  0.743658E-004  0.185328E-004  0.146438E-003  0.462455E-010  0.480191       0.110876E-002  0.221259E-003  0.175694E-016  0.832093E-002  0.586335E-014  0.167986E-009  0.629027E-015  0.451289E-014  0.658046E-014  0.592538E-025  0.812339E-013  0.844184E-018  0.653605E-019  0.102622E-021  0.253268E-017  0.104896E-025  0.693195E-028  0.521872E-002  0.240835E-004  0.832056E-001  0.156358E-003  0.333680E-008  0.440844E-002  0.995841        3.83259      -0.614716E-002   19.4527       0.854885E-001 -0.691017E-002  0.735734     
  927.000        26900.0       0.271441E-002  0.234003E-004  0.647819E-007  0.351011E-003  0.944721E-002  0.157692E-002  0.984168       0.341862E-002  0.661571E-003  0.505884       0.295669E-002   0.00000       0.324642E-007  0.143781E-006  0.982672       0.224808E-015  0.153906E-003  0.973553E-003  0.212148E-001  0.102323E-003  0.444744E-001  0.129903E-002  0.235723E-002  0.162764E-003  0.140521E-001  0.476706E-002  0.256600E-005  0.250206E-004  0.416103E-011  0.401515E-009  0.131951E-013  0.134966E-009  0.192014E-009  0.223545E-005  0.139660E-005  0.323329E-014  0.118245E-022  0.294316E-016  0.566716E-026  0.821307E-003  0.178916E-001  0.128108E-005  0.802617E-006  0.724980E-014  0.239044E-003  0.565072E-004  0.184768E-003  0.351589E-002  0.265673E-010  0.729792E-003  0.210902E-017  0.163280E-005  0.186834E-002  0.157687E-002  0.611807E-001  0.250723E-015  0.152958E-036  0.590452E-004  0.754326E-004  0.358865E-003  0.524049E-010  0.527032       0.193835E-002  0.311945E-003  0.283023E-017  0.108169E-001  0.612692E-013  0.764439E-009  0.162033E-014  0.865531E-014  0.845803E-014  0.821127E-026  0.765723E-012  0.358828E-016  0.448774E-018  0.178242E-019  0.283597E-016  0.744211E-023  0.129840E-025  0.412871E-002  0.163981E-004  0.786275E-001  0.108939E-003  0.739792E-008  0.624942E-002   1.01552        3.87141      -0.176388E-002   21.4289       0.102359      -0.849005E-002  0.807380     
  927.000        27200.0       0.261249E-002  0.211709E-004  0.757944E-007  0.315136E-003  0.916696E-002  0.137047E-002  0.985135       0.276164E-002  0.597368E-003  0.505160       0.258533E-002   0.00000       0.124174E-007  0.125870E-006  0.983857       0.269837E-015  0.138368E-003  0.867441E-003  0.858014E-002  0.441175E-004  0.448716E-001  0.138745E-002  0.261251E-002  0.530872E-004  0.137810E-001  0.550102E-002  0.861677E-006  0.388800E-005  0.489345E-011  0.484349E-009  0.196278E-013  0.187015E-009  0.260815E-009  0.275834E-005  0.148986E-005  0.359775E-014  0.247864E-022  0.293306E-017  0.194507E-028  0.355891E-003  0.164239E-001  0.126529E-005  0.838936E-006  0.930680E-014  0.241933E-003  0.576153E-004  0.181073E-003  0.822594E-003  0.365157E-010  0.643293E-003  0.221047E-017  0.109148E-005  0.168772E-002  0.129925E-002  0.549555E-001  0.260544E-015  0.817083E-039  0.238186E-004  0.879512E-004  0.398320E-003  0.166663E-010  0.511060       0.203742E-002  0.309518E-003  0.388030E-017  0.981472E-002  0.399725E-013  0.486558E-009  0.100322E-014  0.562625E-014  0.586779E-014  0.735484E-026  0.406227E-012  0.298238E-016  0.304091E-018  0.197293E-019  0.185596E-016  0.111181E-022  0.153327E-025  0.385526E-002  0.151933E-004  0.747663E-001  0.844980E-004  0.534252E-008  0.482760E-002  0.955571        3.68609      -0.287011E-002   20.6770       0.877377E-001 -0.768409E-002  0.761799     
  927.000        26700.0       0.183543E-002  0.234960E-004  0.614248E-007  0.229975E-003  0.708175E-002  0.193586E-002  0.986900       0.426850E-002  0.679058E-003  0.506196       0.279056E-002   0.00000       0.581059E-008  0.121529E-006  0.985148       0.115645E-015  0.160258E-003  0.101692E-002  0.662500E-001  0.275721E-003  0.255442E-001  0.748877E-003  0.120521E-002  0.506244E-003  0.103543E-001  0.345010E-002  0.113528E-004  0.873893E-004  0.235440E-011  0.256022E-009  0.813815E-014  0.828166E-010  0.131736E-009  0.187585E-005  0.156109E-005  0.718682E-014  0.428915E-022  0.648008E-016  0.125902E-025  0.238398E-002  0.964363E-002  0.688441E-006  0.381497E-006  0.369494E-014  0.162169E-003  0.327266E-004  0.137708E-003  0.130098E-001  0.414270E-010  0.679062E-003  0.246882E-017  0.103900E-005  0.187500E-002  0.138077E-002  0.618810E-001  0.299490E-015  0.354266E-036  0.184156E-003  0.437004E-004  0.184490E-003  0.157658E-009  0.394542       0.112230E-002  0.232504E-003  0.287553E-017  0.108594E-001  0.446361E-013  0.715915E-009  0.169372E-014  0.100659E-013  0.111329E-013  0.161632E-025  0.295147E-012  0.206206E-016  0.400454E-018  0.856349E-020  0.202745E-016  0.314236E-023  0.704473E-026  0.307858E-002  0.120538E-004  0.583979E-001  0.719465E-004  0.930473E-008  0.898531E-002  0.841482        2.97642      -0.557138E-002   15.9453       0.119473      -0.863432E-002  0.678517     
  927.000        27100.0       0.274860E-002  0.221832E-004  0.721192E-007  0.348888E-003  0.952023E-002  0.142404E-002  0.984446       0.295188E-002  0.626938E-003  0.505450       0.275721E-002   0.00000       0.219245E-007  0.134113E-006  0.983096       0.264816E-015  0.144869E-003  0.911834E-003  0.948152E-002  0.454636E-004  0.464628E-001  0.141229E-002  0.263112E-002  0.609588E-004  0.142925E-001  0.547460E-002  0.847195E-006  0.491556E-005  0.468040E-011  0.467385E-009  0.180030E-013  0.170735E-009  0.242361E-009  0.260929E-005  0.143431E-005  0.271922E-014  0.104045E-022  0.274992E-017  0.227975E-028  0.343462E-003  0.182669E-001  0.136305E-005  0.886407E-006  0.901020E-014  0.255031E-003  0.594812E-004  0.187351E-003  0.953541E-003  0.255145E-010  0.698361E-003  0.202491E-017  0.146351E-005  0.177353E-002  0.148336E-002  0.578073E-001  0.235353E-015  0.467139E-039  0.263759E-004  0.873762E-004  0.399937E-003  0.191453E-010  0.530993       0.207658E-002  0.319579E-003  0.275226E-017  0.102873E-001  0.483356E-013  0.603988E-009  0.129158E-014  0.695245E-014  0.685563E-014  0.669790E-026  0.668223E-012  0.288834E-016  0.361393E-018  0.148898E-019  0.225072E-016  0.657456E-023  0.108977E-025  0.407493E-002  0.160707E-004  0.784434E-001  0.103584E-003  0.602688E-008  0.512732E-002   1.00113        3.85997      -0.169582E-002   21.5807       0.924916E-001 -0.806521E-002  0.794715     
  925.000        28300.0       0.237190E-002  0.191080E-004  0.102492E-006  0.302656E-003  0.854382E-002  0.139748E-002  0.985836       0.284175E-002  0.611582E-003  0.505085       0.266702E-002   0.00000       0.128587E-007  0.995148E-007  0.984601       0.398816E-015  0.127977E-003  0.771580E-003  0.841271E-002  0.480040E-004  0.426047E-001  0.158489E-002  0.315141E-002  0.527248E-004  0.134591E-001  0.895799E-002  0.924668E-006  0.402944E-005  0.522264E-011  0.632946E-009  0.401057E-013  0.292427E-009  0.425396E-009  0.396424E-005  0.177488E-005  0.198405E-014  0.656989E-023  0.456095E-017  0.445380E-028  0.409810E-003  0.154657E-001  0.143872E-005  0.105279E-005  0.168236E-013  0.321141E-003  0.569080E-004  0.170664E-003  0.834665E-003  0.175665E-010  0.752401E-003  0.170731E-017  0.154406E-005  0.166143E-002  0.147016E-002  0.526805E-001  0.163775E-015  0.257859E-038  0.232531E-004  0.127733E-003  0.473130E-003  0.168596E-010  0.475435       0.215774E-002  0.314870E-003  0.147297E-017  0.980714E-002  0.708800E-013  0.706543E-009  0.129315E-014  0.659627E-014  0.604827E-014  0.325454E-026  0.842714E-012  0.628073E-016  0.458456E-018  0.481779E-019  0.329397E-016  0.313766E-022  0.314187E-025  0.319429E-002  0.116602E-004  0.657933E-001  0.691509E-004  0.629468E-008  0.501340E-002  0.878918        3.35640      -0.174530E-002   19.2914       0.867871E-001 -0.785265E-002  0.715430     
  923.000        29200.0       0.201368E-002  0.174369E-004  0.121104E-006  0.267785E-003  0.751739E-002  0.151927E-002  0.987118       0.296459E-002  0.632790E-003  0.505080       0.254691E-002   0.00000       0.131604E-007  0.103088E-006  0.985855       0.429712E-015  0.120895E-003  0.703847E-003  0.195805E-001  0.113846E-003  0.365330E-001  0.152670E-002  0.307240E-002  0.170105E-003  0.121947E-001  0.118216E-001  0.101094E-005  0.277683E-004  0.472390E-011  0.657483E-009  0.490501E-013  0.317471E-009  0.494042E-009  0.465896E-005  0.211608E-005  0.186336E-014  0.457731E-023  0.538352E-016  0.171994E-025  0.677553E-003  0.131020E-001  0.138463E-005  0.106028E-005  0.201167E-013  0.362250E-003  0.500532E-004  0.150964E-003  0.274641E-002  0.124807E-010  0.839969E-003  0.146522E-017  0.168534E-005  0.164052E-002  0.155389E-002  0.508485E-001  0.122618E-015  0.322374E-036  0.546839E-004  0.142637E-003  0.457062E-003  0.570011E-010  0.417713       0.198247E-002  0.294928E-003  0.824883E-018  0.982598E-002  0.878625E-013  0.879956E-009  0.147479E-014  0.749360E-014  0.660571E-014  0.209515E-026  0.900995E-012  0.935781E-016  0.645495E-018  0.878924E-019  0.416398E-016  0.710941E-022  0.727474E-025  0.257215E-002  0.895136E-005  0.553846E-001  0.524461E-004  0.823365E-008  0.624326E-002  0.778530        2.91117      -0.128368E-002   16.9598       0.906275E-001 -0.809336E-002  0.652582     
