|6.6.6
Al98-14a_lagged_2ampliado2_1.tab                                                                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          95
T(K)           P(bar)         Na,mol,pfu     Mg,mol,pfu     Al,mol,pfu     Si,mol,pfu     K,mol,pfu      Ca,mol,pfu     Fe,mol,pfu     O2,mol,pfu     H2,mol,pfu     C,mol,pfu      S2,mol,pfu     y_{CO2}        y_{CH4}        y_{H2S}        y_{H2}         y_{H2O}        m_{Al+3}       m_{AlO2-}      m_{AlO2(SiO}   m_{Ca(HCO3)}   m_{Ca(HCOO)}   m_{Ca(HSiO3}   m_{Ca(OH)+}    m_{Ca+2}       m_{CaCO3,aq}   m_{CaO,aq}     m_{CaSO4,aq}   m_{CO,aq}      m_{CO3-2}      m_{Fecho+}     m_{Fecho0}     m_{Fe(HCOO)}   m_{Fe(HSiO3}   m_{Fe(OH)+}    m_{Fe+2}       m_{Fe+3}       m_{FeO,aq}     m_{H+}         m_{HAlO2,aq}   m_{HCO3-}      m_{HFeO2-}     m_{HO2-}       m_{HS-}        m_{HSiO3-}     m_{HSO3-}      m_{HSO4-}      m_{HSO5-}      m_{Isobutan}   m_{K+}         m_{KOH,aq}     m_{KSO4-}      m_{Mg(HCO3)}   m_{Mg(HSiO3}   m_{Mg+2}       m_{MgCO3,aq}   m_{MgO,aq}     m_{MgOH+}      m_{MgSO4,aq}   m_{Na(Ac),a}   m_{Na(Ac)2-}   m_{Na+}        m_{NaCO3-}     m_{NaHCO3,a}   m_{NaHSiO3,}   m_{NaOH,aq}    m_{O2,aq}      m_{OH-}        m_{S2-2}       m_{S2O3-2}     m_{S2O4-2}     m_{S2O5-2}     m_{S2O6-2}     m_{S2O8-2}     m_{S3-}        m_{S3-2}       m_{S3O6-2}     m_{S4-2}       m_{S4O6-2}     m_{S5-2}       m_{S5O6-2}     m_{Si2O4,aq}   m_{Si3O6,aq}   m_{SiO2,aq}    m_{SO2,aq}     m_{SO3-2}      m_{SO4-2}      pH-pH_0        pH             error_pH       permittivity   I,m            ref_chg        tot_solute_m  
  931.000        24100.0       0.380748E-002  0.378757E-003  0.388873E-002  0.202519E-001  0.918421E-003  0.161568E-003  0.391735E-002  0.521084       0.968825       0.128304E-001  0.729261E-003  0.714602E-002  0.109088E-003  0.278256E-003  0.256316E-004  0.963837       0.435182E-016  0.563585E-002  0.212807       0.123164E-002  0.124126E-002  0.553338E-002  0.201212E-004  0.131680E-004  0.218156E-004  0.107229E-002  0.193598E-009  0.627128E-002  0.713899E-003  0.349603E-007  0.333406E-007  0.190204       0.288756E-001  0.243211E-006  0.490552E-007  0.660472E-017  0.109411E-003  0.153897E-004  0.139287E-002  0.383635E-001  0.226393E-002  0.403023E-019  0.667061E-001  0.424628E-001  0.282745E-005  0.514382E-006  0.141641E-022  0.111781E-003  0.501797E-001  0.173994E-002  0.245160E-008  0.161221E-005  0.176561E-005  0.977543E-006  0.340431E-011  0.213908E-001  0.165475E-004  0.191967E-010  0.428048E-003  0.977568E-005  0.136050       0.167499E-004  0.757697E-001  0.180213E-003  0.278841E-002  0.112305E-021  0.436977E-001  0.463379E-006  0.311476E-009  0.319549E-017  0.674424E-019  0.286503E-021  0.177105E-037  0.380394E-005  0.630776E-008  0.289993E-024  0.734991E-010  0.102556E-020  0.724764E-012  0.315014E-029  0.167358       0.392743E-002  0.508508       0.990941E-007  0.706948E-010  0.264804E-006   1.72734        5.02952      -0.149963E-002   22.6595       0.414129       0.102190E-001   1.61714     
  932.000        23800.0       0.415350E-002  0.384299E-003  0.402465E-002  0.203338E-001  0.900792E-003  0.166282E-003  0.436473E-002  0.522062       0.968238       0.139147E-001  0.754313E-003  0.713157E-002  0.129682E-003  0.277171E-003  0.255286E-004  0.962665       0.383013E-016  0.585315E-002  0.220550       0.151356E-002  0.135314E-002  0.540880E-002  0.189216E-004  0.121979E-004  0.268133E-004  0.107815E-002  0.256262E-009  0.796602E-002  0.928063E-003  0.326015E-007  0.318882E-007  0.216016       0.286629E-001  0.231402E-006  0.453508E-007  0.590853E-017  0.101299E-003  0.148047E-004  0.139279E-002  0.495332E-001  0.226375E-002  0.479159E-019  0.696766E-001  0.423065E-001  0.393074E-005  0.774906E-006  0.253993E-022  0.105273E-003  0.492558E-001  0.172912E-002  0.367855E-008  0.198037E-005  0.152486E-005  0.911978E-006  0.411692E-011  0.217310E-001  0.159516E-004  0.278433E-010  0.439991E-003  0.109670E-004  0.133781       0.216010E-004  0.978773E-001  0.165066E-003  0.279315E-002  0.163265E-021  0.439866E-001  0.571146E-006  0.481803E-009  0.543876E-017  0.120655E-018  0.538286E-021  0.386183E-037  0.579672E-005  0.843425E-008  0.566981E-024  0.105878E-009  0.206348E-020  0.111895E-011  0.662306E-029  0.167349       0.396165E-002  0.507220       0.146538E-006  0.991889E-010  0.399083E-006   1.73758        5.04972      -0.244729E-002   22.5209       0.437013       0.114247E-001   1.68514     
  927.000        27200.0       0.312078E-002  0.317956E-003  0.328413E-002  0.205461E-001  0.107702E-002  0.162962E-003  0.211298E-002  0.518097       0.970325       0.932340E-002  0.538000E-003  0.712180E-002  0.190209E-003  0.205080E-003  0.251303E-004  0.967016       0.125346E-015  0.456416E-002  0.179079       0.372073E-003  0.906471E-003  0.673430E-002  0.333898E-004  0.244049E-004  0.674515E-005  0.110649E-002  0.489414E-010  0.105575E-002  0.149673E-003  0.611552E-007  0.511107E-007  0.873253E-001  0.288597E-001  0.350739E-006  0.898793E-007  0.206382E-016  0.220593E-003  0.204704E-004  0.143755E-002  0.698926E-002  0.267291E-002  0.179039E-019  0.490804E-001  0.502069E-001  0.399911E-006  0.307115E-007  0.239446E-024  0.770303E-004  0.587257E-001  0.197068E-002  0.143234E-009  0.446804E-006  0.560694E-005  0.161729E-005  0.974022E-012  0.178899E-001  0.212077E-004  0.126090E-011  0.357032E-003  0.429881E-005  0.156642       0.353841E-005  0.155052E-001  0.398152E-003  0.296428E-002  0.111540E-022  0.467990E-001  0.124746E-006  0.126948E-010  0.533873E-019  0.572312E-021  0.111734E-023  0.402784E-041  0.175279E-006  0.107072E-008  0.882577E-027  0.778821E-011  0.787751E-024  0.475552E-013  0.565148E-032  0.172960       0.402959E-002  0.534605       0.637966E-008  0.848714E-011  0.142979E-007   1.67957        4.88466      -0.291039E-004   23.7959       0.339876       0.644202E-002   1.43381     
  932.000        23400.0       0.514302E-002  0.302859E-003  0.335897E-002  0.158143E-001  0.685228E-003  0.154547E-003  0.479156E-002  0.521013       0.973451       0.150840E-001  0.611726E-003  0.522569E-002  0.134852E-003  0.236941E-003  0.292563E-004  0.966793       0.261013E-016  0.491627E-002  0.184296       0.256642E-002  0.145869E-002  0.383741E-002  0.129730E-004  0.843239E-005  0.473842E-004  0.822450E-003  0.899643E-009  0.108537E-001  0.200003E-002  0.213968E-007  0.206415E-007  0.248652       0.208965E-001  0.161970E-006  0.315351E-007  0.479885E-017  0.719837E-004  0.104531E-004  0.104531E-002  0.979592E-001  0.178114E-002  0.595430E-019  0.558151E-001  0.332647E-001  0.107919E-004  0.341345E-005  0.181481E-021  0.306718E-006  0.374767E-001  0.133570E-002  0.173994E-007  0.343375E-005  0.979156E-006  0.643843E-006  0.751697E-011  0.171380E-001  0.113498E-004  0.119210E-009  0.337800E-003  0.905662E-005  0.102167       0.444502E-004  0.186455       0.118340E-003  0.217708E-002  0.327731E-021  0.349913E-001  0.792943E-006  0.242396E-008  0.436229E-016  0.153027E-017  0.109688E-019  0.236768E-035  0.146971E-004  0.167792E-007  0.165418E-022  0.303249E-009  0.102669E-018  0.464927E-011  0.400539E-027  0.128160       0.303799E-002  0.387899       0.430658E-006  0.313650E-009  0.201604E-005   1.36476        3.92370      -0.157594E-001   17.2472       0.419124       0.121676E-001   1.57171     
  927.000        26900.0       0.313500E-002  0.321382E-003  0.333080E-002  0.205527E-001  0.106726E-002  0.163017E-003  0.221290E-002  0.518250       0.970252       0.947932E-002  0.548392E-003  0.712068E-002  0.190179E-003  0.204021E-003  0.251264E-004  0.966865       0.115594E-015  0.463890E-002  0.181664       0.407271E-003  0.933803E-003  0.667489E-002  0.322325E-004  0.233478E-004  0.734905E-005  0.110954E-002  0.529370E-010  0.123603E-002  0.166965E-003  0.588467E-007  0.501851E-007  0.929451E-001  0.289412E-001  0.341514E-006  0.858802E-007  0.189163E-016  0.208902E-003  0.200502E-004  0.143827E-002  0.790914E-002  0.263423E-002  0.195941E-019  0.503192E-001  0.495600E-001  0.464513E-006  0.379440E-007  0.358038E-024  0.642720E-004  0.581957E-001  0.196045E-002  0.176411E-009  0.489255E-006  0.512486E-005  0.155230E-005  0.105689E-011  0.180868E-001  0.207841E-004  0.152439E-011  0.365543E-003  0.472898E-005  0.155383       0.396661E-005  0.176080E-001  0.374610E-003  0.296483E-002  0.145792E-022  0.465410E-001  0.138260E-006  0.161263E-010  0.745007E-019  0.844791E-021  0.177190E-023  0.924508E-041  0.234888E-006  0.123125E-008  0.144055E-026  0.931631E-011  0.146131E-023  0.593581E-013  0.980702E-032  0.172840       0.407301E-002  0.533336       0.807338E-008  0.985431E-011  0.175600E-007   1.68281        4.89507      -0.289278E-004   23.7053       0.343802       0.667434E-002   1.44270     
  927.000        27200.0       0.312078E-002  0.317956E-003  0.328413E-002  0.205461E-001  0.107702E-002  0.162962E-003  0.211298E-002  0.518097       0.970325       0.932340E-002  0.538000E-003  0.712180E-002  0.190209E-003  0.205080E-003  0.251303E-004  0.967016       0.125346E-015  0.456416E-002  0.179079       0.372073E-003  0.906471E-003  0.673430E-002  0.333898E-004  0.244049E-004  0.674515E-005  0.110649E-002  0.489414E-010  0.105575E-002  0.149673E-003  0.611552E-007  0.511107E-007  0.873253E-001  0.288597E-001  0.350739E-006  0.898793E-007  0.206382E-016  0.220593E-003  0.204704E-004  0.143755E-002  0.698926E-002  0.267291E-002  0.179039E-019  0.490804E-001  0.502069E-001  0.399911E-006  0.307115E-007  0.239446E-024  0.770303E-004  0.587257E-001  0.197068E-002  0.143234E-009  0.446804E-006  0.560694E-005  0.161729E-005  0.974022E-012  0.178899E-001  0.212077E-004  0.126090E-011  0.357032E-003  0.429881E-005  0.156642       0.353841E-005  0.155052E-001  0.398152E-003  0.296428E-002  0.111540E-022  0.467990E-001  0.124746E-006  0.126948E-010  0.533873E-019  0.572312E-021  0.111734E-023  0.402784E-041  0.175279E-006  0.107072E-008  0.882577E-027  0.778821E-011  0.787751E-024  0.475552E-013  0.565148E-032  0.172960       0.402959E-002  0.534605       0.637966E-008  0.848714E-011  0.142979E-007   1.67957        4.88466      -0.291039E-004   23.7959       0.339876       0.644202E-002   1.43381     
  927.000        26700.0       0.313535E-002  0.325434E-003  0.335503E-002  0.204897E-001  0.105439E-002  0.161814E-003  0.229383E-002  0.518330       0.970261       0.961174E-002  0.557213E-003  0.712030E-002  0.190169E-003  0.206556E-003  0.251251E-004  0.966811       0.108250E-015  0.468789E-002  0.182996       0.437792E-003  0.949130E-003  0.657022E-002  0.312197E-004  0.224930E-004  0.787862E-005  0.110236E-002  0.569469E-010  0.138949E-002  0.182844E-003  0.566529E-007  0.483950E-007  0.975682E-001  0.289353E-001  0.334339E-006  0.828904E-007  0.174945E-016  0.199688E-003  0.197014E-004  0.143200E-002  0.876393E-002  0.259459E-002  0.205297E-019  0.511730E-001  0.488862E-001  0.523754E-006  0.452088E-007  0.478551E-024  0.531859E-004  0.574965E-001  0.193731E-002  0.209830E-009  0.530061E-006  0.478533E-005  0.151022E-005  0.113908E-011  0.183167E-001  0.204893E-004  0.179835E-011  0.368131E-003  0.496689E-005  0.153615       0.435300E-005  0.194445E-001  0.356091E-003  0.293945E-002  0.171993E-022  0.462201E-001  0.149665E-006  0.196612E-010  0.974043E-019  0.115782E-020  0.257119E-023  0.170822E-040  0.291076E-006  0.137307E-008  0.213466E-026  0.107218E-010  0.239595E-023  0.706348E-013  0.151721E-031  0.172150       0.403754E-002  0.530800       0.968627E-008  0.111686E-010  0.209003E-007   1.68513        4.90357      -0.288986E-004   23.6451       0.345905       0.686565E-002   1.44572     
  927.000        27100.0       0.313537E-002  0.318352E-003  0.330594E-002  0.206042E-001  0.107802E-002  0.163554E-003  0.214025E-002  0.518172       0.970246       0.936294E-002  0.541720E-003  0.712104E-002  0.190188E-003  0.205532E-003  0.251277E-004  0.966912       0.123181E-015  0.459158E-002  0.180295       0.380368E-003  0.917026E-003  0.674519E-002  0.331413E-004  0.241375E-004  0.688356E-005  0.111147E-002  0.498037E-010  0.110012E-002  0.153784E-003  0.609131E-007  0.514106E-007  0.888093E-001  0.289273E-001  0.348658E-006  0.889139E-007  0.203409E-016  0.218283E-003  0.203955E-004  0.144296E-002  0.718811E-002  0.267328E-002  0.184903E-019  0.494795E-001  0.502186E-001  0.416131E-006  0.323281E-007  0.264461E-024  0.744744E-004  0.587817E-001  0.197794E-002  0.150464E-009  0.456005E-006  0.549309E-005  0.159947E-005  0.985414E-012  0.179143E-001  0.211323E-004  0.131368E-011  0.361501E-003  0.444248E-005  0.156931       0.364212E-005  0.160400E-001  0.393505E-003  0.298171E-002  0.119947E-022  0.468617E-001  0.128206E-006  0.134325E-010  0.578264E-019  0.627239E-021  0.124344E-023  0.486246E-041  0.188657E-006  0.111118E-008  0.989308E-027  0.816354E-011  0.905912E-024  0.503648E-013  0.642628E-032  0.173430       0.407545E-002  0.535626       0.676943E-008  0.880476E-011  0.149923E-007   1.68066        4.88671      -0.289992E-004   23.7649       0.341804       0.650675E-002   1.43982     
  925.000        28300.0       0.558153E-002  0.293756E-003  0.380338E-002  0.213620E-001  0.102792E-002  0.247176E-003  0.459990E-002  0.523456       0.968618       0.136443E-001  0.486924E-003  0.483088E-002  0.165638E-003  0.154573E-003  0.146204E-004  0.961968       0.152905E-015  0.528941E-002  0.209987       0.370890E-002  0.292373E-002  0.618889E-002  0.346007E-004  0.250965E-004  0.822886E-004  0.112026E-002  0.898037E-008  0.229073E-002  0.264247E-002  0.621972E-007  0.530937E-007  0.233817       0.246034E-001  0.345753E-006  0.923949E-007  0.537391E-016  0.290256E-003  0.193812E-004  0.143517E-002  0.834645E-001  0.338556E-002  0.692228E-019  0.466518E-001  0.656428E-001  0.165150E-004  0.404101E-005  0.864727E-022  0.135554E-006  0.564499E-001  0.211988E-002  0.198964E-007  0.432320E-005  0.750129E-005  0.159245E-005  0.112610E-010  0.167045E-001  0.199453E-004  0.140228E-009  0.328417E-003  0.360124E-005  0.150890       0.479429E-004  0.163084       0.552836E-003  0.312170E-002  0.863893E-022  0.589360E-001  0.413541E-006  0.174162E-008  0.231874E-016  0.856131E-018  0.557044E-020  0.143569E-036  0.178934E-005  0.112980E-007  0.153849E-022  0.262000E-009  0.325367E-019  0.510098E-011  0.119278E-026  0.175168       0.413629E-002  0.547452       0.160255E-006  0.455408E-009  0.250426E-005   1.74999        4.91392      -0.169526E-001   24.3958       0.481394       0.112496E-001   1.87266     
  923.000        29200.0       0.499914E-002  0.281257E-003  0.365493E-002  0.210912E-001  0.107908E-002  0.234962E-003  0.391452E-002  0.520807       0.971262       0.101887E-001  0.440834E-003  0.319517E-002  0.185839E-003  0.134513E-003  0.145691E-004  0.965476       0.202203E-015  0.511924E-002  0.201789       0.299151E-002  0.280123E-002  0.633679E-002  0.398560E-004  0.294270E-004  0.695987E-004  0.112637E-002  0.848407E-008  0.140831E-002  0.208855E-002  0.728157E-007  0.599261E-007  0.195223       0.239494E-001  0.384719E-006  0.108758E-006  0.759666E-016  0.365439E-003  0.206844E-004  0.145374E-002  0.608614E-001  0.362170E-002  0.582199E-019  0.425751E-001  0.696442E-001  0.118381E-004  0.248825E-005  0.379369E-022  0.220294E-006  0.592716E-001  0.224501E-002  0.125588E-007  0.343824E-005  0.105562E-004  0.181712E-005  0.941380E-011  0.159969E-001  0.213467E-004  0.889669E-010  0.315331E-003  0.284127E-005  0.158700       0.375064E-004  0.121969       0.717629E-003  0.325068E-002  0.472101E-022  0.615864E-001  0.302291E-006  0.972703E-009  0.107836E-016  0.361624E-018  0.207393E-020  0.277465E-037  0.820496E-006  0.769055E-008  0.572410E-023  0.166169E-009  0.895919E-020  0.301242E-011  0.441509E-027  0.170804       0.394451E-002  0.546486       0.870694E-007  0.325035E-009  0.156720E-005   1.74453        4.87828      -0.153344E-001   24.8846       0.451555       0.987835E-002   1.76690     
