|6.6.6
GLOSS_lagged_3_1.tab                                                                                
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          95
T(K)           P(bar)         Na,mol,pfu     Mg,mol,pfu     Al,mol,pfu     Si,mol,pfu     K,mol,pfu      Ca,mol,pfu     Fe,mol,pfu     O2,mol,pfu     H2,mol,pfu     C,mol,pfu      S2,mol,pfu     y_{CO2}        y_{CH4}        y_{H2S}        y_{H2}         y_{H2O}        m_{Al+3}       m_{AlO2-}      m_{AlO2(SiO}   m_{Ca(HCO3)}   m_{Ca(HCOO)}   m_{Ca(HSiO3}   m_{Ca(OH)+}    m_{Ca+2}       m_{CaCO3,aq}   m_{CaO,aq}     m_{CaSO4,aq}   m_{CO,aq}      m_{CO3-2}      m_{Fecho+}     m_{Fecho0}     m_{Fe(HCOO)}   m_{Fe(HSiO3}   m_{Fe(OH)+}    m_{Fe+2}       m_{Fe+3}       m_{FeO,aq}     m_{H+}         m_{HAlO2,aq}   m_{HCO3-}      m_{HFeO2-}     m_{HO2-}       m_{HS-}        m_{HSiO3-}     m_{HSO3-}      m_{HSO4-}      m_{HSO5-}      m_{Isobutan}   m_{K+}         m_{KOH,aq}     m_{KSO4-}      m_{Mg(HCO3)}   m_{Mg(HSiO3}   m_{Mg+2}       m_{MgCO3,aq}   m_{MgO,aq}     m_{MgOH+}      m_{MgSO4,aq}   m_{Na(Ac),a}   m_{Na(Ac)2-}   m_{Na+}        m_{NaCO3-}     m_{NaHCO3,a}   m_{NaHSiO3,}   m_{NaOH,aq}    m_{O2,aq}      m_{OH-}        m_{S2-2}       m_{S2O3-2}     m_{S2O4-2}     m_{S2O5-2}     m_{S2O6-2}     m_{S2O8-2}     m_{S3-}        m_{S3-2}       m_{S3O6-2}     m_{S4-2}       m_{S4O6-2}     m_{S5-2}       m_{S5O6-2}     m_{Si2O4,aq}   m_{Si3O6,aq}   m_{SiO2,aq}    m_{SO2,aq}     m_{SO3-2}      m_{SO4-2}      pH-pH_0        pH             error_pH       permittivity   I,m            ref_chg        tot_solute_m  
  931.000        24100.0       0.456932E-001  0.105087E-002  0.117894E-002  0.164458E-001  0.121147E-002  0.281914E-002  0.303745E-002  0.591660       0.885029       0.994693E-001  0.637892E-002  0.588663E-001   0.00000       0.625411E-004  0.689590E-006  0.858571       0.161069E-014  0.153390E-002  0.627365E-001  0.120193       0.182871E-002  0.294523E-001  0.993946E-004  0.250652E-003  0.338791E-003  0.255871E-002  0.137640E-002  0.214285E-002  0.962132E-003  0.894438E-012  0.646616E-017  0.120199       0.464895E-001  0.330428E-006  0.260301E-006  0.150799E-014  0.759716E-004  0.411460E-004  0.100855E-002  0.203239       0.142109E-002  0.722583E-018  0.472207E-002  0.112256E-001  0.508902E-001  0.515564       0.987785E-015  0.949500E-024  0.651129E-001  0.637100E-003  0.133017E-002  0.172181E-003  0.946795E-005  0.220868E-004  0.152760E-009  0.577171E-001  0.931610E-004  0.173845E-003  0.133045E-007  0.229998E-014  0.725487       0.185924E-003   1.79896       0.360514E-003  0.507887E-002  0.533930E-018  0.113643E-001  0.266325E-006  0.374116E-004  0.231097E-010  0.279934E-010  0.686488E-011  0.151354E-023  0.453282E-003  0.553477E-007  0.990152E-013  0.972586E-008  0.534912E-008  0.143446E-008  0.217775E-015  0.160241       0.250736E-002  0.432346       0.593033E-002  0.527393E-006  0.121529        1.25490        4.72640      -0.685767E-001   19.0173        1.23253      -0.750435E-001   4.56810     
  932.000        23800.0       0.359025E-001  0.110325E-002  0.108004E-002  0.164201E-001  0.220709E-002  0.294134E-002  0.280413E-002  0.585536       0.885730       0.972558E-001  0.571010E-002  0.641754E-001   0.00000       0.658149E-004  0.786893E-006  0.863618       0.103857E-014  0.137563E-002  0.565292E-001  0.119915       0.190763E-002  0.331322E-001  0.107536E-003  0.253105E-003  0.327711E-003  0.315731E-002  0.118799E-002  0.230245E-002  0.911841E-003  0.793948E-012  0.665567E-017  0.108327       0.425066E-001  0.286430E-006  0.208345E-006  0.105440E-014  0.698097E-004  0.377881E-004  0.842109E-003  0.195159       0.162099E-002  0.722059E-018  0.547764E-002  0.115044E-001  0.465935E-001  0.443033       0.854933E-015  0.157484E-023  0.116612       0.121180E-002  0.222692E-002  0.141835E-003  0.787375E-005  0.186234E-004  0.134099E-009  0.596135E-001  0.850579E-004  0.142302E-003  0.121730E-007  0.253856E-014  0.577802       0.151302E-003   1.37020       0.293133E-003  0.440051E-002  0.526776E-018  0.117367E-001  0.343538E-006  0.381305E-004  0.224340E-010  0.251643E-010  0.577590E-011  0.127859E-023  0.554855E-003  0.699906E-007  0.794779E-013  0.120550E-007  0.459487E-008  0.174273E-008  0.159501E-015  0.159163       0.240065E-002  0.423639       0.556595E-002  0.513822E-006  0.111631        1.27791        4.77584      -0.636325E-001   18.6365        1.11398      -0.666422E-001   3.92392     
  927.000        27200.0       0.453276E-001  0.697902E-004  0.504605E-003  0.671458E-002  0.776685E-003  0.172483E-002  0.149068E-002  0.579079       0.920213       0.895318E-001  0.337735E-002  0.465056E-001   0.00000       0.344169E-004  0.377880E-006  0.895599       0.490470E-015  0.645582E-003  0.268847E-001  0.797988E-001  0.132867E-002  0.103007E-001  0.487075E-004  0.900196E-004  0.427047E-003  0.102754E-002  0.244830E-002  0.443815E-003  0.118889E-002  0.147007E-011  0.284732E-016  0.642722E-001  0.173067E-001  0.187934E-006  0.123424E-006  0.100191E-014  0.804047E-004  0.145362E-004  0.399778E-003  0.147423       0.850110E-003  0.361240E-018  0.111602E-002  0.696165E-002  0.260651E-001  0.267618       0.333202E-015  0.701816E-024  0.410861E-001  0.556286E-003  0.134746E-002  0.214564E-004  0.184644E-005  0.142568E-005  0.273675E-010  0.381544E-002  0.715264E-005  0.155898E-004  0.179751E-007  0.471328E-014  0.418109       0.291792E-003   2.08632       0.535656E-003  0.363959E-002  0.972572E-019  0.639418E-002  0.382699E-007  0.103734E-004  0.622728E-011  0.924811E-011  0.253444E-011  0.209578E-024  0.229042E-004  0.727614E-008  0.430891E-013  0.117773E-008  0.939232E-009  0.160524E-009  0.128691E-015  0.633407E-001  0.111050E-002  0.179650       0.103984E-002  0.296453E-006  0.722295E-001  0.514449        1.76868      -0.320343E-001   7.84825       0.706000      -0.363487E-001   3.53629     
  932.000        23400.0       0.273687E-001  0.113586E-002  0.985301E-003  0.161807E-001  0.343709E-002  0.291580E-002  0.280988E-002  0.583611       0.879540       0.101813       0.530567E-002  0.752138E-001   0.00000       0.842661E-004  0.794078E-006  0.861033       0.693710E-015  0.121432E-002  0.504304E-001  0.113314       0.179326E-002  0.345028E-001  0.106511E-003  0.238841E-003  0.268478E-003  0.368223E-002  0.987341E-003  0.253280E-002  0.793715E-003  0.665027E-012  0.610915E-017  0.105912       0.410877E-001  0.255131E-006  0.174203E-006  0.798879E-015  0.672544E-004  0.345587E-004  0.696611E-003  0.187433       0.219927E-002  0.694085E-018  0.595300E-002  0.111812E-001  0.426882E-001  0.391994       0.777732E-015  0.200378E-023  0.177336       0.190888E-002  0.334112E-002  0.112405E-003  0.593697E-005  0.150333E-004  0.116052E-009  0.600129E-001  0.725621E-004  0.120451E-003  0.100469E-007  0.239268E-014  0.449091       0.120233E-003   1.00072       0.232474E-003  0.371887E-002  0.544377E-018  0.115203E-001  0.417762E-006  0.393111E-004  0.224886E-010  0.238963E-010  0.526697E-011  0.127209E-023  0.617825E-003  0.815814E-007  0.666903E-013  0.134647E-007  0.423321E-008  0.186486E-008  0.113983E-015  0.155992       0.211987E-002  0.403768       0.544537E-002  0.501410E-006  0.106758        1.29054        4.84065      -0.581760E-001   17.9165        1.03172      -0.612119E-001   3.38218     
  927.000        26900.0       0.379533E-001  0.645477E-004  0.448524E-003  0.603341E-002  0.844250E-003  0.153253E-002  0.134466E-002  0.569789       0.926922       0.808549E-001  0.293290E-002  0.445989E-001   0.00000       0.382773E-004  0.552708E-006  0.906078       0.405302E-015  0.574300E-003  0.237386E-001  0.702619E-001  0.116790E-002  0.947605E-002  0.440052E-004  0.807805E-004  0.387796E-003  0.941513E-003  0.190754E-002  0.422839E-003  0.106047E-002  0.125438E-011  0.232900E-016  0.572083E-001  0.159350E-001  0.169116E-006  0.109213E-006  0.815518E-015  0.678850E-004  0.128020E-004  0.349600E-003  0.130101       0.726052E-003  0.321157E-018  0.105997E-002  0.620707E-002  0.224661E-001  0.230304       0.296593E-015  0.673689E-024  0.444155E-001  0.611062E-003  0.139527E-002  0.189011E-004  0.153733E-005  0.126371E-005  0.235080E-010  0.350753E-002  0.645174E-005  0.135352E-004  0.151346E-007  0.413959E-014  0.350489       0.236280E-003   1.73270       0.414800E-003  0.305295E-002  0.908988E-019  0.576370E-002  0.374556E-007  0.938817E-005  0.561788E-011  0.815686E-011  0.220543E-011  0.201754E-024  0.239025E-004  0.698954E-008  0.362979E-013  0.111243E-008  0.844460E-009  0.149411E-009  0.102203E-015  0.563234E-001  0.995577E-003  0.160346       0.961489E-003  0.259188E-006  0.622325E-001  0.460002        1.57996      -0.270560E-001   7.03512       0.612587      -0.313689E-001   2.99803     
  927.000        27200.0       0.453276E-001  0.697902E-004  0.504605E-003  0.671458E-002  0.776685E-003  0.172483E-002  0.149068E-002  0.579079       0.920213       0.895318E-001  0.337735E-002  0.465056E-001   0.00000       0.344169E-004  0.377880E-006  0.895599       0.490470E-015  0.645582E-003  0.268847E-001  0.797988E-001  0.132867E-002  0.103007E-001  0.487075E-004  0.900196E-004  0.427047E-003  0.102754E-002  0.244830E-002  0.443815E-003  0.118889E-002  0.147007E-011  0.284732E-016  0.642722E-001  0.173067E-001  0.187934E-006  0.123424E-006  0.100191E-014  0.804047E-004  0.145362E-004  0.399778E-003  0.147423       0.850110E-003  0.361240E-018  0.111602E-002  0.696165E-002  0.260651E-001  0.267618       0.333202E-015  0.701816E-024  0.410861E-001  0.556286E-003  0.134746E-002  0.214564E-004  0.184644E-005  0.142568E-005  0.273675E-010  0.381544E-002  0.715264E-005  0.155898E-004  0.179751E-007  0.471328E-014  0.418109       0.291792E-003   2.08632       0.535656E-003  0.363959E-002  0.972572E-019  0.639418E-002  0.382699E-007  0.103734E-004  0.622728E-011  0.924811E-011  0.253444E-011  0.209578E-024  0.229042E-004  0.727614E-008  0.430891E-013  0.117773E-008  0.939232E-009  0.160524E-009  0.128691E-015  0.633407E-001  0.111050E-002  0.179650       0.103984E-002  0.296453E-006  0.722295E-001  0.514449        1.76868      -0.320343E-001   7.84825       0.706000      -0.363487E-001   3.53629     
  927.000        26700.0       0.391329E-001  0.599647E-004  0.464081E-003  0.622590E-002  0.994934E-003  0.155124E-002  0.146650E-002  0.572214       0.924398       0.837613E-001  0.301014E-002  0.461466E-001   0.00000       0.388568E-004  0.453699E-006  0.902807       0.389425E-015  0.595330E-003  0.245631E-001  0.712131E-001  0.117563E-002  0.961314E-002  0.431227E-004  0.789840E-004  0.380972E-003  0.988661E-003  0.178027E-002  0.476497E-003  0.109829E-002  0.128195E-011  0.251210E-016  0.625903E-001  0.171490E-001  0.176530E-006  0.112872E-006  0.804256E-015  0.702025E-004  0.128600E-004  0.352734E-003  0.137323       0.805638E-003  0.338360E-018  0.110800E-002  0.630088E-002  0.227828E-001  0.235710       0.302186E-015  0.790999E-024  0.523244E-001  0.722947E-003  0.164563E-002  0.172174E-004  0.135675E-005  0.114087E-005  0.219080E-010  0.325839E-002  0.581198E-005  0.124321E-004  0.154839E-007  0.466596E-014  0.354234       0.247254E-003   1.79321       0.406137E-003  0.309138E-002  0.972387E-019  0.588484E-002  0.407515E-007  0.981532E-005  0.588875E-011  0.847359E-011  0.228152E-011  0.209362E-024  0.256593E-004  0.735138E-008  0.355923E-013  0.112580E-008  0.820012E-009  0.144871E-009  0.904272E-016  0.581387E-001  0.102486E-002  0.164861       0.100543E-002  0.268038E-006  0.646658E-001  0.477684        1.63826      -0.298354E-001   7.21706       0.634395      -0.320984E-001   3.10101     
  927.000        27100.0       0.495297E-001  0.580587E-004  0.510213E-003  0.681142E-002  0.951007E-003  0.178151E-002  0.156603E-002  0.585612       0.914511       0.975234E-001  0.343673E-002  0.501222E-001   0.00000       0.331980E-004  0.376157E-006  0.887688       0.386328E-015  0.650537E-003  0.272067E-001  0.827313E-001  0.138016E-002  0.104191E-001  0.484524E-004  0.852727E-004  0.436572E-003  0.112964E-002  0.235591E-002  0.488934E-003  0.132081E-002  0.155656E-011  0.355769E-016  0.682835E-001  0.172650E-001  0.182418E-006  0.113783E-006  0.868802E-015  0.840009E-004  0.138459E-004  0.377251E-003  0.162570       0.102915E-002  0.376640E-018  0.118996E-002  0.731805E-002  0.264601E-001  0.268288       0.325075E-015  0.907095E-024  0.501881E-001  0.707150E-003  0.173224E-002  0.168823E-004  0.137344E-005  0.102266E-005  0.234069E-010  0.317611E-002  0.540050E-005  0.120968E-004  0.217159E-007  0.679471E-014  0.430458       0.344755E-003   2.30554       0.574022E-003  0.398713E-002  0.943899E-019  0.673493E-002  0.431175E-007  0.111708E-004  0.659872E-011  0.965617E-011  0.261097E-011  0.206910E-024  0.220845E-004  0.788989E-008  0.424320E-013  0.122465E-008  0.909875E-009  0.159474E-009  0.115628E-015  0.646322E-001  0.109477E-002  0.181602       0.101701E-002  0.320638E-006  0.773864E-001  0.536522        1.82790      -0.345269E-001   7.92344       0.739789      -0.367696E-001   3.81038     
  925.000        28300.0       0.899196E-001  0.136745E-003  0.113463E-002  0.167547E-001  0.324374E-002  0.545002E-002  0.375920E-002  0.630220       0.880854       0.123224       0.774264E-002  0.338350E-001   0.00000       0.309136E-004  0.346066E-006  0.828955       0.167478E-014  0.160211E-002  0.664288E-001  0.277626       0.498168E-002  0.329283E-001  0.177094E-003  0.329288E-003  0.176601E-002  0.301311E-002  0.110166E-001  0.821480E-003  0.380218E-002  0.618518E-011  0.131316E-015  0.178324       0.482061E-001  0.617445E-006  0.426244E-006  0.429771E-014  0.282639E-003  0.423680E-004  0.105363E-002  0.400133       0.207434E-002  0.940418E-018  0.248360E-002  0.208830E-001  0.675068E-001  0.675040       0.637489E-015  0.223631E-023  0.189427       0.260992E-002  0.546557E-002  0.579997E-004  0.686965E-005  0.390804E-005  0.751745E-010  0.820470E-002  0.186437E-004  0.339291E-004  0.416277E-007  0.101331E-013  0.890872       0.635472E-003   4.57454       0.141223E-002  0.751686E-002  0.161359E-018  0.185773E-001  0.655104E-007  0.202469E-004  0.113559E-010  0.175114E-010  0.479133E-011  0.229370E-024  0.265757E-004  0.120380E-007  0.869661E-013  0.187819E-008  0.132716E-008  0.245813E-009  0.292351E-015  0.170653       0.320126E-002  0.499375       0.189314E-002  0.745532E-006  0.177417        1.36158        4.62017      -0.812066E-001   21.9065        1.80491      -0.917413E-001   8.35249     
  923.000        29200.0       0.890658E-001  0.124279E-003  0.112435E-002  0.166206E-001  0.301323E-002  0.595334E-002  0.405626E-002  0.629122       0.884274       0.118737       0.834361E-002  0.301628E-001   0.00000       0.222559E-004  0.211491E-006  0.832225       0.289634E-014  0.161125E-002  0.660739E-001  0.303977       0.539514E-002  0.318911E-001  0.195218E-003  0.386255E-003  0.198511E-002  0.265885E-002  0.182828E-001  0.578363E-003  0.372209E-002  0.784212E-011  0.140372E-015  0.193736       0.523779E-001  0.781660E-006  0.598457E-006  0.821697E-014  0.377193E-003  0.485730E-004  0.120571E-002  0.385035       0.204196E-002  0.899957E-018  0.184730E-002  0.207738E-001  0.715464E-001  0.743997       0.610058E-015  0.120249E-023  0.177206       0.232117E-002  0.509817E-002  0.682641E-004  0.102611E-004  0.484616E-005  0.863312E-010  0.747119E-002  0.207219E-004  0.394812E-004  0.344886E-007  0.591056E-014  0.915804       0.602282E-003   4.53198       0.168658E-002  0.713690E-002  0.129014E-018  0.181950E-001  0.373422E-007  0.159134E-004  0.905390E-011  0.154497E-010  0.452976E-011  0.162199E-024  0.124826E-004  0.690480E-008  0.899101E-013  0.108511E-008  0.105715E-008  0.143012E-009  0.358760E-015  0.166593       0.312502E-002  0.502997       0.160808E-002  0.709341E-006  0.178601        1.32681        4.54395      -0.800612E-001   22.5363        1.86425      -0.991346E-001   8.43034     
